N	2gram	Bakhtin_fo_1	Myshleni
1	в том	9	33
2	том что	4	27
3	точки зрения	5	26
4	то что	6	20
5	в этом	25	19
6	с точки	2	18
7	того что	2	17
8	не только	9	15
9	и в	50	15
10	таким образом	11	14
11	что в	5	14
12	и речи	5	13
13	того чтобы	5	12
14	и т.д	1	12
15	что он	1	12
16	в самом	8	11
17	в процессе	4	11
18	мы не	3	10
19	в целом	2	10
20	было бы	2	10
21	для того	5	10
22	но и	8	10
23	мы можем	1	10
24	в сущности	3	9
25	в своем	4	9
26	о том	1	9
27	связи с	6	9
28	может быть	11	9
29	что мы	2	9
30	не может	6	9
31	не является	2	9
32	не в	5	8
33	никогда не	2	8
34	так и	12	8
35	если бы	5	8
36	на основе	2	7
37	он не	5	7
38	высшей степени	1	7
39	в высшей	1	7
40	по себе	2	7
41	к тому	3	7
42	и т.п	4	7
43	тот же	1	7
44	с одной	3	7
45	потому что	4	7
46	одной стороны	2	7
47	как бы	2	7
48	и не	14	7
49	во всяком	3	7
50	самом деле	1	6
51	в зависимости	1	6
52	мы уже	11	6
53	зависимости от	1	6
54	по отношению	3	6
55	в этой	1	6
56	в истории	2	6
57	мы должны	2	6
58	и к	2	6
59	что это	1	6
60	как он	2	6
61	на то	1	6
62	к выводу	1	6
63	как и	8	6
64	всяком случае	1	6
65	точку зрения	2	6
66	речи в	2	6
67	в отношении	3	6
68	как мы	14	6
69	в виду	3	6
70	в теории	1	6
71	но в	10	6
72	по своей	1	6
73	по этому	1	6
74	если мы	2	6
75	мы находим	2	6
76	вовсе не	13	6
77	с другой	2	6
78	там где	2	6
79	в частности	6	6
80	вместе с	3	6
81	в связи	5	6
82	сказать что	3	6
83	смысле слова	2	5
84	на деле	1	5
85	то же	11	5
86	вопрос о	2	5
87	уже в	2	5
88	приводит к	1	5
89	это не	6	5
90	тогда когда	2	5
91	во всей	3	5
92	и даже	2	5
93	связь между	2	5
94	эта проблема	1	5
95	этот вопрос	1	5
96	и их	8	5
97	друг друга	3	5
98	и др	9	5
99	с помощью	2	5
100	сравнению с	2	5
101	по существу	12	5
102	отношению к	5	5
103	по сравнению	2	5
104	связана с	1	4
105	из того	1	4
106	хотя бы	2	4
107	с его	9	4
108	из этих	1	4
109	независимо от	1	4
110	как в	6	4
111	все же	6	4
112	могли бы	1	4
113	в которой	2	4
114	что все	2	4
115	в них	4	4
116	в эту	1	4
117	в своей	2	4
118	значение для	1	4
119	к этому	3	4
120	их в	3	4
121	не имеет	4	4
122	и его	16	4
123	что оно	1	4
124	в совершенно	1	4
125	и с	4	4
126	мы видим	3	4
127	так как	6	4
128	только в	4	4
129	в качестве	3	4
130	для всех	2	4
131	в начале	3	4
132	при помощи	1	4
133	как раз	13	4
134	прежде всего	15	4
135	так же	6	4
136	все это	4	4
137	для нас	2	4
138	а в	3	4
139	человека и	11	3
140	идет о	1	3
141	здесь и	2	3
142	и до	5	3
143	мы имеем	1	3
144	и ее	3	3
145	что можно	1	3
146	он сам	1	3
147	мы будем	2	3
148	точка зрения	1	3
149	должны были	1	3
150	с этим	6	3
151	смысле этого	1	3
152	животных и	1	3
153	бы и	1	3
154	все эти	9	3
155	но на	4	3
156	как совершенно	1	3
157	при этом	3	3
158	и по	2	3
159	об этом	2	3
160	те же	2	3
161	лишь в	6	3
162	с другими	3	3
163	о которых	1	3
164	во время	1	3
165	таким же	1	3
166	в которых	2	3
167	но эта	3	3
168	из которых	1	3
169	в самой	2	3
170	уже говорили	3	3
171	этом отношении	3	3
172	в основе	5	3
173	числе и	2	3
174	для себя	7	3
175	и это	4	3
176	данном случае	1	3
177	которое мы	1	3
178	и сам	1	3
179	с собой	1	3
180	с ним	2	3
181	ничего не	9	3
182	и только	1	3
183	тем более	1	3
184	значение в	5	3
185	философии и	1	3
186	одной из	3	3
187	но не	5	3
188	решающее значение	1	3
189	вернуться к	1	3
190	из них	1	3
191	для него	2	3
192	отличие от	2	3
193	в отличие	2	3
194	а не	3	3
195	в данном	2	3
196	этого слова	1	3
197	не существует	1	3
198	он на	1	3
199	или в	3	3
200	в результате	6	3
201	и все	6	3
202	того же	8	3
203	к этой	1	3
204	том числе	4	3
205	они не	3	3
206	ту же	2	2
207	также и	2	2
208	же как	2	2
209	и есть	1	2
210	в присутствии	4	2
211	в котором	4	2
212	той же	2	2
213	из всех	1	2
214	и само	1	2
215	в первый	1	2
216	принадлежит к	2	2
217	в их	6	2
218	во всех	6	2
219	то он	1	2
220	нет и	2	2
221	сама по	1	2
222	отнюдь не	5	2
223	пришел бы	1	2
224	в течение	2	2
225	наряду с	5	2
226	стороны и	2	2
227	и различные	1	2
228	перед нами	1	2
229	в полном	1	2
230	вопросом о	1	2
231	и как	10	2
232	его к	1	2
233	увидим что	1	2
234	от этого	2	2
235	или во	1	2
236	раз в	4	2
237	с их	2	2
238	в себе	3	2
239	всей его	2	2
240	не следует	1	2
241	уже видели	1	2
242	он должен	2	2
243	и более	1	2
244	друг с	1	2
245	в другом	1	2
246	на этой	4	2
247	в ином	1	2
248	ни в	8	2
249	должно быть	1	2
250	в один	1	2
251	и тогда	1	2
252	в этих	3	2
253	том же	2	2
254	этой проблемы	2	2
255	моментов в	1	2
256	этом ее	1	2
257	и вообще	2	2
258	сам говорит	1	2
259	с которой	1	2
260	этого же	1	2
261	не могло	5	2
262	находится в	1	2
263	или как	4	2
264	к ней	2	2
265	во всем	2	2
266	путь развития	1	2
267	с другом	1	2
268	к себе	4	2
269	не могут	3	2
270	могут быть	5	2
271	во все	2	2
272	но все	5	2
273	в других	9	2
274	как только	1	2
275	его с	1	2
276	той или	2	2
277	должен быть	1	2
278	с ее	6	2
279	как по	2	2
280	в себя	1	2
281	не возникает	1	2
282	на том	1	2
283	живет в	1	2
