N	3gram	Losev_Prob_5	Analitik
1	о том что	9	6
2	в том что	8	6
3	в данном случае	2	5
4	состоит в том	1	4
5	по отношению к	2	4
6	с одной стороны	3	4
7	и в этом	1	4
8	к тому же	1	4
9	не удивительно что	1	3
10	в этом отношении	1	3
11	по крайней мере	4	3
12	содержит в себе	1	3
13	той или иной	1	3
14	тем не менее	5	3
15	в этом смысле	3	2
16	с точки зрения	8	2
17	в результате чего	2	2
18	в таком случае	2	2
19	в то же	1	2
20	можно было бы	1	2
21	и то что	3	2
22	то есть в	1	2
23	едва ли не	1	2
24	не только в	1	2
25	с другой стороны	5	2
26	то же время	1	2
27	на то что	2	2
28	тех или иных	2	2
29	также и на	1	1
30	крайней мере в	1	1
31	что иное как	3	1
32	уже содержит в	1	1
33	можно сказать что	3	1
34	еще и до	1	1
35	как бы с	1	1
36	одним и тем	1	1
37	во времени и	1	1
38	но и всего	1	1
39	никак не может	2	1
40	свидетельствует о том	1	1
41	имеется в виду	1	1
42	как раз и	1	1
43	но и в	2	1
44	между тем как	1	1
45	тому же и	1	1
46	несмотря на то	1	1
47	одной из своих	1	1
48	с этой точки	1	1
49	то и другое	2	1
50	то есть на	1	1
51	и тем же	1	1
52	он состоит в	1	1
53	жизнь и смерть	1	1
54	это не так	1	1
55	до некоторой степени	4	1
56	нам представляется что	1	1
57	так или иначе	1	1
58	в связи с	7	1
59	этой точки зрения	1	1
60	все того же	2	1
61	не может быть	2	1
62	том смысле что	1	1
63	который в своей	3	1
64	времени и пространстве	1	1
65	не что иное	3	1
66	в самом деле	1	1
67	не менее в	1	1
68	но на фоне	1	1
69	в том смысле	1	1
70	сама по себе	1	1
71	точно так же	3	1
