N	2gram	Voloshinov_1	Hudozhes
1	том что	3	16
2	и в	19	14
3	так и	11	13
4	не только	8	12
5	при этом	8	12
6	о том	2	12
7	в том	6	12
8	а не	7	12
9	в себе	2	11
10	в этом	16	11
11	прежде всего	13	11
12	в своей	3	10
13	для него	9	10
14	то же	7	9
15	как и	12	9
16	что он	2	9
17	в качестве	2	9
18	по отношению	3	8
19	в этой	1	8
20	как в	4	8
21	то что	8	8
22	же время	3	8
23	ничего не	6	8
24	в его	6	8
25	между тем	3	8
26	отношению к	2	8
27	в то	3	8
28	еще не	4	7
29	это не	1	7
30	не в	5	7
31	к тому	2	7
32	уже не	1	7
33	именно в	5	7
34	не может	24	7
35	как бы	15	7
36	а в	4	7
37	в первой	2	6
38	человека в	2	6
39	было бы	4	6
40	никогда не	2	6
41	жизни в	4	6
42	что в	4	6
43	самом деле	10	5
44	с его	1	5
45	но в	7	5
46	ни в	2	5
47	точки зрения	34	5
48	не менее	4	5
49	и его	19	5
50	потому что	1	5
51	и он	2	5
52	можно было	2	5
53	только в	9	5
54	друг друга	8	5
55	может быть	26	5
56	но и	8	5
57	в частности	2	5
58	к жизни	1	5
59	жизни и	2	5
60	к другому	3	4
61	мы уже	2	4
62	в ней	4	4
63	столь же	1	4
64	а только	1	4
65	в своем	2	4
66	и к	3	4
67	в действительности	2	4
68	то в	2	4
69	в самом	10	4
70	та же	1	4
71	он не	3	4
72	и с	2	4
73	тем не	2	4
74	тому что	2	4
75	она не	2	4
76	в русской	2	4
77	по своей	1	4
78	связи с	11	4
79	в духе	1	4
80	и это	3	4
81	можно сказать	3	4
82	того что	3	4
83	и быть	1	4
84	из них	3	4
85	в конце	5	4
86	как раз	2	4
87	не было	3	4
88	и все	5	4
89	и от	3	4
90	по преимуществу	5	3
91	с точки	20	3
92	не имеют	3	3
93	говорить о	1	3
94	и на	4	3
95	в ее	7	3
96	отнюдь не	6	3
97	идет о	1	3
98	как к	2	3
99	все же	8	3
100	друга не	1	3
101	следующей главе	1	3
102	в нем	10	3
103	и по	1	3
104	лишь в	9	3
105	его в	3	3
106	в предыдущей	1	3
107	с этим	4	3
108	в своих	2	3
109	все эти	7	3
110	себе самому	1	3
111	тем что	2	3
112	этом отношении	3	3
113	предыдущей главе	1	3
114	в театре	1	3
115	как мы	13	3
116	того чтобы	5	3
117	в пределах	6	3
118	приводит к	1	3
119	друг для	1	3
120	еще в	1	3
121	если бы	2	3
122	о нем	1	3
123	романа в	1	3
124	в литературе	2	3
125	но не	1	3
126	и даже	2	3
127	со стороны	1	3
128	превращается в	1	3
129	в связи	7	3
130	такого рода	1	3
131	в следующей	1	3
132	и для	11	3
133	от него	2	3
134	для друга	1	3
135	в таком	2	3
136	к этой	2	3
137	например в	1	2
138	же как	2	2
139	отметим что	1	2
140	на самом	3	2
141	оно было	1	2
142	момент когда	1	2
143	той же	2	2
144	мы не	6	2
145	вопрос о	4	2
146	вместо того	1	2
147	жизни как	1	2
148	к своему	2	2
149	и личность	1	2
150	но как	1	2
151	для других	2	2
152	себе и	2	2
153	в одной	2	2
154	в рамках	1	2
155	хотя и	1	2
156	или иную	1	2
157	лежит на	1	2
158	жизни эта	1	2
159	в целом	1	2
160	так или	1	2
161	только на	4	2
162	как он	2	2
163	так сказать	6	2
