N	2gram	Losev_Vlad_3	Tvorches
1	и в	40	21
2	как бы	3	17
3	в то	7	15
4	то же	4	13
5	в его	14	13
6	то есть	24	12
7	как и	7	12
8	же время	2	12
9	что в	17	12
10	с его	2	11
11	том что	18	11
12	все это	1	10
13	как в	1	8
14	он не	8	8
15	то что	28	8
16	в году	10	7
17	и на	6	7
18	но в	4	7
19	не только	25	7
20	при этом	3	7
21	тем самым	2	7
22	во многом	2	7
23	у него	24	7
24	и не	25	7
25	в том	18	7
26	в свою	1	7
27	в этом	16	6
28	в творчестве	1	6
29	в котором	4	6
30	не менее	9	6
31	и его	10	6
32	он сам	2	6
33	о том	11	6
34	и все	4	6
35	что он	5	6
36	для него	8	6
37	xix века	6	6
38	а в	7	6
39	отнюдь не	5	5
40	все же	4	5
41	в этой	8	5
42	таким образом	11	5
43	вовсе не	13	5
44	в своих	7	5
45	потому что	11	5
46	как будто	1	5
47	только в	13	5
48	может быть	8	5
49	а не	8	5
50	м с	2	5
51	но это	6	5
52	хотя бы	6	5
53	человека и	3	4
54	не имеют	2	4
55	из всех	1	4
56	в своем	8	4
57	и как	7	4
58	та же	1	4
59	в целом	2	4
60	в человеке	1	4
61	о времени	1	4
62	это не	3	4
63	в своей	9	4
64	в мире	2	4
65	одной из	2	4
66	прежде всего	10	4
67	на эту	1	4
68	не может	14	4
69	и от	6	4
70	в основном	4	4
71	один из	1	4
72	процесса в	1	4
73	я и	1	3
74	о свободе	2	3
75	на самом	3	3
76	это и	1	3
77	я не	3	3
78	не был	8	3
79	хотя и	7	3
80	в самом	4	3
81	в нем	3	3
82	он ни	2	3
83	в россии	3	3
84	на земле	1	3
85	и по	2	3
86	что все	7	3
87	и с	9	3
88	и других	1	3
89	время у	1	3
90	далеко не	3	3
91	в их	2	3
92	место в	1	3
93	представление о	1	3
94	даже в	4	3
95	самого начала	1	3
96	дело в	5	3
97	никогда не	11	3
98	с ее	1	3
99	и другие	1	3
100	с самого	1	3
101	в дальнейшем	4	3
102	там же	7	3
103	добра и	1	3
104	того что	7	3
105	который в	2	3
106	по мнению	4	3
107	человеческой личности	1	3
108	уже не	9	3
109	уже в	3	3
110	в виде	13	3
111	говорит о	4	3
112	не так	3	3
113	так как	7	3
114	в которой	2	3
115	и даже	6	3
116	с другой	5	3
117	но и	18	3
118	что человек	1	3
119	к человеку	1	3
120	ни на	2	3
121	но не	4	3
122	он говорит	1	3
123	для человека	1	3
124	в книге	2	3
125	не существует	2	3
126	но если	5	3
127	жизни и	1	3
128	ее в	3	3
129	так же	8	3
130	себя как	1	2
131	в нашей	2	2
132	того же	2	2
133	самом деле	1	2
134	спб с	2	2
135	человеческой души	1	2
136	по преимуществу	2	2
137	есть не	2	2
138	на первом	3	2
139	но она	1	2
140	№ с	6	2
141	и красота	2	2
142	за два	1	2
143	и он	1	2
144	в ней	5	2
145	в отличие	3	2
146	не нужно	2	2
147	в чем	3	2
148	не то	1	2
149	если в	1	2
150	отличие от	3	2
151	в настоящем	2	2
152	же с	7	2
153	когда он	1	2
154	говорит что	1	2
155	и наконец	2	2
156	то в	6	2
157	но его	1	2
158	и внутреннего	1	2
159	можно не	2	2
160	в себе	9	2
161	что она	2	2
162	тем не	10	2
163	так сказать	1	2
164	не будет	6	2
165	этом он	1	2
166	действительности в	1	2
167	и тем	3	2
168	т ii	2	2
169	в данном	5	2
170	бога и	1	2
171	такой же	4	2
172	в один	1	2
173	в этих	2	2
174	не столько	3	2
175	не в	3	2
176	самое время	1	2
177	но он	1	2
178	и против	3	2
179	одна из	1	2
180	и притом	3	2
181	в основе	1	2
182	но только	2	2
183	к добру	2	2
184	свидетельствует о	2	2
185	никуда не	1	2
186	личности в	1	2
187	в духе	3	2
188	нет ни	2	2
189	в направлении	1	2
190	к тому	7	2
191	в с	2	2
192	в жизни	2	2
193	году в	3	2
194	это время	2	2
195	в виду	3	2
196	данном случае	2	2
197	в в	2	2
198	с каким	3	2
