N	3gram	Tiupa_Hudo_1	Tragedij
1	то же время	8	5
2	в то же	8	5
3	так и в	1	3
4	и не случайно	1	2
5	в отличие от	1	2
6	в данном случае	1	2
7	но в то	3	2
8	между этими двумя	1	2
9	о том что	9	2
10	и в самом	3	2
11	но все же	1	2
12	в том что	6	2
13	а между тем	1	1
14	к жизни столь	1	1
15	том что он	1	1
16	в столкновение с	2	1
17	что он не	2	1
18	произведений писателя и	1	1
19	и т п	8	1
20	за то что	1	1
21	но у него	1	1
22	в этой связи	4	1
23	л н толстой	1	1
24	еще ничего не	1	1
25	во всяком случае	1	1
26	в высшей степени	1	1
27	в конце концов	1	1
28	объясняется тем что	1	1
29	но при этом	1	1
30	по нашему мнению	1	1
31	и в этом	1	1
32	тем не менее	3	1
33	все же не	1	1
34	в связи с	3	1
35	вместо того чтобы	2	1
36	не может быть	2	1
37	приходит в голову	1	1
38	xx века в	1	1
39	за этими словами	1	1
40	как и все	1	1
41	по мнению л	1	1
42	с того что	1	1
43	с самого начала	1	1
44	не только не	1	1
45	в самом деле	4	1
46	именно в связи	1	1
47	к тому что	4	1
48	друг друга и	1	1
49	как и в	3	1
50	своей и чужой	1	1
