N	3gram	Vygotskiy__3	PoTuStor
1	с точки зрения	9	6
2	на самом деле	2	4
3	с самого начала	6	4
4	до сих пор	5	3
5	по сравнению с	1	3
6	во всяком случае	2	3
7	не может быть	1	3
8	можно сказать что	1	3
9	и может быть	1	2
10	нам кажется что	1	2
11	по аналогии с	2	2
12	в самом деле	18	2
13	все то что	6	2
14	о том что	3	2
15	мы можем сказать	1	2
16	и только для	1	2
17	и в этом	3	2
18	и столь же	1	1
19	имеем в виду	1	1
20	подобно тому как	1	1
21	что эти два	1	1
22	то же самое	8	1
23	от своего имени	2	1
24	есть в сущности	1	1
25	течение своей жизни	1	1
26	и та же	2	1
27	в этом отношении	1	1
28	и посвящена настоящая	1	1
29	можно было бы	1	1
30	что он действительно	1	1
31	так ли это?	1	1
32	все же в	2	1
33	она может быть	1	1
34	с этой точки	1	1
35	вместе с тем	2	1
36	только для того	1	1
37	полном согласии с	1	1
38	в данном случае	2	1
39	с одной стороны	5	1
40	в высшей степени	1	1
41	в себя и	1	1
42	как один из	1	1
43	время говорит о	1	1
44	в применении к	1	1
45	то что можно	1	1
46	смысл и значение	2	1
47	а с другой	1	1
48	едва ли от	1	1
49	а на самом	1	1
50	самом деле в	1	1
51	в том что	11	1
52	из всего сказанного	1	1
53	этой точки зрения	1	1
54	все время говорит	1	1
55	мы не можем	2	1
56	на наших глазах	2	1
57	что в этой	2	1
58	каждого из этих	1	1
59	одна и та	1	1
60	в течение своей	1	1
61	по его мнению	1	1
62	мы знаем что	1	1
63	или во всяком	1	1
64	и как мы	1	1
65	таким образом и	1	1
66	в полном согласии	1	1
67	в том смысле	2	1
68	и мы можем	2	1
69	для того чтобы	8	1
70	и можно сказать	1	1
71	мы увидим что	7	1
