N	2gram	Tiupa_Lite_1	Istorich
1	и в	8	25
2	вместе с	1	22
3	что он	5	22
4	может быть	13	17
5	мы имеем	1	14
6	не только	24	13
7	но и	17	13
8	в его	7	12
9	так как	1	11
10	уже не	7	11
11	и не	12	11
12	в этом	12	10
13	тем что	2	10
14	все же	4	10
15	и его	4	9
16	его в	3	9
17	в виде	1	9
18	с другой	3	9
19	таким образом	3	9
20	еще не	4	8
21	и на	1	8
22	все эти	2	8
23	что в	3	8
24	на него	1	8
25	связи с	6	8
26	и что	1	8
27	мы знаем	1	8
28	с тем	1	8
29	другой стороны	1	8
30	том что	14	8
31	представляет собой	4	7
32	в нем	2	7
33	а затем	1	7
34	как и	6	7
35	во время	1	7
36	представлений о	1	7
37	потому что	3	7
38	о том	2	7
39	и здесь	1	7
40	то что	10	7
41	только в	8	7
42	с одной	2	7
43	в качестве	17	7
44	превращается в	2	7
45	одной стороны	2	7
46	тот кто	1	7
47	в иной	1	7
48	в частности	15	7
49	как в	5	6
50	это не	4	6
51	не может	5	6
52	в этих	1	6
53	не в	8	6
54	и он	1	6
55	что и	1	6
56	себя в	6	6
57	прежде всего	11	6
58	могут быть	2	6
59	или в	1	6
60	в том	16	6
61	например в	3	5
62	мы не	1	5
63	но не	4	5
64	но все	1	5
65	как мы	1	5
66	для нас	1	5
67	же как	1	4
68	то же	5	4
69	до него	1	4
70	в ее	1	4
71	его на	1	4
72	в которой	1	4
73	он не	1	4
74	не как	4	4
75	и тем	4	4
76	не всегда	1	4
77	тем не	2	4
78	не менее	7	4
79	в некоторых	1	4
80	в пределах	3	4
81	в дальнейшем	1	4
82	за ним	1	4
83	если не	1	4
84	герой в	1	4
85	в связи	4	4
86	на смену	6	4
87	в которых	1	3
88	на себя	2	3
89	ему в	1	3
90	то это	2	3
91	в роли	1	3
92	что его	3	3
93	только после	1	3
94	и как	1	3
95	в целом	8	3
96	в этой	4	3
97	в жертву	1	3
98	на этом	2	3
99	человека в	1	3
100	нет необходимости	1	3
101	и начинает	1	3
102	в то	5	3
103	в русской	10	3
104	друг друга	4	3
105	но эти	1	3
106	как человек	1	3
107	что при	1	3
108	представляют собой	1	3
109	в себя	2	3
110	на том	2	3
111	никогда не	4	3
112	и с	1	3
113	о нем	1	3
114	затем в	1	3
115	к нему	1	3
116	и др	3	3
117	никто не	1	3
118	в особенности	1	3
119	сюда же	1	3
120	и все	1	3
121	в данном	5	3
122	а в	3	3
123	в свою	1	3
124	героя и	1	3
125	состоит из	1	3
126	они не	1	3
127	ту же	2	2
128	того же	2	2
