N	3gram	Vygotskiy__7	UchenyiS
1	в конечном счете	2	4
2	не может быть	4	4
3	по нашему мнению	1	3
4	с другой стороны	1	3
5	в то же	1	3
6	в этой области	1	3
7	не могут быть	1	2
8	в самом деле	4	2
9	в этом смысле	1	2
10	то же самое	5	2
11	т.е в конечном	1	2
12	до сих пор	3	2
13	в этом отношении	3	2
14	в том что	13	2
15	и то что	3	2
16	в конце концов	1	2
17	том что она	2	1
18	и в конце	2	1
19	не есть слово	1	1
20	все они в	1	1
21	не только к	1	1
22	она все же	1	1
23	знак равенства между	1	1
24	на одно из	2	1
25	в этом случае	14	1
26	одно из первых	1	1
27	сам по себе	1	1
28	же самое что	2	1
29	в той же	2	1
30	таким образом на	1	1
31	никогда не может	1	1
32	само по себе	1	1
33	в первую очередь	1	1
34	рассматривать не как	1	1
35	то о чем	4	1
36	этом случае он	1	1
37	нам думается что	1	1
38	смысле можно сказать	2	1
39	звуковой формы слова	1	1
40	можно сказать что	3	1
41	на то что	4	1
42	то что было	1	1
43	она должна была	1	1
44	друг с другом	2	1
45	из первых мест	1	1
46	что мы можем	1	1
47	что мы и	1	1
48	в данном случае	5	1
49	но именно этот	1	1
50	как и не	1	1
51	не только в	1	1
52	тем что он	1	1
53	с одной стороны	5	1
54	и с другой	1	1
