1	и в	15	29
2	том что	27	27
3	в том	33	27
4	в этом	19	21
5	что в	14	19
6	но и	10	19
7	не только	15	19
8	о том	9	17
9	что он	12	13
10	в его	2	13
11	в которой	4	11
12	все это	4	11
13	то что	20	11
14	к тому	7	10
15	таким образом	14	10
16	этом отношении	3	9
17	он не	7	9
18	как на	1	9
19	потому что	7	9
20	в своем	9	9
21	так и	8	9
22	и не	7	9
23	но в	6	8
24	по поводу	4	8
25	как раз	4	8
26	с тем	1	7
27	того как	4	7
28	в котором	2	7
29	я не	1	7
30	вместе с	6	7
31	в своей	4	7
32	в ней	1	7
33	но все	2	7
34	в виду	6	7
35	в самом	11	7
36	для того	10	7
37	тому что	1	7
38	и его	4	6
39	того чтобы	12	6
40	вопрос о	5	6
41	вовсе не	6	6
42	в одном	2	6
43	об этом	3	6
44	и что	8	6
45	до сих	1	6
46	и на	1	6
47	все же	4	6
48	в течение	2	6
49	факт что	1	6
50	было бы	10	5
51	точки зрения	26	5
52	в языке	1	5
53	как бы	7	5
54	в качестве	4	5
55	в той	1	5
56	между тем	1	5
57	прежде всего	4	5
58	того что	17	5
59	сих пор	1	5
60	а не	3	5
61	для него	3	4
62	обстоятельство что	1	4
63	по словам	1	4
64	еще до	1	4
65	в частности	6	4
66	то обстоятельство	1	4
67	не в	8	4
68	но с	2	4
69	к этому	4	4
70	в другом	2	4
71	еще более	1	4
72	должен был	1	4
73	в речи	1	4
74	с другой	6	4
75	что у	3	4
76	ничего не	3	4
77	дело в	1	4
78	именно в	2	4
79	и о	1	4
80	и к	6	4
81	после того	1	4
82	связи с	9	4
83	тот факт	1	4
84	в нем	1	4
85	при помощи	4	4
86	речь идет	2	4
87	и с	4	4
88	раньше чем	2	4
89	так же	4	3
90	в их	2	3
91	что эта	6	3
92	в предисловии	4	3
93	а с	4	3
94	одном из	1	3
95	тому же	1	3
96	так что	1	3
97	что это	6	3
98	и здесь	1	3
99	ни одного	1	3
100	идет о	3	3
101	иметь в	1	3
102	из них	3	3
103	во всяком	7	3
104	но это	1	3
105	по его	1	3
106	за то	2	3
107	ни у	1	3
108	нельзя не	1	3
109	ни в	2	3
110	никогда не	8	3
111	что на	2	3
112	в обоих	1	3
113	но не	3	3
114	самого начала	1	3
115	и он	1	3
116	с этим	3	3
117	оба эти	2	3
118	материал для	1	3
119	не могло	2	3
120	самом деле	6	3
121	в начале	4	3
122	тем что	2	3
123	оно не	1	3
124	в полном	2	3
125	одной из	3	3
126	всяком случае	6	3
127	на самом	3	3
128	еще и	1	3
129	как у	2	3
130	не то	2	3
131	вот что	1	3
132	и даже	5	3
133	же как	2	3
134	как в	4	3
135	до конца	1	3
136	мне кажется	2	3
137	вообще не	1	3
138	сомневаться в	1	3
139	с самого	1	3
140	не является	9	3
141	в пользу	4	3
142	и по	3	3
143	у нас	1	3
144	которые не	2	3
145	на вопрос	4	3
146	хотя бы	4	3
147	относятся к	2	3
148	другой стороны	1	3
149	в этих	2	3
150	в общем	3	3
151	по себе	7	3
152	в эту	4	3
153	в известном	2	3
154	несмотря на	4	2
155	и теперь	2	2
156	которыми пользовался	1	2
157	в ее	1	2
158	к своему	1	2
159	это были	1	2
160	если бы	8	2
161	с точки	18	2
162	и вся	1	2
163	где он	1	2
164	в тех	1	2
165	все эти	3	2
166	только по	1	2
167	что с	5	2
168	предисловии к	4	2
169	сомнений в	1	2
170	то же	5	2
171	при этом	3	2
172	действительно не	3	2
