N	3gram	Savitsky_P_1	Psycholo
1	для того чтобы	1	19
2	в том что	4	12
3	с точки зрения	3	4
4	друг с другом	1	4
5	сами по себе	3	3
6	совершенно ясно что	1	3
7	так же как	1	3
8	и в этом	1	3
9	во всяком случае	1	3
10	заключается в том	2	3
11	за то что	1	3
12	с одной стороны	3	3
13	тех пор пока	1	2
14	да и не	1	2
15	как она есть	1	2
16	вместе с тем	1	2
17	и в частности	1	2
18	если бы мы	1	2
19	с другой стороны	1	2
20	до тех пор	1	2
21	и т д	1	2
22	мы знаем что	1	1
23	или хотя бы	1	1
24	что в этом	1	1
25	есть как бы	1	1
26	и как раз	2	1
27	начала и конца	1	1
28	не было бы	1	1
29	то же время	7	1
30	и не может	1	1
31	все это в	1	1
32	и в то	2	1
33	как таковые как	1	1
34	может не только	1	1
35	не может быть	1	1
36	тем и другим	1	1
37	и если бы	2	1
38	не только в	4	1
39	в этом смысле	1	1
40	в то же	7	1
41	нет ничего более	1	1
42	но в этом	1	1
43	в ней и	1	1
44	в самом точном	1	1
