N	4gram	Vinokur_St_3	Vladivir
1	и в этом смысле	2	3
2	обращает на себя внимание	1	2
3	а с другой стороны	1	2
4	в то же время	3	2
5	в то время как	4	2
6	и тем не менее	2	1
7	что это есть не	1	1
8	в его работе о	1	1
9	то можно сказать так	1	1
10	это объясняется слишком большой	1	1
11	нельзя сказать что это	1	1
12	с этой точки зрения	1	1
13	себе отчет в том	1	1
14	отличается тем что в	1	1
15	с начала до конца	1	1
16	на то что в	1	1
17	заключается в том что	2	1
18	отчет в том что	1	1
19	независимо от того кто	1	1
