N	3gram	Propp_Isto_6	EvropaiE
1	с одной стороны	7	8
2	одной стороны и	1	6
3	в том что	5	6
4	как нам кажется	1	5
5	с этой точки	1	5
6	так же как	1	5
7	этой точки зрения	1	5
8	для того чтобы	1	5
9	не только в	4	4
10	же как и	1	3
11	можно было бы	2	3
12	друг с другом	1	3
13	во всяком случае	2	3
14	можно сказать что	1	3
15	иначе обстоит дело	1	2
16	того что в	1	2
17	нам кажется что	1	2
18	в северной америке	2	2
19	к тому чтобы	1	2
20	в данном случае	3	2
21	так и в	1	2
22	с другой стороны	8	2
23	не может быть	3	2
24	в частности в	1	2
25	на то что	1	2
26	приводит нас к	2	2
27	как мы видели	2	2
28	в этом мире	1	1
29	следует отметить что	1	1
30	еще далеко не	1	1
31	мы хотели бы	1	1
32	но так как	3	1
33	более или менее	1	1
34	через некоторое время	1	1
35	в тех случаях	3	1
36	на своем пути	2	1
37	в одной из	1	1
38	и то и	1	1
39	то и другое	1	1
40	но и в	2	1
41	тех случаях когда	3	1
42	с тем что	1	1
43	том числе и	1	1
44	кроме того что	1	1
45	но и эта	1	1
46	на этот вопрос	1	1
47	то или иное	1	1
48	это может быть	1	1
49	более чем в	1	1
50	чтобы ответить на	1	1
51	смысле этого слова	1	1
52	а также и	1	1
53	в некоторых случаях	2	1
54	то время как	3	1
55	в последнем случае	1	1
56	мы видели что	3	1
57	в других случаях	1	1
58	том смысле что	1	1
59	не означает что	1	1
60	в то время	3	1
61	что наряду с	1	1
62	и тем самым	1	1
63	это значит что	1	1
64	и тем более	1	1
65	речь идет о	1	1
66	а через некоторое	1	1
67	в том числе	1	1
68	в том смысле	1	1
69	помнить что в	1	1
70	но и то	1	1
71	в себе не	1	1
72	независимо от того	1	1
73	и т д	8	1
