N	3gram	Bakhtin_KF_1	FransuaR
1	то же время	2	8
2	в то же	2	8
3	в большинстве случаев	1	5
4	и в то	1	4
5	для того чтобы	1	3
6	один и тот	1	2
7	с точки зрения	9	2
8	средних веков и	1	2
9	и тот же	1	2
10	и того же	1	1
11	а следовательно и	1	1
12	именно там где	1	1
13	смысловой значимости и	1	1
14	дело в том	1	1
15	между прочим и	1	1
16	то же самое	1	1
17	но как и	1	1
18	но все это	1	1
19	до конца в	1	1
20	нет и не	1	1
21	вечной истины и	1	1
22	в чем не	4	1
23	вовсе не по	1	1
24	и то что	1	1
25	есть на самом	2	1
26	со всех сторон	1	1
27	в том случае	1	1
28	здесь мы видим	1	1
29	и относит его	1	1
30	за собой и	1	1
31	к нему в	4	1
32	но в то	1	1
33	именно в этой	1	1
34	смысле этого слова	1	1
35	ни в чем	4	1
36	может быть и	1	1
37	и как бы	1	1
38	это не значит	1	1
39	не может быть	11	1
40	раз и навсегда	2	1
41	даны здесь в	1	1
42	же самое что	1	1
43	в свою очередь	1	1
44	относит его к	2	1
45	вся жизнь в	1	1
46	в ее целом	2	1
47	в конечном счете	1	1
48	включает в себя	2	1
49	в ее основных	1	1
50	между жизнью и	1	1
51	одного и того	1	1
52	но это не	1	1
53	на самом деле	3	1
54	в соответствии с	2	1
55	в том что	2	1
56	что и в	1	1
57	в том же	1	1
