N	2gram	Trubetskoy_1	StatiiOP
1	и в	23	29
2	в том	30	27
3	том что	19	27
4	в этом	12	21
5	но и	9	19
6	что в	8	19
7	не только	7	19
8	о том	7	17
9	в его	5	13
10	что он	7	13
11	между прочим	2	12
12	то что	18	11
13	в которой	5	11
14	все это	11	11
15	таким образом	31	10
16	к тому	8	10
17	как на	4	9
18	так и	10	9
19	он не	3	9
20	потому что	9	9
21	и не	8	9
22	в своем	10	9
23	но в	4	8
24	и пр	1	8
25	в своей	1	7
26	с тем	2	7
27	вместе с	6	7
28	для того	8	7
29	в котором	2	7
30	того как	1	7
31	тому что	2	7
32	в самом	8	7
33	я не	2	7
34	в ней	3	7
35	в виду	2	7
36	но все	5	7
37	одним из	4	6
38	все же	13	6
39	вопрос о	3	6
40	вовсе не	2	6
41	до сих	8	6
42	и его	1	6
43	в течение	4	6
44	факт что	4	6
45	и на	6	6
46	и что	8	6
47	того чтобы	8	6
48	прежде всего	3	5
49	точки зрения	13	5
50	сих пор	8	5
51	того что	6	5
52	между тем	12	5
53	в свет	2	5
54	в качестве	1	5
55	была бы	1	5
56	а не	1	5
57	было бы	3	5
58	как бы	10	5
59	но с	2	4
60	и с	5	4
61	в частности	2	4
62	в другом	2	4
63	связи с	4	4
64	кроме того	1	4
65	то обстоятельство	1	4
66	в нем	3	4
67	не в	8	4
68	раньше чем	1	4
69	тот факт	4	4
70	для него	2	4
71	хотя и	4	4
72	и к	5	4
73	что у	2	4
74	дело в	1	4
75	еще более	1	4
76	ничего не	1	4
77	именно в	5	4
78	при помощи	3	4
79	не приходится	1	4
80	к этому	5	4
81	с другой	6	4
82	а как	1	4
83	обстоятельство что	1	4
84	что на	1	3
85	как у	3	3
86	с нею	1	3
87	и сейчас	4	3
88	на нее	2	3
89	так же	8	3
90	это слово	1	3
91	еще и	1	3
92	не было	2	3
93	не менее	7	3
94	хотя бы	4	3
95	что эта	4	3
96	что это	5	3
97	в их	4	3
98	по его	2	3
99	за то	1	3
100	но не	2	3
101	например в	1	3
102	во всяком	2	3
103	иметь в	1	3
104	в начале	2	3
