1	но в то же	2	3
2	в то же время	4	3
3	а может быть даже	1	2
4	в той или иной	1	2
5	так же как и	1	2
6	в том числе и	2	2
7	в данном случае в	2	1
8	с другой стороны и	1	1
9	но с другой стороны	2	1
10	может быть даже и	1	1
11	что же это за	1	1
12	и в том и	1	1
13	имеет ничего общего с	2	1
14	том и другом случае	1	1
15	которой можно было бы	1	1
16	только и могут быть	1	1
17	что с точки зрения	1	1
18	тем не менее и	1	1
19	говорить о том что	1	1
20	не имеет ничего общего	2	1
21	в том и другом	1	1
22	до сих пор еще	1	1
23	дело в том что	4	1
24	в то время как	1	1
25	то же время не	1	1
26	той мере в какой	1	1
27	в той мере в	1	1
