N	2gram	Berdyaev_M_2	Stilisti
1	и в	46	42
2	не только	18	27
3	как бы	8	27
4	прежде всего	12	22
5	хотя бы	7	17
6	то же	5	15
7	но и	15	15
8	и не	18	14
9	не может	15	12
10	может быть	21	12
11	как и	13	11
12	точки зрения	2	11
13	в этом	20	10
14	и как	1	10
15	мы должны	1	10
16	мы не	1	9
17	для того	5	9
18	то что	5	9
19	в ней	11	8
20	в себе	10	8
21	и это	5	8
22	с тем	1	8
23	что же	2	8
24	и на	3	7
25	в которой	2	7
26	было бы	1	7
27	и тем	1	7
28	так как	8	7
29	никогда не	18	7
30	потому что	12	7
31	того чтобы	4	7
32	ничего не	2	7
33	с его	4	7
34	только в	3	7
35	и его	5	7
36	а не	13	7
37	и от	3	7
38	во всех	2	6
39	в этой	7	6
40	на его	2	6
41	в нем	22	6
42	не в	9	6
43	или как	1	6
44	так и	4	6
45	в конце	5	6
46	или иной	2	6
47	в свою	4	6
48	той же	3	5
49	уже в	2	5
50	в нашем	7	5
51	в той	1	5
52	независимо от	1	5
53	и с	3	5
54	с точки	1	5
55	и той	2	5
56	тому что	4	5
57	в сознании	1	5
58	а в	2	5
59	те же	5	5
60	в его	5	5
61	вместе с	2	5
62	и то	1	4
63	самом деле	1	4
64	себя в	4	4
65	и к	7	4
66	но в	10	4
67	в самом	5	4
68	что это	6	4
69	уже не	4	4
70	всех своих	1	4
71	можно было	2	4
72	в каждом	3	4
73	его в	3	4
74	и без	1	4
75	у нас	11	4
76	но все	1	4
77	к тому	5	4
78	той или	1	4
79	было в	3	4
80	если бы	3	4
81	в словах	1	4
82	о том	3	4
83	которой мы	1	4
84	все время	2	4
85	того что	6	4
86	один из	5	4
87	мы видим	2	4
88	мы увидим	2	4
89	вопроса о	4	4
90	были бы	2	4
91	а с	1	4
92	к своему	2	4
93	не что	3	4
94	все это	1	4
95	не существует	3	4
96	бы в	2	4
97	человека не	4	4
98	так же	6	4
99	отношения к	2	3
100	на самом	1	3
101	слова о	1	3
102	жизни это	4	3
103	то он	2	3
104	сознания не	1	3
105	нет и	1	3
106	хотя и	2	3
107	та же	10	3
108	если он	2	3
109	не к	2	3
110	и вот	5	3
111	их в	1	3
112	не будет	3	3
113	об этом	1	3
114	лишь в	2	3
115	это не	5	3
116	не мог	3	3
117	том что	4	3
118	что такое	1	3
119	что было	3	3
120	в разных	2	3
121	связи с	2	3
122	до того	1	3
123	в будущем	1	3
124	и социального	2	3
125	да и	2	3
126	в ее	1	3
127	роль в	1	3
128	что у	4	3
129	во второй	1	3
130	и здесь	6	3
131	и поэтому	2	3
132	жизни и	6	3
133	его и	1	3
134	не так	3	3
135	в котором	1	3
136	но что	1	3
137	от того	3	3
138	что и	4	3
139	и эта	2	3
140	конце концов	1	3
141	и уже	1	3
142	ни на	1	3
143	природы он	1	3
144	этого слова	1	3
145	в целом	1	3
146	но для	2	3
147	и для	7	3
148	и все	5	3
149	между ними	1	3
150	не знает	9	3
151	сказать что	3	3
152	я и	2	2
153	к полному	1	2
154	с природой	1	2
155	также и	4	2
156	человека и	7	2
157	нас не	2	2
158	его не	2	2
159	всех его	1	2
160	вопрос о	6	2
161	ответить на	1	2
162	как не	1	2
163	и он	11	2
164	оценок и	1	2
165	иное как	3	2
166	только потому	1	2
167	значение и	1	2
168	только тогда	1	2
169	должны были	1	2
170	отношение к	8	2
171	себе и	2	2
172	не выраженное	1	2
173	как в	7	2
174	и нет	3	2
175	целый ряд	1	2
176	между двумя	1	2
177	к чему	4	2
178	бы и	5	2
179	ни один	1	2
180	все эти	1	2
181	бы не	2	2
182	и те	2	2
183	человек не	7	2
184	этот процесс	2	2
185	опять не	1	2
186	к миру	1	2
187	и сам	1	2
