N	2gram	Vygotskiy__4	DiskursI
1	не только	7	28
2	в том	21	23
3	а не	6	22
4	то есть	13	20
5	том что	22	19
6	может быть	22	17
7	представляет собой	2	17
8	как и	5	16
9	и в	33	16
10	в этом	28	15
11	еще не	1	14
12	но и	3	14
13	при этом	2	13
14	прежде всего	2	11
15	но не	3	11
16	и не	13	11
17	как в	3	10
18	далеко не	3	10
19	с другой	2	10
20	не может	10	9
21	отношению к	1	9
22	в нем	7	9
23	по отношению	1	9
24	одной стороны	3	9
25	с одной	3	9
26	в частности	4	9
27	так и	3	8
28	о том	20	8
29	но в	2	8
30	а также	1	8
31	в себе	6	7
32	не было	3	7
33	не в	2	7
34	в основе	3	7
35	то же	9	7
36	в его	10	7
37	только в	4	7
38	со стороны	2	7
39	и как	5	6
40	в своем	7	6
41	можно сказать	2	5
42	в своей	4	5
43	во всех	2	5
44	в их	2	5
45	сводится к	2	5
46	к тому	12	5
47	то что	44	5
48	и на	5	5
49	тому же	3	5
50	а с	2	5
51	в котором	2	5
52	а в	4	5
53	как бы	25	5
54	на его	1	4
55	определена как	1	4
56	же время	2	4
57	одной из	1	4
58	в сторону	3	4
59	в которых	3	4
60	что в	21	4
61	для него	1	4
62	потому что	24	4
63	между тем	1	4
64	и к	2	4
65	привело к	1	4
66	в целом	5	4
67	что не	4	4
68	и о	4	4
69	в истории	1	4
70	такого рода	1	4
71	в них	2	4
72	в особенности	1	4
73	внимание на	2	4
74	с его	2	4
75	связи с	2	4
76	по своим	1	4
77	что он	20	4
78	не является	2	4
79	быть определена	1	3
80	все же	5	3
81	того же	1	3
82	таким образом	13	3
83	точки зрения	6	3
84	хотя бы	2	3
85	имеет свою	1	3
86	по себе	9	3
87	бы быть	1	3
88	в то	3	3
89	в ее	2	3
90	зрения на	1	3
91	из жизни	1	3
92	того что	4	3
93	как не	1	3
94	что и	3	3
95	он мог	1	3
96	и даже	1	3
97	времени и	2	3
98	в одной	2	3
99	с этим	5	3
100	один из	2	3
101	сказать что	13	3
102	и потому	2	3
103	свою очередь	1	3
104	тем что	3	3
105	перед нами	6	3
106	другой стороны	2	3
107	во мне	1	3
108	в первом	1	3
109	именно в	2	3
110	в самом	12	3
111	также и	2	3
112	в действительности	2	3
113	в своих	3	3
114	столь же	2	3
115	это не	6	3
116	заключается в	5	3
117	тому как	2	3
118	из них	4	3
119	это понятие	1	3
120	в свою	1	3
121	за его	1	2
122	исходя из	4	2
123	то с	1	2
124	в другом	1	2
125	по словам	2	2
126	так сказать	1	2
127	и др	1	2
128	нельзя как	1	2
129	или в	1	2
130	могла бы	4	2
131	для своего	1	2
132	отличается от	1	2
133	он всегда	1	2
134	об этом	4	2
135	и ее	2	2
136	к другим	1	2
137	на ее	2	2
138	и все	12	2
139	есть в	1	2
140	смысл в	1	2
141	в какой	5	2
142	и во	1	2
143	и вообще	1	2
144	не следует	1	2
145	к которому	1	2
146	это в	4	2
147	в тех	2	2
148	и без	1	2
149	рассматривать как	1	2
150	здесь в	3	2
151	о нем	4	2
152	как его	1	2
153	и было	1	2
154	и он	3	2
155	как показывает	1	2
156	в одном	3	2
157	стороны и	1	2
158	на протяжении	1	2
159	иначе говоря	2	2
160	в виду	2	2
161	жизни в	1	2
162	к такому	2	2
163	в рассказе	8	2
164	например в	3	2
165	что касается	2	2
166	во всяком	3	2
167	дело с	3	2
168	сами по	3	2
169	мысли о	2	2
170	событий а	1	2
171	но как	1	2
172	более чем	1	2
173	для художественного	1	2
174	можно определить	1	2
175	для понимания	2	2
176	однако уже	1	2
177	что даже	1	2
178	героя и	2	2
179	с ее	3	2
180	как мы	4	2
181	и его	5	2
182	к его	1	2
183	события в	3	2
184	в сущности	6	2
185	что с	1	2
186	события а	2	2
187	никогда не	5	2
188	характер и	1	2
189	едва ли	2	2
190	это было	4	2
191	мы имеем	2	2
192	однако это	1	2
193	однако и	1	2
194	а о	1	2
195	слова в	1	2
196	в этой	9	2
197	на этом	3	2
198	к другому	1	2
199	будто бы	1	2
200	когда он	7	2
201	не от	1	2
202	мысли и	1	2
203	бы это	3	2
204	за пределы	1	2
205	и что	25	2
206	как к	1	2
207	автора в	1	2
208	и представляет	1	2
209	подобно тому	1	2
210	уже о	1	2
211	себя в	4	2
212	целый ряд	5	2
213	и есть	4	2
214	но они	1	2
215	не таково	1	2
216	к этому	4	2
217	точка зрения	2	2
218	своей природе	1	2
219	уже в	2	2
220	так например	4	2
221	в пределах	3	2
222	указывает на	3	2
223	не имея	1	2
224	же самое	6	2
225	на сцене	3	2
226	том чтобы	4	2
227	в евгении	1	1
228	что каждый	1	1
229	к словесному	1	1
230	о которых	2	1
231	выявить и	1	1
232	в отдельности	1	1
233	с самого	5	1
234	в словах	2	1
235	когда мы	6	1
236	событие это	1	1
237	говорит не	2	1
238	событий в	3	1
239	их с	1	1
240	это лишь	1	1
241	мы обратимся	1	1
242	о ней	2	1
243	было бы	12	1
244	трагедии и	6	1
245	и психологической	1	1
246	вопрос о	2	1
247	если же	1	1
248	стороны он	2	1
249	событиях и	1	1
