N	3gram	Losev_Dial_4	Tvorches
1	в то же	6	13
2	то же время	6	12
3	в том что	9	6
4	о том что	1	5
5	но в то	2	4
6	дело в том	1	3
7	у достоевского в	1	3
8	это как бы	1	3
9	та же самая	1	2
10	и та же	1	2
11	точно так же	2	2
12	по крайней мере	7	2
13	в данном случае	1	2
14	не только в	1	2
15	можно сказать что	1	2
16	и в то	2	2
17	тем не менее	2	2
18	что иное как	8	1
19	не может не	1	1
20	но только не	2	1
21	равно как и	2	1
22	это-то и есть	1	1
23	хотя бы и	2	1
24	в отличие от	1	1
25	он пришел к	1	1
26	и не мог	2	1
27	все же это	1	1
28	на самом же	1	1
29	а вместе с	1	1
30	то и другое	2	1
31	некоторые из них	1	1
32	и тем не	1	1
33	он видит и	1	1
34	ту или иную	2	1
35	что оно не	2	1
36	такое время? время	1	1
37	в конце концов	1	1
38	и как бы	1	1
39	как и на	1	1
40	что он сам	1	1
41	в этот момент	1	1
42	на аршине пространства	1	1
43	в связи с	1	1
44	души и тела	1	1
45	одна и та	1	1
46	я не могу	1	1
47	самом же деле	1	1
48	не мог не	1	1
49	один из возможных	2	1
50	по себе а	1	1
51	имел в виду	1	1
52	лежащая в основе	1	1
53	в свою очередь	2	1
54	это значит что	7	1
55	а что если	1	1
56	он не может	1	1
57	с другой стороны	1	1
58	но это не	1	1
59	не значит что	1	1
60	не что иное	8	1
61	в отношении к	1	1
62	что такое время?	1	1
63	и т д	15	1
