N	3gram	Kanaev_Sov_1	Psycholo
1	в том что	1	14
2	с одной стороны	1	12
3	в зависимости от	4	6
4	в самом деле	1	5
5	до сих пор	1	5
6	заключает в себе	1	4
7	тот факт что	1	4
8	то же самое	2	3
9	на этот вопрос	1	3
10	с самого начала	3	3
11	мы видим что	1	3
12	можно было бы	1	3
13	друг с другом	2	3
14	и для ее	1	2
15	что иное как	1	2
16	и той же	1	2
17	в этом случае	1	2
18	может быть и	2	2
19	с точки зрения	5	2
20	в отличие от	2	2
21	таким образом все	1	2
22	одной и той	1	2
23	так же как	1	2
24	в данном случае	1	2
25	сами по себе	1	2
26	именно в том	1	2
27	не может быть	4	2
28	не что иное	1	2
29	по его мнению	1	2
30	той или иной	1	2
31	мы знаем что	1	2
32	на самом деле	1	2
33	и есть то	1	1
34	но в самом	1	1
35	для его осуществления	1	1
36	но только не	1	1
37	оно может быть	1	1
38	дело в том	1	1
39	по отношению к	1	1
40	равно как и	1	1
41	мы можем поставить	1	1
42	в этом смысле	1	1
43	для наших целей	1	1
44	влечет за собой	1	1
45	же самое в	1	1
46	одной стороны и	1	1
47	и в этом	1	1
48	следующим образом если	1	1
49	с другом мы	1	1
50	и именно в	1	1
51	каждом отдельном случае	5	1
52	вовсе не хотим	1	1
53	по крайней мере	1	1
54	в том случае	1	1
55	мы не можем	6	1
56	сказать ничего не	1	1
57	все эти три	1	1
58	и тот же	1	1
59	как например при	1	1
60	не могут быть	1	1
61	и значит он	1	1
62	что при таком	1	1
63	и другую сторону	1	1
64	мы очень мало	1	1
65	один и тот	1	1
66	шаг за шагом	1	1
67	когда мы говорим	1	1
68	хотим сказать что	1	1
69	сих пор в	1	1
70	в свою очередь	2	1
71	те или иные	1	1
72	в конечном счете	1	1
73	не хотим сказать	1	1
74	в результате мы	1	1
75	он может быть	1	1
76	мы видели что	3	1
77	в каждом отдельном	5	1
78	и мы получим	1	1
79	и все же	1	1
