N	2gram	Losev_Vlad_2	Myslijsy
1	потому что	9	52
2	то есть	7	42
3	и в	30	39
4	может быть	7	27
5	в том	18	26
6	только в	6	25
7	не может	9	22
8	что в	12	22
9	не только	12	21
10	так как	5	21
11	а не	7	21
12	в нем	4	20
13	но и	8	20
14	и не	18	18
15	том что	12	16
16	так что	5	16
17	в этом	20	15
18	не в	9	15
19	если бы	1	14
20	в себе	6	13
21	таким образом	3	13
22	так и	5	13
23	чувства и	1	13
24	было бы	9	12
25	в душе	1	11
26	есть только	1	11
27	точно так	3	11
28	мы не	2	10
29	как в	3	10
30	по себе	5	10
31	и что	5	10
32	то что	20	10
33	что не	2	10
34	не есть	4	10
35	но в	8	9
36	как и	5	9
37	тогда когда	2	9
38	для нас	7	9
39	там же	12	9
40	мысли и	2	9
41	тем что	1	9
42	но не	3	8
43	точки зрения	7	8
44	в одном	1	8
45	того что	5	8
46	со стороны	4	8
47	вместе с	8	8
48	по его	1	7
49	в ней	4	7
50	же с	13	7
51	с этим	5	7
52	духа и	1	7
53	это не	2	7
54	в этих	4	7
55	должны быть	1	7
56	то и	1	7
57	себе представить	2	7
58	должно быть	3	7
59	и т	1	6
60	то же	4	6
61	независимо от	1	6
62	все же	9	6
63	и как	3	6
64	при этом	5	6
65	и по	2	6
66	от нее	1	6
67	между собою	1	6
68	не менее	7	6
69	того как	2	6
70	тем не	6	6
71	в каком	1	6
72	что и	3	6
73	еще не	1	6
74	человеческого духа	1	6
75	в природе	1	6
76	как бы	5	6
77	с в	4	5
78	то это	4	5
79	во всех	3	5
80	только тогда	2	5
81	то в	5	5
82	с тем	2	5
83	несмотря на	4	5
84	не имеет	2	5
85	и его	6	5
86	язык и	1	5
87	во втором	1	5
88	в его	11	5
89	для всех	1	5
90	вовсе не	4	5
91	друг друга	2	5
92	что человек	1	5
93	так же	4	5
94	и потому	2	5
95	но это	4	5
96	и для	3	5
97	из себя	1	5
98	а в	11	5
99	в таком	3	5
100	есть нечто	2	4
101	а только	1	4
102	удовольствия и	1	4
103	из этих	3	4
104	т д	1	4
105	этом смысле	1	4
106	мы видели	2	4
107	т п	1	4
108	однако в	2	4
109	в то	9	4
110	никогда не	7	4
111	самого предмета	1	4
