N	2gram	Vinokur_St_1	VLabPisa
1	таким образом	7	27
2	в этом	21	26
3	и в	44	25
4	и т	30	24
5	не только	18	22
6	может быть	15	21
7	хотя бы	6	20
8	и не	16	19
9	не может	8	17
10	т е	15	17
11	т д	21	15
12	в его	9	15
13	в процессе	1	14
14	этом отношении	7	13
15	в том	36	13
16	прежде всего	7	13
17	в частности	4	12
18	как это	4	12
19	все это	5	12
20	с другой	9	11
21	из них	8	11
22	в качестве	4	10
23	не могут	1	10
24	о том	17	10
25	представляет собою	2	10
26	то же	5	9
27	что в	30	9
28	об этом	3	9
29	по этому	3	9
30	для него	6	9
31	т п	9	9
32	но и	10	9
33	и др	1	9
34	к этому	1	9
35	в своем	2	8
36	ни один	2	8
37	все эти	5	8
38	по словам	4	8
39	на основании	1	8
40	другой стороны	7	8
41	могут быть	5	8
42	во всех	8	7
43	по отношению	3	7
44	из этих	6	7
45	было бы	17	7
46	как и	9	7
47	том что	29	7
48	произведения в	2	7
49	этому поводу	2	7
50	говорит о	3	7
51	не было	4	7
52	а не	16	7
53	вместе с	1	7
54	отношению к	3	7
55	художественного произведения	1	6
56	это и	4	6
57	в зависимости	1	6
58	работе над	1	6
59	в себе	2	6
60	в нем	5	6
61	это не	8	6
62	их в	2	6
63	том же	1	6
64	и его	8	6
65	в то	9	6
66	так и	9	6
67	между тем	3	6
68	бы и	4	6
69	у него	2	6
70	то что	18	6
71	и есть	1	5
72	зависимости от	1	5
73	очевидно что	1	5
74	как говорит	1	5
75	все же	8	5
76	в плане	1	5
77	и при	1	5
78	не в	12	5
79	тому что	3	5
80	же время	4	5
81	на основе	1	5
82	работы над	1	5
83	как бы	4	5
84	не является	3	5
85	в результате	3	5
86	сказать что	7	5
87	только в	10	5
88	их и	1	4
89	с его	1	4
90	в этой	11	4
91	перед нами	1	4
92	в самом	7	4
93	в целом	5	4
94	в статье	7	4
95	что все	2	4
96	в них	1	4
97	даже в	3	4
98	одна из	1	4
99	никогда не	5	4
100	к тому	1	4
101	должен быть	3	4
102	в ее	4	4
103	это только	1	4
104	общая схема	1	4
105	можно сказать	1	4
106	что он	10	4
107	в одном	1	4
108	как раз	4	4
109	приведенных выше	1	4
110	в своей	6	4
111	например в	8	3
112	в котором	5	3
113	из его	1	3
114	его не	1	3
115	дают возможность	1	3
116	в которых	5	3
117	но как	1	3
118	нет и	1	3
119	что они	7	3
120	с этим	3	3
121	и к	1	3
122	всех этих	2	3
123	и по	5	3
124	в работе	1	3
125	его в	2	3
126	далеко не	1	3
127	что не	3	3
128	с тем	1	3
129	в слове	5	3
130	во время	3	3
131	точки зрения	11	3
132	это делает	1	3
133	одном из	1	3
134	этой области	5	3
135	вполне естественно	1	3
136	как о	2	3
137	к работе	1	3
138	у нас	11	3
139	данного произведения	1	3
140	она не	2	3
141	том как	4	3
142	образом в	1	3
143	в виду	1	3
144	утверждает что	1	3
145	что и	6	3
146	говорит в	2	3
147	того что	9	3
148	п в	3	3
149	этот вопрос	4	3
150	является не	4	3
151	и их	2	3
152	даже и	2	3
153	в конце	3	3
154	именно в	6	3
155	можно утверждать	1	3
156	него в	1	3
157	так же	5	3
158	некоторые из	1	3
159	по поводу	7	3
160	пишет в	1	3
161	по существу	2	3
162	писал в	1	3
163	и от	1	3
164	или в	1	3
165	видно из	1	3
166	бы в	1	3
167	жизни и	5	3
168	как на	1	3
169	как известно	1	2
170	также и	9	2
171	чтобы не	1	2
172	видеть в	1	2
173	и этот	1	2
174	по его	2	2
175	а как	2	2
176	мы имеем	2	2
177	же как	3	2
178	в которой	4	2
179	на эти	7	2
180	говорить о	2	2
181	но даже	1	2
182	то это	3	2
183	подчеркнуть что	2	2
184	в ней	3	2
185	еще не	3	2
186	что его	1	2
187	в чем	3	2
188	чуть ли	2	2
189	бы не	2	2
190	но не	3	2
191	если в	2	2
192	том числе	2	2
193	стороны и	1	2
194	что нет	2	2
195	хотя и	1	2
196	но в	10	2
197	не приходится	1	2
198	он в	1	2
199	о более	1	2
200	у каждого	1	2
201	как он	1	2
202	что она	4	2
203	он не	2	2
204	том чтобы	1	2
205	у пушкина	8	2
206	что ни	2	2
207	так например	7	2
208	я бы	2	2
209	в каждом	3	2
210	в другом	3	2
211	заключается в	4	2
212	не всегда	2	2
213	и для	3	2
214	что такое	1	2
215	никаких оснований	2	2
216	не интересует	1	2
217	всяком случае	6	2
218	не столько	1	2
219	которые в	2	2
220	по крайней	2	2
221	если бы	9	2
222	по себе	1	2
223	можно ли	4	2
224	не менее	5	2
225	о трудностях	1	2
226	тогда когда	1	2
227	пушкину и	2	2
228	в науке	1	2
229	к этим	1	2
230	не по	3	2
231	того чтобы	11	2
232	на язык	1	2
233	в сознании	2	2
234	отношении что	2	2
235	в области	14	2
236	том отношении	4	2
237	от того	1	2
238	нет ни	2	2
239	некоторых из	1	2
240	ли не	2	2
241	отличается от	1	2
242	числе и	2	2
243	порою и	1	2
244	должны быть	3	2
245	другом месте	2	2
246	что оно	3	2
247	для того	10	2
248	что при	2	2
249	мысль о	1	2
250	только то	1	2
251	из писем	1	2
252	произведения не	1	2
253	и даже	5	2
254	бы еще	1	2
255	вот это	1	2
256	во всяком	6	2
257	но к	1	2
258	на вопрос	4	2
259	говорит об	2	2
260	лишь в	3	2
261	и просто	1	2
262	в пользу	2	2
263	может не	2	2
264	во всей	1	2
265	крайней мере	2	2
266	каждом отдельном	1	2
267	конце концов	1	2
268	значит что	3	2
269	но с	3	2
270	всех его	1	2
271	но то	1	2
272	с одной	3	2
273	одной из	1	2
274	целого ряда	2	2
275	у них	1	2
276	слова не	1	2
277	при помощи	2	2
278	ни с	3	2
279	могло бы	2	2
280	эти вопросы	3	2
281	вовсе не	19	2
282	к ним	1	2
283	не о	1	2
284	одной стороны	2	2
285	или иной	1	2
286	даже не	4	2
287	до сих	7	2
288	несколько примеров	5	2
289	еще и	2	2
290	показывает что	1	2
291	что для	3	2
292	естественно что	1	2
293	к сожалению	3	2
294	о чем	1	2
295	показывает как	1	2
296	что мы	5	2
297	стороны в	2	2
298	было в	1	2
299	нет никаких	2	2
300	начиная с	2	2
301	и потому	2	2
302	эти примеры	1	2
303	из которых	1	2
304	в течение	1	2
305	как например	1	2
306	и некоторые	1	2
307	сих пор	7	2
308	того или	4	2
309	между прочим	2	2
310	этом и	1	2
311	но для	2	2
312	можно было	13	2
313	каждой из	1	2
314	этого рода	1	2
315	не подлежит	1	2
316	ни одного	2	2
317	будто бы	3	2
318	те из	1	2
319	а в	17	2
320	в стихах	1	2
321	в целях	1	2
322	не быть	1	2
323	в представлении	2	2
324	к его	1	2
325	его произведений	1	2
326	отметить что	2	2
327	в своих	2	2
328	они не	1	2
329	пор не	1	1
330	а между	1	1
331	еще что	1	1
332	вряд ли	5	1
333	можно говорить	1	1
334	речь идет	4	1
335	научного и	1	1
336	и без	3	1
337	самом деле	11	1
338	применении к	3	1
339	художественных произведений	1	1
340	все его	1	1
341	почти не	1	1
342	и так	3	1
343	писал все	1	1
344	этого в	1	1
345	что эти	1	1
346	должна быть	3	1
347	поэзии и	1	1
348	что чтение	1	1
349	смотреть на	1	1
350	без труда	1	1
351	им самим	1	1
352	правильного понимания	1	1
353	как мы	1	1
354	отдельных фактов	1	1
355	вопрос о	4	1
356	меньшей мере	3	1
357	работы на	1	1
358	из сказанного	1	1
359	вот по	1	1
360	в деле	3	1
361	на себя	1	1
362	почти исключительно	1	1
363	из того	2	1
364	это время	1	1
365	проявляется в	1	1
366	и то	5	1
367	он был	3	1
368	между собой	1	1
369	быть никакого	1	1
370	ответа на	2	1
371	быть в	2	1
372	а только	1	1
373	не все	3	1
374	ответ на	3	1
375	этот туман	2	1
376	или иное	3	1
377	в свои	1	1
378	результате этого	1	1
379	в известном	1	1
380	это самое	1	1
381	каждого произведения	1	1
382	в истории	3	1
383	в м	2	1
384	что во	2	1
385	оказывается не	1	1
386	общего с	3	1
387	кроме того	1	1
388	целый ряд	2	1
389	говорит что	3	1
390	что по	1	1
391	не являются	3	1
392	в каком-то	2	1
393	вот несколько	2	1
394	неустойчивость и	1	1
395	не очень	1	1
396	лишь о	1	1
397	или иную	1	1
398	то в	3	1
399	стороны об	1	1
400	историческая и	1	1
401	а во-вторых	1	1
402	с рукописями	1	1
403	его работе	1	1
404	уже в	2	1
405	за это	1	1
406	тут и	1	1
407	что так	3	1
408	всего необходимо	1	1
409	на то	4	1
410	если он	1	1
411	но на	2	1
412	характерны для	1	1
413	время и	1	1
414	да и	3	1
415	с принципом	1	1
416	не значит	3	1
417	прямом смысле	1	1
418	как увидим	1	1
419	не как	1	1
420	то как	1	1
421	уже не	1	1
422	действительному положению	2	1
423	в специальных	1	1
424	и речи	2	1
425	кстати сказать	2	1
426	так называемым	1	1
427	когда говорит	1	1
428	в количестве	1	1
429	являются для	1	1
430	то есть	2	1
431	входит в	1	1
432	те или	1	1
433	на протяжении	1	1
434	то все	1	1
435	этом смысле	1	1
436	пушкина в	24	1
437	от всей	1	1
438	кажется что	3	1
439	материал для	3	1
440	в ином	1	1
441	говорим о	1	1
442	и творчества	2	1
443	для них	1	1
444	ни одной	2	1
445	соответствии с	1	1
446	области не	1	1
447	с этой	3	1
448	и следовало	1	1
449	которой он	1	1
450	несмотря на	2	1
451	смысле что	1	1
452	на этот	3	1
453	самые неожиданные	1	1
454	мере не	1	1
455	в этих	2	1
456	он должен	2	1
457	возможность поднять	1	1
458	знает и	2	1
459	мысль в	1	1
460	что до	2	1
461	печатном тексте	1	1
462	значение для	1	1
463	быть признана	1	1
464	ряда других	1	1
465	но он	2	1
466	иным как	1	1
467	в прямом	1	1
468	обращение к	1	1
469	и эти	1	1
470	что этот	2	1
471	следующими словами	1	1
472	бы быть	1	1
473	которой является	1	1
474	е из	1	1
475	гармонии звуков	1	1
476	евгения онегина	5	1
477	нет никакого	1	1
478	вплоть до	5	1
479	в таких	1	1
480	о значении	3	1
481	а иногда	2	1
482	как можно	2	1
483	что эта	2	1
484	без того	1	1
485	еще до	1	1
486	дело не	4	1
487	того как	1	1
488	что их	1	1
489	по меньшей	3	1
490	к изучению	1	1
491	время как	2	1
492	и имеет	1	1
493	но только	1	1
494	не могло	1	1
495	не имеет	4	1
496	судя по	2	1
497	казалось бы	1	1
498	не имели	2	1
499	это то	1	1
500	в обычных	1	1
501	что самое	1	1
502	и чувства	1	1
503	е не	1	1
504	на некоторые	1	1
505	только с	2	1
506	так то	1	1
507	как будто	4	1
508	в основе	3	1
509	в каком	3	1
510	больше того	1	1
511	практике но	1	1
512	освобождается от	1	1
513	нет даже	2	1
514	один раз	1	1
515	уже о	5	1
516	ничего общего	3	1
517	в применении	3	1
518	и это	2	1
519	говоря уже	1	1
520	данном случае	6	1
521	то или	3	1
522	то время	2	1
523	причем в	1	1
524	нечто целое	1	1
525	и сам	2	1
526	что у	4	1
527	почти каждый	1	1
528	проблем и	1	1
529	это вовсе	2	1
530	каждого из	2	1
531	достаточно красноречивы	1	1
532	но у	1	1
533	мы в	1	1
534	является в	1	1
535	поэтому в	3	1
536	о котором	2	1
537	этапы в	1	1
538	для этого	2	1
539	а по	1	1
540	о нем	1	1
541	до последних	1	1
542	материала и	2	1
543	на него	2	1
544	и та	1	1
545	прав в	1	1
546	и что	4	1
547	в глаза	1	1
548	после того	1	1
549	с того	1	1
550	для нас	7	1
551	а также	2	1
552	с целью	1	1
553	д но	4	1
554	несомненно и	1	1
555	работа по	1	1
556	нет это	2	1
557	к истине	1	1
558	нас особенно	1	1
559	или иначе	2	1
560	и во	2	1
561	в форме	1	1
562	которая должна	1	1
563	быть даже	1	1
564	приводит и	1	1
565	и тех	1	1
566	по в	1	1
567	снять с	1	1
568	в свете	1	1
569	пушкине и	2	1
570	если это	3	1
571	пушкина к	3	1
572	сюда относится	1	1
573	указывает что	1	1
574	е тот	1	1
575	быть и	2	1
576	или иные	1	1
577	в какой	3	1
578	как нечто	1	1
579	эти утверждения	1	1
580	который в	1	1
581	самые разнообразные	1	1
582	пока в	1	1
583	ему самому	1	1
584	об их	1	1
585	в печатном	3	1
586	этой системе	1	1
587	же и	4	1
588	есть в	2	1
589	конечно не	2	1
590	и насколько	1	1
591	причастные к	1	1
592	не знать	1	1
593	в виде	3	1
594	в начале	3	1
595	свидетельствует о	2	1
596	которых можно	1	1
597	какую-то особую	1	1
598	еще одну	1	1
599	в данной	2	1
600	и других	1	1
601	его и	1	1
602	ту или	1	1
603	до самых	1	1
604	что будет	1	1
605	который как	2	1
606	себе в	1	1
607	и из	1	1
608	очень любопытно	1	1
609	ни в	3	1
610	сами по	1	1
611	для правильного	1	1
612	не для	2	1
613	отношение к	2	1
614	общим правилом	1	1
615	но что	1	1
616	дело и	1	1
617	каждый из	1	1
618	при отсутствии	1	1
619	и никогда	1	1
620	отношение в	1	1
621	положению вещей	1	1
622	французской революции	1	1
623	тем что	5	1
624	сказать еще	2	1
625	этой категории	2	1
626	это положение	1	1
627	оснований видеть	1	1
628	без всякой	3	1
629	только у	2	1
630	так не	1	1
631	а именно	3	1
632	совершенно точно	1	1
633	что тот	1	1
634	чем он	1	1
635	собою особенно	1	1
636	ли считать	1	1
637	пушкина чтобы	1	1
638	этом у	1	1
639	медного всадника	2	1
640	в соответствии	1	1
641	связано с	1	1
642	них и	1	1
643	не означает	1	1
644	однако и	2	1
645	этой главы	3	1
