N	3gram	Vinokur_St_2	Mirosoze
1	друг к другу	1	5
2	для того чтобы	5	4
3	до сих пор	5	3
4	к тому что	5	3
5	так же как	3	3
6	в высшей степени	1	3
7	и в этом	2	3
8	т е в	1	2
9	в русской истории	1	2
10	не до конца	2	2
11	в отношении к	1	2
12	о том что	11	2
13	по отношению к	1	2
14	и те же	1	2
15	после того как	4	2
16	в том что	16	2
17	том что в	2	1
18	а между тем	1	1
19	сомневаться в том	2	1
20	было не по	1	1
21	тому что у	1	1
22	том что он	5	1
23	нельзя было бы	1	1
24	с точки зрения	2	1
25	не могли быть	1	1
26	сам по себе	1	1
27	что он не	4	1
28	в этом отношении	9	1
29	ни у кого	1	1
30	в той мере	2	1
31	на то что	2	1
32	он никогда не	1	1
33	в значительной степени	2	1
34	не только имеет	1	1
35	той мере в	2	1
36	по сравнению с	1	1
37	что он сам	1	1
38	одни и те	1	1
39	что у него	1	1
40	я не могу	1	1
41	мере в какой	2	1
42	но также и	1	1
43	но он не	1	1
44	между тем в	1	1
45	но я не	1	1
46	на самом деле	1	1
47	в письме к	5	1
48	в конце концов	1	1
