N	2gram	Tiupa_Hudo_1	Poddanst
1	не только	16	17
2	и в	19	14
3	и не	15	12
4	в области	6	11
5	в этом	11	10
6	в отношении	3	10
7	в качестве	24	9
8	но в	7	9
9	то же	10	9
10	в том	18	9
11	в пределах	3	8
12	только в	5	7
13	в то	6	7
14	же время	5	7
15	было бы	1	6
16	но и	10	6
17	быть может	1	6
18	отношении к	2	5
19	с другой	7	5
20	может быть	14	5
21	и пр	1	5
22	не в	7	5
23	и о	3	5
24	если бы	3	4
25	тех кто	1	4
26	а также	5	4
27	в своем	2	4
28	и к	3	4
29	как бы	9	4
30	и политического	1	4
31	том что	8	4
32	не может	7	4
33	и потому	2	4
34	в котором	1	4
35	по себе	2	4
36	в русской	3	4
37	что в	6	4
38	же в	1	4
39	а в	12	4
40	то что	4	4
41	сводится к	7	3
42	в порядке	2	3
43	столь же	1	3
44	между тем	4	3
45	это не	2	3
46	вслед за	1	3
47	хотя и	3	3
48	и как	3	3
49	тот же	1	3
50	с ними	1	3
51	с одной	2	3
52	в себе	9	3
53	в нем	5	3
54	для того	2	3
55	заключается в	2	3
56	прежде всего	4	3
57	одной стороны	2	3
58	и без	1	3
59	с точки	3	3
60	но не	11	3
61	могут быть	4	3
62	тем самым	4	3
63	потому что	3	3
64	точки зрения	10	3
65	в сравнении	1	3
66	сравнении с	1	3
67	я и	7	3
68	и это	2	2
69	отношения к	2	2
70	например в	3	2
71	в сфере	1	2
72	в ее	5	2
73	и есть	1	2
74	в мире	21	2
75	есть не	1	2
76	в сочетании	1	2
77	которое в	1	2
78	время в	1	2
79	в значительной	1	2
80	во всех	3	2
81	в которую	1	2
82	говорить о	3	2
83	если в	1	2
84	во всей	3	2
85	со стороны	2	2
86	в е	1	2
87	отнюдь не	2	2
88	в русском	1	2
89	и пусть	1	2
90	того что	4	2
91	и весьма	2	2
92	к чему	1	2
93	бы ни	1	2
94	теперь в	1	2
95	есть в	2	2
96	в его	9	2
97	из них	1	2
98	в силу	1	2
99	как раз	3	2
100	в статье	1	2
101	точек зрения	1	2
102	полной мере	1	2
103	именно в	2	2
104	мира с	1	2
105	и тем	2	2
106	в жизни	2	2
107	в них	2	2
108	не было	1	2
109	а не	9	2
110	должно быть	1	2
111	хх века	2	2
112	более чем	1	2
113	не столько	3	2
114	друг другу	1	2
115	культуры в	2	2
116	и достоевского	1	2
117	что из	1	2
118	не менее	3	2
119	своем значении	1	2
120	все это	2	2
121	одна из	2	2
122	сколько бы	1	2
123	и право	1	2
124	мысль о	1	2
125	в полной	1	2
126	тем более	1	2
127	в перспективе	1	2
128	заключает в	1	2
129	в частности	13	2
130	том числе	2	2
131	поскольку не	2	1
132	также и	1	1
133	же как	1	1
134	и через	1	1
135	но чтобы	2	1
136	и то	4	1
137	тем и	1	1
138	на основе	2	1
139	как преодоление	1	1
140	в иных	1	1
141	в себя	2	1
142	мире можно	1	1
143	по преимуществу	2	1
144	к жизни	2	1
145	на нее	1	1
146	и ясный	1	1
147	те же	1	1
148	не с	2	1
149	ибо к	1	1
150	русской культуре	1	1
151	для этого	1	1
152	в собственном	1	1
153	не вполне	2	1
154	с ее	5	1
155	и ее	3	1
156	именно потому	1	1
157	и здесь	1	1
158	подчеркнуть что	1	1
159	может не	1	1
160	не означает	1	1
161	настоящее время	1	1
162	и что	3	1
163	внутреннего зрения	7	1
164	еще не	3	1
165	и на	2	1
166	мира а	1	1
167	к деградации	1	1
168	и который	2	1
169	в различных	1	1
170	с его	6	1
171	вопросу о	1	1
172	восходит к	1	1
173	смысле не	1	1
174	жить и	2	1
175	не все	2	1
176	более как	1	1
177	что и	2	1
