N	3gram	Tiupa_Teor_1	Dialekti
1	по крайней мере	1	9
2	с точки зрения	3	8
3	сама по себе	1	7
4	в том что	8	6
5	то или иное	1	4
6	одно и то	1	4
7	и то же	1	4
8	в связи с	1	4
9	субъекта и объекта	1	4
10	только то что	1	4
11	то же время	5	4
12	о том что	1	4
13	с другой стороны	5	4
14	что иное как	1	3
15	в то же	5	3
16	может быть и	2	3
17	не что иное	1	3
18	содержит в себе	1	3
19	а не сама	1	3
20	не может быть	4	3
21	в то время	1	3
22	можно сказать что	2	3
23	в той или	1	2
24	иметь в виду	1	2
25	в виду что	1	2
26	более или менее	2	2
27	в силу своей	1	2
28	в данном случае	5	2
29	тем не менее	3	2
30	не могут быть	2	2
31	так или иначе	4	2
32	есть не что	1	2
33	та или иная	1	2
34	то же самое	1	2
35	том что она	1	1
36	точки зрения и	1	1
37	я думаю что	1	1
38	том что в	1	1
39	– все это	1	1
40	мы говорим о	1	1
41	видим в нем	1	1
42	я никогда не	1	1
43	это было бы	1	1
44	имея в виду	1	1
45	подобно тому как	1	1
46	в этом смысле	2	1
47	если он не	1	1
48	так и его	2	1
49	не было и	1	1
50	– независимо от	1	1
51	и в то	1	1
52	или преступления –	1	1
53	бы то ни	1	1
54	в каждом человеке	1	1
55	точно так же	1	1
56	также что в	1	1
57	а только лишь	1	1
58	но я никогда	1	1
59	со всех сторон	1	1
60	ту или иную	1	1
61	субъект и объект	1	1
62	как раз в	1	1
63	так же как	1	1
64	в виду не	3	1
65	с одной стороны	2	1
66	на первый взгляд	1	1
67	и религии миф	1	1
68	он мог бы	1	1
69	мы имеем не	1	1
70	не содержит в	1	1
71	личности а не	1	1
72	и в этой	1	1
73	приводит к тому	2	1
74	личности как это	1	1
75	а в другом	1	1
76	при всей своей	1	1
77	того или иного	3	1
78	заключается в том	1	1
79	в мире без	1	1
80	а не ее	1	1
81	в душе моей	1	1
82	тем и другим	1	1
83	не сама жизнь	1	1
84	той или иной	1	1
85	каждой из них	1	1
86	в своей жизни	1	1
87	к тому что	2	1
88	в узком и	1	1
89	всем потому что	1	1
90	то что они	1	1
91	дело не в	1	1
92	на театральной сцене	1	1
