N	2gram	Tiupa_Anal_1	Sovremen
1	не может	22	17
2	может быть	29	12
3	точки зрения	6	12
4	таким образом	3	11
5	мы не	1	9
6	в этом	13	7
7	не можем	1	7
8	и в	18	7
9	ничего не	1	6
10	как и	13	6
11	и не	21	6
12	в результате	1	6
13	только одна	1	6
14	и наконец	1	5
15	все эти	2	5
16	что же	2	5
17	прежде всего	6	5
18	с точки	4	5
19	в зависимости	1	4
20	вопрос о	2	4
21	зависимости от	1	4
22	нет и	2	4
23	мы должны	1	4
24	в том	27	4
25	в целом	5	4
26	из них	2	4
27	так как	2	4
28	не только	15	4
29	как бы	5	4
30	вместе с	4	4
31	это не	6	4
32	точку зрения	1	4
33	их в	1	4
34	а в	9	4
35	жизни и	1	4
36	он может	2	3
37	в первом	2	3
38	то же	9	3
39	и т.д	1	3
40	но мы	1	3
41	между собой	2	3
42	может не	1	3
43	отнюдь не	15	3
44	все же	4	3
45	еще не	3	3
46	но в	8	3
47	он в	1	3
48	в этой	5	3
49	в себе	11	3
50	как он	3	3
51	в одном	1	3
52	в нем	3	3
53	при этом	12	3
54	было бы	2	3
55	а не	17	3
56	и потому	2	3
57	не в	14	3
58	при таком	1	3
59	не подлежит	1	3
60	одна из	1	3
61	для нас	1	3
62	и все	3	3
63	и к	3	3
64	отличается от	2	3
65	в области	4	3
66	как известно	3	2
67	как мы	2	2
68	свою очередь	1	2
69	и есть	3	2
70	роль в	2	2
71	все те	1	2
72	той же	2	2
73	времени и	6	2
74	на этом	2	2
75	и даже	1	2
76	и что	1	2
77	и во	1	2
78	самом деле	2	2
79	в которую	1	2
80	в его	13	2
81	может иметь	2	2
82	быть и	1	2
83	только один	1	2
84	в самом	6	2
85	в которой	2	2
86	что это	1	2
87	в нашем	3	2
88	из этих	2	2
89	с одной	3	2
90	уже не	4	2
91	то и	1	2
92	с другом	1	2
93	в виде	1	2
94	на его	2	2
95	свою целостность	1	2
96	всяком случае	1	2
97	у него	1	2
98	принципиально не	3	2
99	и по	2	2
100	отличие от	6	2
101	но все	1	2
102	то ни	3	2
103	что все	1	2
104	или иной	6	2
105	развития в	1	2
106	такой же	2	2
107	из которых	4	2
108	в отличие	6	2
109	такого рода	5	2
110	друг с	1	2
111	форма в	1	2
112	о жизни	1	2
113	не менее	1	2
114	на котором	1	2
115	она может	3	2
116	из четырех	2	2
117	этих двух	1	2
118	в науке	1	2
119	тот же	1	2
120	в свою	1	2
121	своего предмета	3	2
122	совершенно не	1	2
123	не могут	3	2
124	могут быть	4	2
125	же самое	2	2
126	что в	5	2
127	в таком	3	2
128	во всяком	1	2
129	а может	1	1
130	должен быть	6	1
131	еще аристотелем	1	1
132	оно может	3	1
133	которая оказывается	1	1
134	времени не	1	1
135	человека и	1	1
136	начало нового	1	1
137	на самом	2	1
138	для науки	3	1
139	принадлежащие одному	1	1
140	между двумя	3	1
141	отношению к	5	1
142	по преимуществу	1	1
143	и до	2	1
144	не имеют	1	1
145	между ним	1	1
146	иметь место	2	1
147	в мире	8	1
148	по аналогии	1	1
149	мы уже	1	1
150	те же	1	1
151	есть не	8	1
152	принадлежит только	1	1
153	при одном	1	1
154	мы имеем	6	1
155	еще в	2	1
156	такой путь	1	1
157	целью а	1	1
158	двух и	1	1
159	же мере	2	1
160	если бы	3	1
161	два направления	1	1
162	что иное	5	1
163	и соответственно	4	1
164	имеют место	1	1
165	на элементы	1	1
166	и должно	1	1
167	а далее	1	1
168	того же	4	1
169	о том	5	1
170	в ней	1	1
171	и та	2	1
172	определенным образом	1	1
173	одного из	2	1
174	аналогии с	1	1
175	он сам	1	1
176	его работы	1	1
177	иное как	5	1
178	быть в	1	1
179	же время	6	1
180	бы то	3	1
181	его в	1	1
182	с его	3	1
183	во всех	1	1
184	обратном порядке	1	1
185	раз и	1	1
186	аристотелем и	1	1
187	данном случае	2	1
188	но не	10	1
189	мы будем	1	1
190	но как	1	1
191	целостность и	2	1
192	если в	3	1
193	в конечном	4	1
194	во втором	1	1
195	конечном счете	4	1
196	по отношению	6	1
197	ним и	2	1
198	во всей	1	1
199	крайней мере	1	1
200	один и	1	1
201	которая и	1	1
202	к концу	1	1
203	в ту	1	1
204	все время	1	1
205	жизни оно	1	1
206	человека как	1	1
207	независимо от	1	1
208	к нему	3	1
209	известном смысле	1	1
210	один из	2	1
211	целого из	1	1
212	совершенно объективным	1	1
213	ли он	2	1
214	в действительности	1	1
215	только в	6	1
216	значение этих	1	1
217	именно эта	1	1
