N	4gram	Propp_Russ_1	Morfolog
1	как мы увидим ниже	1	3
2	состоит в том что	8	2
3	в тех случаях когда	1	2
4	как и в других	1	2
5	это не значит что	2	2
6	и в других случаях	1	1
7	бросается в глаза что	1	1
8	не имеет ничего общего	1	1
9	тем не менее следует	1	1
10	для наших целей нет	1	1
11	т д сюда же	1	1
12	можно сделать из приведенных	1	1
13	выводы можно сделать из	2	1
14	не что иное как	2	1
15	только в тех случаях	1	1
16	определить в какой степени	1	1
17	к тому что в	1	1
18	в этом случае он	1	1
19	какие же выводы можно	2	1
20	же выводы можно сделать	2	1
21	и т д сюда	1	1
22	не имеет смысла но	1	1
