N	2gram	Losev_Prob_3	Morfolog
1	может быть	28	52
2	и т	13	49
3	т д	13	47
4	таким образом	9	20
5	не может	7	17
6	в этих	2	16
7	могут быть	2	15
8	этих случаях	1	14
9	с этим	2	14
10	и в	44	13
11	в этом	17	13
12	так как	9	12
13	перед нами	8	11
14	связи с	8	11
15	заметить что	1	10
16	то же	13	9
17	мы имеем	2	9
18	так и	10	9
19	этом случае	5	9
20	не всегда	1	9
21	прежде всего	3	9
22	а не	18	9
23	в связи	7	9
24	и не	35	9
25	при помощи	8	8
26	что и	9	8
27	с другой	7	8
28	по существу	2	8
29	в результате	2	8
30	вопрос о	1	7
31	нет необходимости	1	7
32	в качестве	3	7
33	представляет собою	1	7
34	в тех	3	7
35	все же	6	7
36	но если	6	7
37	но не	3	6
38	это не	9	6
39	во время	1	6
40	подобно тому	1	6
41	не могут	1	6
42	и здесь	5	6
43	а также	4	6
44	в том	21	6
45	а в	5	6
46	мы не	7	5
47	во всех	2	5
48	не все	1	5
49	то что	23	5
50	в образе	1	5
51	здесь можно	1	5
52	далеко не	1	5
53	не менее	10	5
54	потому что	25	5
55	или в	4	5
56	если мы	16	5
57	как бы	9	5
58	и другие	3	5
59	также и	16	4
60	то это	10	4
61	то мы	1	4
62	как в	5	4
63	хотя и	5	4
64	и как	3	4
65	не только	14	4
66	на его	1	4
67	следующим образом	1	4
68	об этом	3	4
69	его в	3	4
70	было бы	8	4
71	вовсе не	37	4
72	как и	10	4
73	несмотря на	1	4
74	точки зрения	5	4
75	с точки	2	4
76	тем не	10	4
77	на котором	2	4
78	ничего не	3	4
79	тем что	4	4
80	как мы	8	4
81	видно что	1	4
82	случае не	3	4
83	другой стороны	5	4
84	там где	1	4
85	так же	5	4
86	а если	1	4
87	героя в	2	4
88	что в	8	4
89	получает в	1	3
90	самом деле	3	3
91	на самом	7	3
92	в первом	1	3
93	и для	2	3
94	между собой	1	3
95	заметим что	1	3
96	независимо от	1	3
97	как таковое	1	3
98	но в	12	3
99	в целом	6	3
100	в нашем	5	3
101	в пределах	1	3
102	может существовать	1	3
103	и по	2	3
104	но все	3	3
105	входит в	1	3
106	из них	2	3
107	ни в	8	3
108	в один	1	3
109	том что	12	3
110	в то	9	3
111	на него	1	3
112	того чтобы	1	3
113	живые существа	1	3
114	от того	2	3
115	на нем	1	3
116	большей частью	1	3
117	с собой	3	3
118	если бы	3	3
119	но и	10	3
120	он не	8	3
121	во втором	1	3
122	значит что	7	3
123	и ее	3	3
124	в начале	2	3
125	а то	3	3
126	друг друга	2	3
127	мы можем	6	3
128	в руки	1	3
129	не является	11	3
130	что они	5	3
131	для этой	1	3
132	из которых	2	3
133	но это	8	3
134	кроме того	3	3
135	это уже	3	3
136	иное чем	1	3
137	мы должны	7	3
138	только что	2	3
139	же в	3	3
140	первом случае	1	3
141	если же	3	3
142	можно назвать	1	3
143	смысле слова	8	2
144	как это	2	2
145	тем же	2	2
146	он требует	1	2
147	что эти	1	2
148	собственном смысле	1	2
149	быть заменен	1	2
150	есть нечто	8	2
151	время как	4	2
152	который может	1	2
153	чем это	1	2
154	совсем не	2	2
155	а с	2	2
156	первый взгляд	2	2
157	если она	1	2
158	тех случаях	1	2
159	и к	6	2
160	более или	1	2
161	то в	3	2
162	как то	1	2
163	сказать о	1	2
164	здесь имеется	1	2
165	касается только	1	2
166	или очень	1	2
167	не значит	3	2
168	д все	1	2
169	приходим к	1	2
170	в нее	1	2
171	можно было	4	2
172	и за	2	2
173	многих других	2	2
174	бы они	1	2
175	в другом	2	2
176	мы уже	4	2
177	это было	2	2
178	за ней	1	2
179	с тем	5	2
180	и тогда	3	2
181	на первый	4	2
182	или менее	1	2
183	для него	3	2
184	и при	2	2
185	что такое	3	2
186	мы приходим	1	2
187	имеется в	4	2
188	таких случаях	2	2
189	дается в	1	2
190	героя у	1	2
191	настоящее время	2	2
192	и более	2	2
193	однако в	2	2
194	а а	1	2
195	все эти	7	2
196	в таких	3	2
197	с теми	2	2
198	не имеет	9	2
199	же между	1	2
200	случаях не	2	2
201	что ни	1	2
202	и его	5	2
203	так например	1	2
204	в каком	4	2
205	орел и	1	2
206	для того	1	2
207	оно не	1	2
208	утверждать что	1	2
209	здесь не	8	2
210	в собственном	1	2
211	то время	4	2
212	и что	7	2
213	если они	1	2
214	не с	1	2
215	ясно что	6	2
216	является в	2	2
217	означает что	1	2
218	во избежание	1	2
219	о том	6	2
220	с одной	2	2
221	можно сказать	6	2
222	ни к	3	2
223	образом если	1	2
224	не означает	1	2
225	и только	6	2
226	того что	8	2
227	быть и	3	2
228	можно отметить	1	2
229	хотя бы	3	2
230	этот вопрос	3	2
231	что он	9	2
232	только в	19	2
233	себя в	2	2
234	уже не	7	2
235	или не	1	2
236	в виде	6	2
237	или просто	1	2
238	никто не	2	2
239	момент в	1	2
240	без всякой	1	2
241	себя и	1	2
242	не исключает	1	2
243	сказать что	16	2
244	что мы	8	2
245	в частности	2	2
246	д в	1	2
247	или по	4	2
248	к другой	2	2
249	одной стороны	1	2
250	самого себя	3	2
251	есть и	2	2
252	нам еще	1	2
253	благодаря этому	1	2
254	но для	1	2
255	случае он	1	2
256	случаях когда	1	2
257	не существует	1	2
258	сразу же	2	2
259	в настоящее	2	2
260	в отдельных	1	2
261	от него	2	2
262	чтобы его	1	2
263	но вот	3	2
264	иначе чем	1	2
265	или другими	2	2
266	а во	1	2
267	но эти	1	2
268	к этому	1	2
269	точно так	3	2
270	вопрос мы	1	1
271	например в	1	1
272	таком случае	4	1
273	и то	14	1
274	он может	1	1
275	возможны и	1	1
276	словами и	1	1
277	говорилось выше	2	1
278	как такового	1	1
279	от самого	1	1
280	почти всегда	2	1
281	уже по	1	1
282	есть не	5	1
283	она в	1	1
284	что далеко	1	1
285	на первом	1	1
286	но никто	1	1
287	обходится без	1	1
288	что это	3	1
289	что иное	4	1
290	не вполне	1	1
291	оно есть	1	1
292	конечно и	1	1
293	в виду	10	1
294	состоят из	1	1
295	следовательно в	1	1
296	оказывается что	1	1
297	собой в	1	1
298	всегда можно	1	1
299	к целому	1	1
300	прячется в	1	1
301	если исходить	1	1
302	там и	3	1
303	есть функция	1	1
