N	3gram	Bakhtin_Pr_3	StatiiOP
1	и т д	2	21
2	в том что	1	17
3	о том что	2	11
4	для того чтобы	1	10
5	и т п	6	9
6	с точки зрения	4	8
7	до сих пор	1	7
8	в этом отношении	1	7
9	на самом деле	10	6
10	в данном случае	1	6
11	с другой стороны	3	6
12	во всяком случае	5	6
13	в самом деле	3	5
14	не может быть	6	5
15	то же время	12	4
16	в своей статье	1	4
17	так и в	2	4
18	что и в	1	4
19	на то что	1	4
20	в то же	12	4
21	по отношению к	5	3
22	что же касается	1	3
23	я вовсе не	1	3
24	и в этом	2	3
25	и в самом	3	3
26	но все же	1	3
27	за то что	1	3
28	и только в	1	3
29	т д и	1	2
30	в этом случае	2	2
31	каждого из них	1	2
32	и в том	1	2
33	хотя бы и	2	2
34	и то что	1	2
35	что в нем	2	2
36	может быть и	1	2
37	по крайней мере	3	2
38	но в то	3	2
39	всяком случае в	1	2
40	то что в	1	2
41	деле вовсе не	1	2
42	на этот раз	1	2
43	вопрос о том	1	2
44	тем не менее	2	2
45	как и в	1	2
46	то все же	2	1
47	должны были бы	1	1
48	а между тем	3	1
49	как в отношении	1	1
50	в той или	2	1
51	той или иной	2	1
52	в которой он	1	1
53	с которыми мы	1	1
54	а не в	2	1
55	в целом это	1	1
56	как и во	1	1
57	в этом смысле	4	1
58	в том и	1	1
59	нет ни одного	1	1
60	в том же	1	1
61	сих пор еще	1	1
62	тем что это	1	1
63	в одних и	1	1
64	потому что не	1	1
65	себя самого и	1	1
66	одних и тех	1	1
67	точки зрения его	1	1
68	т п но	1	1
69	что он не	1	1
70	бы то ни	4	1
71	же время не	2	1
72	а может быть	2	1
73	такой же степени	2	1
74	в которых я	2	1
75	с которыми он	1	1
76	говорит что он	1	1
77	это вовсе не	1	1
78	но в плане	1	1
79	может быть даже	3	1
80	и нуждается в	1	1
81	и лишь в	1	1
82	а в другой	1	1
83	и тех же	1	1
84	и в других	1	1
85	что я в	1	1
86	то что оно	1	1
87	и в своих	1	1
88	хотя и с	1	1
89	и в то	5	1
90	самом деле не	1	1
91	и в отношении	1	1
92	быть и речи	1	1
93	как будто бы	1	1
94	и не было	1	1
95	и по отношению	1	1
96	того в чем	1	1
97	но даже и	1	1
98	всяком случае не	1	1
99	точно и не	1	1
100	но как бы	1	1
101	то что он	1	1
102	а вовсе не	2	1
103	на тему о	2	1
104	для правильного понимания	1	1
105	что же это	1	1
106	самом деле оно	1	1
107	ни одного слова	1	1
108	никогда и не	1	1
109	быть даже и	1	1
110	ведь и сам	2	1
111	же степени как	1	1
112	смысле этого слова	2	1
113	и не хочет	1	1
114	и во всякой	1	1
115	в котором он	1	1
116	как бы ни	1	1
117	и не может	2	1
118	ни о каком	1	1
119	но все эти	1	1
120	ни в чем	2	1
121	знает и не	1	1
122	самом деле вовсе	1	1
123	бы они ни	1	1
124	они ни были	1	1
125	здесь и там	1	1
126	ведь и в	1	1
127	идет лишь о	2	1
128	к тому что	1	1
129	в узком смысле	1	1
130	не знает и	2	1
131	вовсе не является	1	1
132	и не в	3	1
133	в конце концов	3	1
134	что он в	2	1
