N	3gram	Tiupa_Disk_2	Stilisti
1	в то же	4	9
2	то же время	5	7
3	с точки зрения	2	5
4	того или иного	1	5
5	и то же	2	4
6	прежде всего в	1	4
7	одно и то	2	4
8	с самого начала	1	4
9	той или иной	3	4
10	в этом случае	2	3
11	заключает в себе	2	3
12	которое может быть	1	3
13	и той же	1	2
14	равно как и	1	2
15	и в то	1	2
16	и т.п но	1	2
17	в этом отношении	4	2
18	в значительной степени	1	2
19	на первый взгляд	2	2
20	но при этом	2	2
21	не должно быть	1	2
22	не может быть	3	2
23	и как бы	2	2
24	о том что	3	2
25	и вследствие этого	1	2
26	можно сказать что	1	2
27	одной и той	1	2
28	все то что	1	2
29	в другом месте	1	1
30	и того же	2	1
31	двух точек зрения	1	1
32	не является ни	1	1
33	даже если в	1	1
34	прежде всего на	1	1
35	по отношению к	4	1
36	не говоря уже	1	1
37	в самом деле	1	1
38	же время и	1	1
39	и есть не	1	1
40	что в одном	1	1
41	при этом не	1	1
42	внутренним и внешним	1	1
43	одном и том	1	1
44	по крайней мере	1	1
45	отнюдь не является	1	1
46	в большинстве случаев	1	1
47	в этой структуре	1	1
48	тем что он	1	1
49	в качестве примера	2	1
50	и том же	1	1
51	тем не менее	1	1
52	по большей части	2	1
53	в нашем языке	1	1
54	о том какое	1	1
55	ближе к тому	1	1
56	друг друга и	1	1
57	могло бы стать	1	1
58	содержит в себе	2	1
59	решающую роль в	1	1
60	и все же	3	1
61	и т.п или	1	1
62	это еще не	2	1
63	между внутренним и	1	1
64	в конечном счете	1	1
65	это отнюдь не	1	1
66	и не может	2	1
67	мысль о том	1	1
68	в русской литературе	2	1
69	с другой стороны	1	1
70	одного и того	2	1
71	но все эти	1	1
72	мы все же	1	1
73	та или иная	1	1
74	уже как бы	1	1
75	в том что	6	1
76	как и в	5	1
77	в пределах одного	1	1
