N	3gram	Vinokur_Vv_1	Vvedenie
1	в том что	12	10
2	по отношению к	4	10
3	в данном случае	4	8
4	с одной стороны	4	7
5	в отличие от	3	7
6	в соответствии с	2	6
7	в то же	5	5
8	на самом деле	1	4
9	то же время	5	4
10	не может быть	8	4
11	о том что	12	3
12	мы имеем дело	1	3
13	не в том	2	3
14	как будто бы	2	3
15	в свою очередь	1	3
16	той или иной	1	3
17	может быть не	1	3
18	как мы видели	2	3
19	а в том	1	3
20	подобно тому как	1	2
21	а также и	2	2
22	имеем дело с	1	2
23	бы и не	1	2
24	тем не менее	8	2
25	в этом отношении	3	2
26	одной стороны и	3	2
27	в этих случаях	2	2
28	в том как	1	2
29	состоит в том	2	2
30	с самого начала	1	1
31	в новейшее время	1	1
32	в этом смысле	10	1
33	большей или меньшей	2	1
34	далеком прошлом и	1	1
35	но и в	1	1
36	в отказе от	1	1
37	по сравнению с	3	1
38	в этой системе	1	1
39	бы оно было	1	1
40	но в то	3	1
41	и в этом	3	1
42	можно сказать что	3	1
43	который тем не	1	1
44	нельзя признать вполне	1	1
45	не менее не	1	1
46	дело не с	1	1
47	с другой стороны	5	1
48	имея в виду	1	1
49	каждой из таких	1	1
50	не со стороны	1	1
51	обратим внимание на	1	1
52	этих случаях в	1	1
53	мере в какой	4	1
54	и прежде всего	1	1
55	так же как	1	1
56	в частности в	1	1
57	то что можно	1	1
58	и того же	2	1
59	уже не сам	1	1
60	в первом случае	2	1
61	и то же	1	1
62	к данному типу	1	1
63	может быть названа	1	1
64	того или иного	1	1
65	можно было бы	3	1
66	имеет дело не	1	1
67	в далеком прошлом	1	1
68	и со стороны	1	1
69	в этом случае	6	1
70	в значительной степени	1	1
71	той мере в	4	1
72	значение только в	1	1
73	одного и того	2	1
74	он мог бы	1	1
75	как об этом	2	1
76	и в самом	3	1
77	то что могло	2	1
78	как своего рода	1	1
79	прежде всего в	1	1
80	то или иное	1	1
81	не до конца	2	1
82	в зависимости от	1	1
83	не следует забывать	1	1
84	только потому что	1	1
85	заключает в себе	1	1
86	на котором он	2	1
87	если бы оно	1	1
88	дело в том	2	1
89	в ряде случаев	1	1
90	для того чтобы	21	1
91	в нем не	1	1
92	а не только	1	1
93	потому что она	1	1
94	можно представить себе	2	1
95	в том или	1	1
96	в той мере	4	1
97	слова а не	1	1
98	в том чтобы	5	1
99	том или ином	1	1
100	из которых в	1	1
101	как раз в	1	1
102	одно и то	1	1
103	в каждой из	1	1
