N	3gram	Vinokur_Ku_3	Komedia
1	к тому же	2	10
2	на себя внимание	2	5
3	обращает на себя	1	5
4	в том что	8	5
5	вместе с тем	1	4
6	о том что	3	4
7	для того чтобы	11	4
8	по отношению к	2	3
9	в том числе	2	3
10	в связи с	4	3
11	в первую очередь	3	3
12	то же время	1	3
13	до тех пор	4	3
14	в то время	1	3
15	в то же	1	3
16	одних и тех	1	2
17	чуть ли не	1	2
18	не говоря уже	2	2
19	в этом смысле	1	2
20	в одной из	1	2
21	до сих пор	8	2
22	говоря уже о	2	2
23	в отличие от	2	2
24	бы то ни	1	2
25	и тех же	1	2
26	не более чем	1	2
27	с одной стороны	4	2
28	то что он	1	2
29	во всяком случае	1	2
30	и т п	41	2
31	после того как	4	2
32	к тому что	1	2
33	можно было бы	10	2
34	что и в	2	2
35	сплошь да рядом	2	1
36	имеется в виду	1	1
37	само собой разумеется	1	1
38	в какой мере	2	1
39	и к тому	1	1
40	потому что в	2	1
41	в г №	1	1
42	в самом деле	11	1
43	как это имело	1	1
44	с точки зрения	16	1
45	а не для	1	1
46	только в том	2	1
47	имеет в виду	1	1
48	ли в этом	1	1
49	и в то	1	1
50	о том чтобы	1	1
51	для этой цели	1	1
52	наряду с этим	1	1
53	но и в	1	1
54	по своему содержанию	1	1
55	а может быть	1	1
56	мы находим в	1	1
57	не последнюю роль	1	1
58	а то и	1	1
59	в том случае	4	1
60	т п которые	1	1
61	а вместе с	1	1
62	так как он	2	1
63	той или иной	5	1
64	в этих словах	1	1
65	в первом случае	2	1
66	в чем же	1	1
67	только после того	2	1
68	само по себе	1	1
69	тех пор пока	4	1
70	в целом ряде	1	1
71	с другой стороны	3	1
72	мере в какой	1	1
73	представить себе как	1	1
74	не может быть	3	1
75	между тем главный	1	1
76	того или иного	3	1
77	более или менее	2	1
78	в тех случаях	1	1
79	что он не	1	1
80	то обстоятельство что	3	1
81	в тех же	1	1
82	так и в	3	1
83	в свою очередь	1	1
84	речь шла о	1	1
85	существенное различие в	1	1
86	и в самом	4	1
87	не только в	3	1
88	но в этом	1	1
89	для каждой из	2	1
90	но все же	1	1
91	друг от друга	1	1
92	тем более что	2	1
93	строить свою речь	1	1
94	тех случаях когда	1	1
95	он имеет в	1	1
96	концы с концами	1	1
97	как о том	1	1
98	тем не менее	9	1
99	целом ряде случаев	1	1
100	можно сомневаться что	1	1
101	это имело место	1	1
102	даже в тех	1	1
103	вслед за этим	1	1
104	как мы видели	2	1
