N	2gram	Potebnia_M_4	Vladivir
1	и в	23	40
2	то что	29	28
3	не только	10	25
4	и не	18	25
5	у него	1	24
6	то есть	34	24
7	том что	12	18
8	в том	23	18
9	но и	11	18
10	что в	17	17
11	в этом	23	16
12	в его	5	14
13	так что	5	14
14	не может	11	14
15	в виде	2	13
16	точки зрения	4	13
17	вовсе не	7	13
18	только в	15	13
19	даже и	3	12
20	а именно	4	12
21	сказать что	8	12
22	никогда не	3	11
23	потому что	33	11
24	таким образом	24	11
25	о том	8	11
26	тем не	4	10
27	и его	2	10
28	то это	8	10
29	не есть	9	10
30	прежде всего	1	10
31	и потому	10	10
32	это есть	3	10
33	и то	5	9
34	уже не	3	9
35	что это	7	9
36	в себе	14	9
37	и с	4	9
38	в своей	1	9
39	не менее	5	9
40	есть только	5	9
41	что же	5	9
42	как мы	2	8
43	в своем	8	8
44	в этой	1	8
45	он не	2	8
46	не был	1	8
47	и что	7	8
48	а также	1	8
49	для него	5	8
50	может быть	26	8
51	а не	12	8
52	так же	4	8
53	же с	2	7
54	хотя и	5	7
55	и как	2	7
56	и если	3	7
57	что все	4	7
58	с тем	7	7
59	как и	14	7
60	в то	4	7
61	мы бы	2	7
62	там же	3	7
63	что и	7	7
64	того что	14	7
65	так как	14	7
66	вместе с	6	7
67	к тому	3	7
68	а в	5	7
69	в своих	2	7
70	оно есть	2	6
71	и на	3	6
72	кроме того	3	6
73	то в	3	6
74	не будет	3	6
75	не мог	1	6
76	с точки	3	6
77	по себе	11	6
78	в смысле	3	6
79	во всем	1	6
80	и это	2	6
81	так и	6	6
82	об этом	2	6
83	и здесь	2	6
84	и даже	2	6
85	если не	1	6
86	xix века	1	6
87	да и	4	6
88	это значит	1	6
89	но это	3	6
90	хотя бы	4	6
91	мы уже	3	5
92	в ней	2	5
93	в истории	4	5
94	все эти	3	5
95	можно было	2	5
96	же касается	1	5
97	можно считать	2	5
98	должно быть	5	5
99	но если	1	5
100	в отношении	1	5
101	дело в	1	5
102	тем что	10	5
103	для нас	14	5
104	ничего не	1	5
105	эти три	1	5
106	у нас	2	5
107	ничего общего	1	5
108	с другой	2	5
109	что он	4	5
110	только на	4	5
111	в одном	4	5
112	не говорит	1	5
113	не было	12	5
114	в данном	4	5
115	между прочим	3	5
116	в самом	3	4
117	то же	14	4
118	что если	6	4
119	и о	4	4
120	вопрос о	2	4
121	но даже	2	4
122	философии но	1	4
123	еще не	3	4
124	но не	1	4
125	то он	2	4
126	все же	1	4
127	но в	8	4
128	бы и	5	4
129	на то	7	4
130	оно должно	1	4
131	есть все	1	4
132	было бы	8	4
133	чем в	2	4
