N	2gram	Berdyaev_V_1	Problema
1	то что	9	42
2	вовсе не	1	35
3	то есть	1	33
4	и в	16	32
5	и не	20	31
6	не есть	6	29
7	не просто	1	23
8	в этом	4	19
9	не только	2	17
10	потому что	4	16
11	в виде	1	15
12	а не	7	15
13	но в	3	14
14	у нас	1	14
15	может быть	1	14
16	как бы	5	14
17	что мы	4	13
18	в нем	4	13
19	и тем	1	13
20	том что	2	12
21	что в	3	12
22	так и	4	12
23	и т	2	11
24	так как	9	11
25	то же	1	10
26	в этой	1	10
27	т д	2	10
28	ничего не	1	10
29	прежде всего	2	10
30	нет ничего	3	10
31	еще не	8	9
32	но не	2	9
33	художественный образ	1	9
34	раз и	1	9
35	того чтобы	2	9
36	и это	2	9
37	и что	3	9
38	но и	5	9
39	в том	3	9
40	так же	1	9
41	и ее	1	8
42	и на	1	8
43	есть знак	1	8
44	все эти	3	8
45	для того	1	8
46	в своей	3	8
47	но это	3	8
48	во всех	3	7
49	тоже не	1	7
50	ни в	3	7
51	в них	3	7
52	между собою	1	7
53	как мы	1	7
54	никогда не	3	7
55	того что	5	7
56	что он	4	7
57	только в	2	7
58	тем что	2	7
59	все это	5	7
60	и все	4	7
61	во всяком	2	7
62	и то	2	6
63	и есть	4	6
64	есть не	1	6
65	говорить о	4	6
66	но как	1	6
67	в самом	1	6
68	и если	1	6
69	это не	2	6
70	в виду	1	6
71	в его	4	6
72	то и	1	6
73	в конце	3	6
74	о чем	1	6
75	как это	1	6
76	не существует	1	6
77	хотя и	5	6
78	не имеют	1	5
79	в своем	1	5
80	все равно	2	5
81	с тем	2	5
82	в котором	4	5
83	можно ли	1	5
84	в сознании	1	5
85	и которые	1	5
86	для нас	2	5
87	еще и	1	5
88	в их	1	4
89	мы и	2	4
90	с которыми	1	4
91	в истории	8	4
92	как в	1	4
93	их в	3	4
94	что всякий	1	4
95	а есть	2	4
96	не в	3	4
97	тому что	3	4
98	а в	2	4
99	на том	2	4
100	один из	2	4
101	д и	1	4
102	не было	3	4
103	в одно	1	4
104	если не	3	4
105	и вообще	1	4
106	сознании и	1	4
107	и для	3	4
108	конце концов	1	4
109	он всегда	1	3
110	но она	1	3
111	в чем	3	3
112	в ее	1	3
113	что они	7	3
114	которые не	2	3
115	что это	1	3
116	да и	2	3
117	но все	1	3
118	что все	4	3
119	в жизни	3	3
120	как и	4	3
121	и уже	1	3
122	в этих	3	3
123	в которых	1	3
124	есть еще	1	3
125	того как	1	3
126	к тому	3	3
127	что оно	1	3
128	для себя	1	3
129	можно было	2	3
130	мы в	1	3
131	к нему	1	3
132	и во	2	3
133	мы хотим	4	3
134	мы увидим	1	3
135	по этому	3	3
136	же и	1	3
137	уже не	2	3
138	уже в	1	3
139	говорит о	1	3
140	уже и	1	3
141	с другой	1	3
142	оно не	3	3
143	что не	4	3
144	и менее	1	3
145	хотя бы	3	3
146	с ним	2	3
147	может и	1	3
148	другой стороны	1	3
149	есть и	1	3
150	в искусстве	1	3
151	и потому	7	2
152	и до	1	2
153	мы не	2	2
154	на себя	5	2
155	с его	3	2
156	мы будем	1	2
157	его во	3	2
158	нет и	2	2
159	в которой	1	2
160	одно целое	1	2
161	не будет	2	2
162	конечно в	1	2
163	и с	1	2
164	для них	2	2
165	для чего	1	2
166	должно быть	3	2
167	и уж	1	2
168	по крайней	1	2
169	и очень	1	2
170	она не	1	2
171	и другое	1	2
172	не имеет	3	2
173	что их	2	2
174	это мы	2	2
