N	3gram	Tiupa_Hudo_1	Vvedenie
1	и т д	3	36
2	в том что	6	12
3	о том что	9	12
4	в этом смысле	1	8
5	не может быть	2	8
6	тем не менее	3	8
7	до сих пор	2	6
8	в самом деле	4	6
9	то же время	8	6
10	в то же	8	6
11	и т п	8	5
12	по отношению к	8	4
13	в этом отношении	3	4
14	можно было бы	4	4
15	в данном случае	1	4
16	не только в	2	4
17	и в этом	1	4
18	так или иначе	2	4
19	во всяком случае	1	4
20	с одной стороны	1	4
21	одной стороны и	1	3
22	с тем что	1	3
23	именно в этом	1	3
24	но в то	3	3
25	и в самом	3	3
26	но все же	1	3
27	в свое время	1	3
28	как она есть	1	2
29	на том что	1	2
30	потому что он	1	2
31	состоит в том	1	2
32	во второй половине	2	2
33	то же самое	1	2
34	что же касается	2	2
35	как будто бы	1	2
36	с точки зрения	3	2
37	в центре внимания	1	2
38	в конце концов	1	2
39	не до конца	1	2
40	не в том	2	2
41	в связи с	3	2
42	а также и	1	2
43	это еще не	1	2
44	мы уже знаем	2	2
45	xix в но	1	2
46	и в конце	1	1
47	как мы помним	1	1
48	по его словам	1	1
49	а между тем	1	1
50	не может не	1	1
51	только потому что	2	1
52	как уже говорилось	1	1
53	нами не как	1	1
54	прежде всего в	1	1
55	более или менее	1	1
56	на самом деле	1	1
57	на свои вопросы	1	1
58	в ней есть	1	1
59	быть сказано о	1	1
60	в таком случае	1	1
61	в отличие от	1	1
62	только в том	2	1
63	себе самому и	1	1
64	никогда не была	1	1
65	именно в связи	1	1
66	в гораздо большей	1	1
67	заключает в себе	1	1
68	может быть только	1	1
69	с этой точки	1	1
70	ту или иную	2	1
71	не похожи на	1	1
72	в первой половине	2	1
73	на том чтобы	1	1
74	он вовсе не	1	1
75	в первом случае	1	1
76	как раз в	2	1
77	что в центре	1	1
78	именно в этой	1	1
79	в том как	1	1
80	и потому что	1	1
81	в нем не	1	1
82	еще и потому	1	1
83	человек в центре	1	1
84	разумеется не в	1	1
85	на вопрос что	1	1
86	что он вовсе	1	1
87	речь идет об	1	1
88	перед собой задачу	1	1
89	этой точки зрения	1	1
90	а в том	1	1
91	т е все	1	1
92	не имеет принципиального	1	1
93	не потому что	1	1
94	в свою очередь	1	1
95	та или иная	3	1
96	связи с этим	2	1
97	того или иного	2	1
98	жизни как она	1	1
99	не со стороны	1	1
100	с самого начала	1	1
101	но в этом	1	1
102	к тому что	4	1
103	совсем не похожи	1	1
104	вопрос о природе	1	1
105	все это делает	1	1
106	в xix в	1	1
107	легко представить себе	1	1
108	друг для друга	3	1
109	не в этом	1	1
