N	3gram	Medvedev_V_1	Dialekti
1	и т д	14	23
2	в таком случае	1	10
3	не только не	2	7
4	не может быть	8	6
5	в самом деле	1	5
6	по крайней мере	2	5
7	есть то что	1	5
8	о том что	3	5
9	подобно тому как	2	4
10	значит что он	1	4
11	не отличается от	1	4
12	то время как	1	4
13	т е в	2	4
14	в то время	1	4
15	сама по себе	1	4
16	т е не	1	4
17	сами по себе	1	3
18	даже и не	1	3
19	с одной стороны	2	3
20	в том что	5	3
21	только тогда когда	1	3
22	хотя и не	1	2
23	одному тому что	2	2
24	в силу этого	4	2
25	по одному тому	2	2
26	не говоря уже	1	2
27	но даже и	1	2
28	выйти за пределы	1	2
29	того или иного	1	2
30	как и все	1	2
31	тот или иной	1	2
32	говоря уже о	1	2
33	с этой точки	1	2
34	в зависимости от	5	2
35	одно и то	1	2
36	так же как	1	2
37	уже по одному	2	2
38	и то же	1	2
39	не могут быть	1	2
40	с другой стороны	8	2
41	во всяком случае	1	2
42	этой точки зрения	2	2
43	иметь в виду	2	2
44	это и есть	3	2
45	той или иной	1	2
46	утверждает что все	1	2
47	к тому что	3	2
48	к тому же	1	2
49	так или иначе	1	2
50	и есть то	1	1
51	при всем своем	1	1
52	хотя бы его	1	1
53	же в этом	1	1
54	по существу своему	1	1
55	можно свести к	1	1
56	в виду что	1	1
57	имеем в виду	1	1
58	то же самое	1	1
59	и значит что	1	1
60	одной стороны и	2	1
61	же как и	1	1
62	если так то	1	1
63	до сих пор	1	1
64	и не может	2	1
65	за эти пределы	1	1
66	что мы имеем	1	1
67	и в то	3	1
68	чем иным как	1	1
69	он и не	1	1
70	в этом отношении	13	1
71	и во всех	1	1
72	о нем сказать	1	1
73	есть одно и	1	1
74	в науке и	1	1
75	это вовсе не	1	1
76	себя таким образом	1	1
77	это и значит	1	1
78	в ней не	1	1
79	речь может идти	1	1
80	в применении к	1	1
81	не чем иным	1	1
82	в данном случае	1	1
83	т е чисто	1	1
84	что ни один	1	1
85	не значит что	1	1
86	не могут не	2	1
87	того что не	1	1
88	они должны быть	2	1
89	каждый из них	1	1
90	не в том	2	1
91	так и от	2	1
92	самого себя таким	1	1
93	время никогда не	1	1
94	более или менее	6	1
95	то же время	5	1
96	от того что	2	1
97	том смысле что	1	1
98	как это и	1	1
99	в одном из	3	1
100	и никогда не	1	1
101	одна из форм	1	1
102	и в зависимости	1	1
103	в конечном счете	5	1
104	идеи т е	1	1
105	в этом заключается	1	1
106	уже сама по	1	1
107	в то же	5	1
108	в связи с	3	1
109	в том смысле	1	1
110	понимать в том	1	1
111	что в них	1	1
112	т е от	1	1
113	уже о том	1	1
114	нет это значит	1	1
115	все это не	1	1
116	обратил внимание на	1	1
117	того или другого	1	1
