N	2gram	Ircho_Kome_2	Tvorches
1	и в	26	21
2	как бы	2	17
3	в то	6	15
4	то же	3	13
5	времени в	2	13
6	в его	4	13
7	как и	4	12
8	же время	3	12
9	что в	9	12
10	с его	5	11
11	том что	9	11
12	все это	3	10
13	как в	3	8
14	он не	2	8
15	то что	6	8
16	и на	7	7
17	но в	3	7
18	не только	7	7
19	тем самым	1	7
20	у него	4	7
21	и не	14	7
22	в том	11	7
23	в свою	1	7
24	в этом	10	6
25	в творчестве	1	6
26	человека в	3	6
27	в котором	3	6
28	не менее	4	6
29	и его	12	6
30	о том	6	6
31	и все	2	6
32	что он	5	6
33	для него	1	6
34	а в	3	6
35	жизни в	1	6
36	отнюдь не	2	5
37	все же	4	5
38	в этой	3	5
39	таким образом	6	5
40	вовсе не	2	5
41	потому что	6	5
42	как будто	4	5
43	только в	4	5
44	может быть	11	5
45	а не	1	5
46	это уже	1	5
47	хотя бы	2	5
48	не имеют	1	4
49	конечном счете	1	4
50	в своем	6	4
51	и как	1	4
52	та же	1	4
53	в целом	4	4
54	самим собой	1	4
55	это не	2	4
56	в своей	3	4
57	в мире	2	4
58	времени и	1	4
59	одной из	4	4
60	больше не	1	4
61	прежде всего	4	4
62	не может	3	4
63	и от	4	4
64	один из	5	4
65	одним из	2	4
66	и т	2	3
67	той же	3	3
68	не был	1	3
69	время в	1	3
70	хотя и	4	3
71	года до	1	3
72	в самом	4	3
73	представляет собой	1	3
74	в нем	6	3
75	на его	1	3
76	в каждом	3	3
77	и с	5	3
78	на протяжении	10	3
79	соответствии с	1	3
80	в их	3	3
81	место в	4	3
82	представление о	2	3
83	даже в	2	3
84	самого начала	1	3
85	не по	4	3
86	никогда не	1	3
87	приходит к	1	3
88	и другие	2	3
89	с самого	2	3
90	с ним	1	3
91	там же	1	3
92	по мнению	1	3
93	уже в	4	3
94	говорит о	1	3
95	не так	1	3
96	так как	4	3
97	в соответствии	1	3
98	в которой	5	3
99	и даже	1	3
100	с другой	2	3
101	но и	10	3
102	к человеку	1	3
103	но не	3	3
104	он говорит	1	3
105	это как	1	3
106	своих героев	1	3
107	утверждал что	1	3
108	но если	3	3
109	жизни и	3	3
110	так же	1	3
111	в любви	2	2
112	того же	3	2
113	самом деле	1	2
114	в первом	2	2
115	героя и	1	2
116	в ней	3	2
117	собой в	1	2
118	в отличие	2	2
119	в чем	1	2
