N	3gram	Propp_Morf_1	Myshleni
1	с точки зрения	2	18
2	для того чтобы	2	15
3	в том что	3	15
4	с другой стороны	4	9
5	с одной стороны	1	8
6	с самого начала	1	8
7	по отношению к	4	7
8	о том что	1	6
9	в собственном смысле	3	5
10	не может быть	9	5
11	в то время	3	5
12	до сих пор	1	4
13	то время как	3	4
14	в высшей степени	1	4
15	в этом отношении	1	4
16	можно сказать что	1	4
17	друг с другом	1	4
18	таким образом что	1	3
19	мы видим таким	1	3
20	на то что	2	3
21	к тому что	3	3
22	во всяком случае	2	3
23	видим таким образом	1	3
24	и то же	1	2
25	том что он	1	2
26	является то что	1	2
27	независимо от того	3	2
28	одно и то	1	2
29	в данном случае	1	2
30	приводит к тому	1	2
31	все более и	1	2
32	вместо того чтобы	1	2
33	и таким образом	2	2
34	тем и другим	2	2
35	более и более	1	2
36	а для того	1	1
37	вопрос что она	1	1
38	к этому же	1	1
39	это так то	1	1
40	или во всяком	1	1
41	в чем же	1	1
42	которые хотя и	1	1
43	на самом деле	4	1
44	лишь постольку поскольку	1	1
45	которые можно назвать	1	1
46	мы постараемся показать	1	1
47	связи функций между	1	1
48	и в какой	1	1
49	так как мы	1	1
50	наряду с этим	3	1
51	как мы увидим	4	1
52	тех случаях когда	2	1
53	хотя и не	1	1
54	точно так же	1	1
55	на первом месте	1	1
56	то что в	2	1
57	только такое изучение	1	1
58	быть отнесен к	1	1
59	состоит в том	2	1
60	между тем в	1	1
61	если это так	2	1
62	друг к другу	2	1
63	собственном смысле слова	3	1
64	как уже упомянуто	2	1
65	и что его	1	1
66	и пр и	2	1
67	до наших дней	2	1
68	в тех случаях	2	1
69	не может входить	1	1
70	не представляет собой	1	1
71	мы не можем	1	1
72	но об этом	1	1
73	таким образом мы	5	1
74	не влияет на	1	1
75	говорить о том	1	1
76	это значит что	1	1
77	помимо того что	1	1
78	потому что в	1	1
79	становится все более	1	1
80	но все же	3	1
81	мы будем говорить	1	1
82	функций между собой	1	1
83	заметить что в	1	1
84	которые могут быть	1	1
85	он ничего не	1	1
86	и т д	39	1
87	тем не менее	4	1
88	как и в	2	1
89	а затем уже	1	1
90	в качестве примера	1	1
