N	3gram	Vygotskiy__3	StatiiOP
1	в том что	17	11
2	не может быть	2	5
3	то обстоятельство что	3	5
4	в этом смысле	2	4
5	с точки зрения	1	4
6	в этом отношении	3	4
7	то время как	4	4
8	во всяком случае	4	4
9	с другой стороны	3	4
10	о том что	3	4
11	в то время	4	4
12	состоит в том	3	3
13	с тем что	3	3
14	в конце концов	1	3
15	в связи с	5	3
16	не только в	1	3
17	на то что	3	3
18	что мы имеем	1	2
19	до сих пор	1	2
20	в том чтобы	1	2
21	в этой области	1	2
22	с одной стороны	5	2
23	и в этом	2	2
24	все более и	1	2
25	во всех этих	1	2
26	между тем как	1	2
27	из которых складывается	1	2
28	заключается в том	7	2
29	с самого начала	6	2
30	более и более	1	2
31	по этому поводу	1	2
32	к тому что	1	2
33	а с другой	3	2
34	тем не менее	5	2
35	независимо от того	3	2
36	даже там где	1	1
37	время как в	1	1
38	одна из этих	1	1
39	знак равенства между	1	1
40	и той же	2	1
41	в том виде	2	1
42	более или менее	1	1
43	во многих случаях	1	1
44	и в качестве	1	1
45	то же самое	1	1
46	ставить знак равенства	1	1
47	принять во внимание	1	1
48	тот или иной	1	1
49	очень часто в	1	1
50	сам по себе	1	1
51	вместе с тем	10	1
52	в его развитии	2	1
53	и во всяком	2	1
54	строится по принципу	1	1
55	его развитии в	1	1
56	связи с этим	1	1
57	является одним из	1	1
58	в собственном смысле	6	1
59	что мы знаем	3	1
60	и не потому	1	1
61	можно было бы	5	1
62	и это как	1	1
63	ни в какой	4	1
64	то что в	2	1
65	несомненно является одним	1	1
66	с этой точки	2	1
67	а как бы	1	1
68	в применении к	1	1
69	между собой как	1	1
70	в самом начале	1	1
71	в эту пору	2	1
72	не потому что	1	1
73	в них как	1	1
74	к вопросу о	1	1
75	если принять во	1	1
76	с которым он	1	1
77	точки зрения ее	1	1
78	в известном смысле	2	1
79	фазу своего развития	1	1
80	в какой степени	1	1
81	так или иначе	1	1
82	приводит к тому	1	1
83	нельзя не признать	1	1
84	все что мы	2	1
85	в этом и	2	1
86	мы подходим к	1	1
87	в этом же	1	1
88	было бы неправильно	2	1
89	в том отношении	1	1
90	не только у	1	1
91	этой точки зрения	2	1
92	собственном смысле этого	4	1
93	ни в малой	1	1
94	одной стороны он	1	1
95	в свою очередь	2	1
96	так как в	1	1
97	и в самом	1	1
98	до того как	1	1
99	отношении его к	1	1
100	никогда почти не	1	1
101	и не является	1	1
102	той или иной	2	1
103	и в результате	1	1
104	в известной степени	1	1
105	характеризуется прежде всего	1	1
106	на пути к	2	1
107	одной и той	2	1
108	отличаясь от нее	1	1
109	для того чтобы	7	1
110	как мы видели	3	1
111	могут быть столь	1	1
