N	3gram	Vinokur_St_1	Problemy
1	и т п	9	9
2	с точки зрения	8	8
3	до сих пор	7	7
4	по отношению к	3	5
5	то же время	4	5
6	в то же	4	5
7	и не может	1	4
8	не может быть	5	4
9	в самом деле	5	4
10	и т д	21	4
11	в той или	1	3
12	можно было бы	8	3
13	ведь и сам	1	3
14	с другой стороны	6	3
15	но в то	2	3
16	той или иной	1	3
17	как и в	2	3
18	в настоящее время	1	2
19	в этом смысле	1	2
20	том что он	1	2
21	это вовсе не	1	2
22	на этот вопрос	1	2
23	и в этих	1	2
24	может быть и	2	2
25	в конце концов	1	2
26	то время как	1	2
27	я не могу	1	2
28	тем не менее	2	2
29	в то время	2	2
30	другой стороны и	1	2
31	но все же	3	2
32	на то что	4	2
33	друг от друга	1	2
34	в узком смысле	1	2
35	о том как	1	1
36	а между тем	1	1
37	у пушкина но	2	1
38	же время не	1	1
39	лишь то что	1	1
40	а вовсе не	1	1
41	дело в том	4	1
42	и в первой	1	1
43	также и в	1	1
44	в том числе	2	1
45	в том и	1	1
46	так что в	1	1
47	он не только	1	1
48	в том же	1	1
49	же как и	1	1
50	по крайней мере	2	1
51	точки зрения его	1	1
52	что с точки	1	1
53	сих пор не	1	1
54	во второй части	1	1
55	и в других	1	1
56	хотя бы и	2	1
57	сами по себе	1	1
58	что он не	1	1
59	бы то ни	1	1
60	но и в	2	1
61	а может быть	1	1
62	т д но	4	1
63	что в нем	2	1
64	том числе и	2	1
65	б м эйхенбаум	1	1
66	т е уже	1	1
67	может быть даже	1	1
68	что как раз	1	1
69	общего дела в	1	1
70	и не в	1	1
71	то что было	1	1
72	этого места в	1	1
73	ни на одну	1	1
74	не может поэтому	1	1
75	со всеми его	1	1
76	т е в	2	1
77	этого слова без	1	1
78	с одной стороны	2	1
79	на этот раз	2	1
80	смысле этого слова	1	1
81	в той же	2	1
82	же время оно	1	1
83	так или иначе	2	1
84	то что он	1	1
85	во всяком случае	6	1
86	на тему о	1	1
87	т д как	1	1
88	и в том	2	1
89	то что у	2	1
90	не менее и	1	1
91	если бы оно	1	1
92	о том что	11	1
93	ни одного слова	1	1
94	так и в	4	1
95	в такой форме	1	1
96	не может не	1	1
97	на самом деле	6	1
98	и не хочет	1	1
99	в одном из	1	1
100	каждом из этих	1	1
101	т п в	3	1
102	в его собственной	2	1
103	а не на	1	1
104	т е слова	1	1
105	после того как	1	1
106	в каждом из	1	1
107	в том что	17	1
