N	2gram	Nazirov_Tr_1	PoTuStor
1	может быть	7	17
2	и в	18	16
3	в этом	9	9
4	таким образом	1	9
5	прежде всего	4	9
6	и с	7	8
7	и его	6	8
8	не может	5	8
9	совершенно не	1	8
10	с его	2	7
11	не только	8	7
12	я и	1	6
13	самом деле	1	6
14	при этом	3	6
15	и это	2	6
16	для него	3	6
17	еще не	4	5
18	в чем	1	5
19	отношение к	2	5
20	все эти	3	5
21	ни в	2	5
22	нуждается в	1	5
23	ту сторону	1	5
24	как бы	7	5
25	и ее	2	4
26	и на	7	4
27	отнюдь не	3	4
28	и наконец	1	4
29	но в	6	4
30	в этой	4	4
31	в нем	4	4
32	его в	2	4
33	все это	4	4
34	самого начала	1	4
35	как мы	1	4
36	с ее	3	4
37	с самого	1	4
38	так и	5	4
39	но мы	1	4
40	в его	3	4
41	с ними	1	4
42	только в	1	4
43	и их	1	4
44	и даже	4	4
45	но и	4	4
46	и не	7	4
47	и все	4	4
48	хотя бы	1	4
49	если б	2	3
50	во всех	1	3
51	в общем	1	3
52	и есть	1	3
53	и как	3	3
54	на две	1	3
55	и теперь	1	3
56	и вот	1	3
57	на этом	1	3
58	с сознанием	1	3
59	том что	4	3
60	в одном	2	3
61	и притом	1	3
62	к себе	1	3
63	по сравнению	1	3
64	и она	1	3
65	в том	2	3
66	только на	1	3
67	всяком случае	1	3
68	даже не	1	3
69	в области	1	3
70	и др	1	3
71	ребенка и	2	3
72	вместе с	1	3
73	и потому	1	3
74	как это	3	3
75	сравнению с	1	3
76	могут быть	1	3
77	матери и	1	3
78	в основном	3	3
79	что в	4	3
80	то что	4	3
81	во всяком	1	3
82	ту же	1	2
83	в самом	2	2
84	и о	1	2
85	на них	1	2
86	между собой	1	2
87	но как	1	2
88	за пределы	1	2
89	шутки и	1	2
90	что это	5	2
91	вообще не	1	2
92	в переводе	1	2
93	он не	2	2
94	и по	1	2
95	то же	5	2
96	в них	1	2
97	всю жизнь	1	2
98	как и	5	2
99	в своей	1	2
100	почти не	1	2
101	не менее	1	2
102	никогда не	2	2
103	что на	1	2
104	не могут	2	2
105	что оно	1	2
106	быть может	1	2
107	с ним	3	2
108	похожим на	1	2
109	является по	1	2
110	о том	2	2
111	для нас	1	2
112	что и	2	2
113	один из	3	2
114	мы видим	1	2
115	что он	6	2
116	есть в	1	2
117	за счет	1	2
118	в душе	2	2
119	к ним	1	2
120	у него	6	2
121	что не	1	2
122	а на	1	2
123	в развитии	1	2
124	с помощью	1	2
125	в частности	2	2
126	так же	4	2
127	ненависть к	2	2
128	с этой	1	2
129	но это	4	2
130	в голову	1	2
131	не есть	1	2
132	из тех	1	2
133	есть и	1	2
134	во сне	2	2
135	человека и	1	1
136	и то	2	1
137	это и	1	1
138	что эти	2	1
139	высшей степени	1	1
140	века в	1	1
141	в году	9	1
142	и могут	1	1
143	для достижения	1	1
144	и посвящена	1	1
145	вопрос о	2	1
146	я не	4	1
147	в ней	1	1
148	было до	1	1
149	что судьба	1	1
150	он был	2	1
151	не был	2	1
152	столь же	2	1
153	но не	1	1
154	отказ от	1	1
155	с сыном	1	1
156	значение и	1	1
157	с совершенно	1	1
158	право на	1	1
159	к сожалению	1	1
160	это самое	1	1
161	в центре	1	1
162	статье мы	1	1
163	она как	2	1
164	сам же	1	1
165	все же	5	1
166	но несмотря	1	1
167	чего же	1	1
168	психика не	1	1
169	уже не	2	1
170	как он	1	1
171	жизнь как	1	1
172	по мнению	2	1
173	человек не	1	1
174	что она	2	1
175	перенес в	1	1
176	душу и	1	1
177	борьбу с	1	1
178	последнее слово	1	1
179	от нее	1	1
180	из предшествующего	1	1
181	в мире	3	1
182	конечно в	1	1
183	той же	1	1
184	на все	1	1
185	не нашел	1	1
186	лишь в	1	1
187	это было	1	1
188	ни разу	1	1
189	в самую	2	1
190	с тем	2	1
191	несмотря на	5	1
192	и еще	1	1
193	но если	1	1
194	что я	4	1
195	значение для	1	1
196	но эта	2	1
197	страха и	1	1
198	этот маленький	2	1
199	на всю	1	1
200	желание в	1	1
201	любовь к	1	1
202	на работу	1	1
203	в эпоху	1	1
204	одна из	2	1
205	он пуст	1	1
206	того чтобы	1	1
207	только не	1	1
208	не имеет	2	1
209	на путях	1	1
210	это мы	1	1
211	и всегда	1	1
212	ужас и	1	1
213	в отношениях	1	1
214	ничего не	2	1
215	в русском	2	1
216	она хочет	1	1
217	во всем	1	1
218	связи с	1	1
219	в виду	1	1
220	на противоположном	1	1
221	в образах	1	1
222	в духе	1	1
223	мы узнаем	1	1
224	его за	2	1
225	к тому	2	1
226	как некое	1	1
227	что при	1	1
228	она не	1	1
229	в применении	1	1
230	году в	2	1
231	на другой	1	1
232	данном случае	2	1
233	в душу	1	1
234	говорили что	1	1
235	протест против	1	1
236	роль в	1	1
237	и что	4	1
238	и сам	3	1
239	в другом	1	1
240	можно было	1	1
241	мог бы	3	1
242	еще в	2	1
243	с яркой	1	1
244	своего происхождения	1	1
245	о нем	1	1
246	часто и	1	1
247	развития в	1	1
248	и здесь	2	1
249	году и	1	1
250	и т.д	1	1
251	на вопрос	1	1
252	это желание	1	1
253	первый объект	1	1
254	отметить что	1	1
255	все время	1	1
256	для самого	1	1
257	для ребенка	1	1
258	к нему	3	1
259	дело с	1	1
260	это же	1	1
261	с одной	1	1
262	политические идеи	1	1
263	этой борьбе	1	1
264	уже в	3	1
265	то и	2	1
266	всем его	1	1
267	а это	1	1
268	черты инфантильной	1	1
269	ницше или	1	1
270	главное для	1	1
271	в известной	2	1
272	в конце	3	1
273	с этими	1	1
274	ее не	1	1
275	как его	1	1
276	не случайно	2	1
277	разу не	1	1
278	в высшей	1	1
279	противоположном конце	1	1
280	в каких	1	1
281	который до	1	1
282	на неудачу	1	1
283	думается нам	1	1
284	говорит о	2	1
285	на этот	1	1
286	в ребенке	1	1
287	а не	1	1
288	власти и	1	1
289	с которым	1	1
290	именно так	1	1
291	в связи	1	1
292	в момент	1	1
293	и особенно	1	1
294	но особенно	2	1
295	намек на	1	1
296	в человеке	1	1
297	б я	1	1
298	в данном	2	1
299	применении к	1	1
300	очень важный	1	1
301	быть не	1	1
302	с последним	1	1
303	о его	2	1
304	так ли	1	1
305	это уже	2	1
306	известной степени	1	1
307	при таком	1	1
308	это часто	1	1
309	это может	1	1
310	все события	1	1
311	только что	1	1
312	я в	1	1
313	к ее	1	1
314	по поводу	2	1
315	жизни в	1	1
316	в период	1	1
317	в точности	1	1
318	ко всему	1	1
319	и жизнь	1	1
320	и эта	1	1
321	это в	1	1
