N	4gram	Tiupa_Lite_3	Problema
1	только по отношению к	1	4
2	в то же время	7	3
3	бы то ни было	2	2
4	и тем не менее	1	1
5	как совокупность факторов художественного	1	1
6	становится пустым заносчивым вырождается	1	1
7	с одной стороны и	2	1
8	которые могли бы быть	1	1
9	значительность отвлеченный от границ	1	1
10	и значительность отвлеченный от	1	1
11	пустым заносчивым вырождается и	1	1
12	границах в этом его	1	1
13	в данном случае со	1	1
14	не что иное как	1	1
15	заносчивым вырождается и умирает	1	1
16	не говоря уже о	3	1
17	в этом его серьезность	1	1
18	теряет почву становится пустым	1	1
19	существенно живет на границах	1	1
20	на границах в этом	1	1
21	почву становится пустым заносчивым	1	1
22	его серьезность и значительность	1	1
23	совокупность факторов художественного впечатления	1	1
24	в эстетическом объекте в	1	1
25	серьезность и значительность отвлеченный	1	1
26	он теряет почву становится	1	1
27	в эстетический объект в	1	1
28	этом его серьезность и	1	1
29	живет на границах в	1	1
30	вопрос о том как	1	1
