1	по отношению к	4	7
2	в соответствии с	2	6
3	в данном случае	6	6
4	с одной стороны	4	5
5	о том что	3	4
6	в этом отношении	4	4
7	в то же	4	4
8	и все же	3	4
9	не сводится к	2	4
10	как будто бы	1	3
11	тем не менее	1	3
12	по большей части	2	3
13	не может быть	3	3
14	в том что	6	3
15	то же время	5	3
16	мы имеем дело	1	3
17	свидетеля и судии	1	3
18	присутствия в мире	2	2
19	той мере в	1	2
20	человеческого присутствия в	1	2
21	как правило не	1	2
22	но при этом	2	2
23	в отличие от	12	2
24	и вследствие этого	1	2
25	которая состоит в	1	2
26	своего и чужого	2	2
27	двух или нескольких	1	2
28	мере в какой	1	2
29	по своей природе	1	2
30	той или иной	3	2
31	состоит в том	2	2
32	а с другой	1	2
33	подобно тому как	2	2
34	в окказиональном мире	1	2
35	как и в	5	2
36	при всей своей	3	2
37	в той мере	1	2
38	такой картины мира	1	1
39	в том числе	1	1
40	на первый взгляд	2	1
41	времени и пространства	1	1
42	жизни но и	1	1
43	и в пределах	1	1
44	содержит в себе	2	1
45	событийного ряда возбуждающем	1	1
46	дающей масштабы того	1	1
47	времени и действия	1	1
48	в равной степени	1	1
49	не только от	1	1
50	одной стороны и	2	1
51	по мысли поля	1	1
52	в вероятностном мире	4	1
53	тогда как наррация	1	1
54	все то что	1	1
55	с другой в	1	1
56	которое может быть	1	1
57	с той или	1	1
58	с авторским сознанием	1	1
59	в основе своей	2	1
60	в его событийной	1	1
61	состоит в нарастании	1	1
62	обратим внимание на	1	1
63	в рассказ с	1	1
64	места времени и	1	1
65	строгом значении этого	2	1
66	но в данном	2	1
67	друг от друга	1	1
68	по аналогии с	1	1
69	речь идет о	1	1
70	напряжении событийного ряда	1	1
71	в напряжении событийного	1	1
72	и т.п но	1	1
73	случае мы имеем	1	1
74	в этом мире	2	1
75	и в то	1	1
76	по природе своей	2	1
77	в строгом значении	2	1
78	но и от	1	1
79	а не как	1	1
80	отнюдь не является	1	1
81	могло бы стать	1	1
82	одного и того	2	1
83	как коммуникативного события	1	1
84	мысли поля рикёра	1	1
85	в значительной степени	1	1
86	другой стороны в	1	1
87	х гг в	1	1
88	друг на друга	1	1
89	на рецептивные возможности	1	1
90	сближает его с	1	1
91	одна из них	1	1
92	в той или	1	1
93	опыт присутствия в	1	1
94	во всяком случае	1	1
95	в этом случае	2	1
96	так в рассказе	1	1
97	рассказ в рассказе	1	1
98	никогда не тождествен	1	1
99	человека в мире	1	1
100	лат iteratio повторение	1	1
101	без соотнесения с	1	1
102	значении этого термина	1	1
103	текста а не	2	1
104	а стало быть	1	1
105	масштабы того что	1	1
106	присутствия человека в	1	1
107	заключает в себе	2	1
108	во втором случае	1	1
109	но в этом	1	1
110	том числе и	1	1
111	жизни то есть	1	1
112	в ходе рассказывания	1	1
113	не в том	1	1
114	возбуждающем некие рецептивные	1	1
115	до известной степени	1	1
116	жизнью и смертью	2	1
117	некие рецептивные ожидания	1	1
118	в сюжете рассказа	1	1
119	ряда возбуждающем некие	1	1
120	состоит в напряжении	1	1
121	картины мира в	1	1
122	между жизнью и	2	1
123	писал бахтин имеет	1	1
124	вероятностной картины мира	1	1
125	от лат iteratio	1	1
126	в е гг	1	1
127	но это не	1	1
128	можно сказать что	1	1
129	может быть сведена	1	1
130	того что является	1	1
131	в коммуникативное событие	1	1
132	что является событием	1	1
133	в окружающем его	1	1
134	объекта и адресата	1	1
135	то есть в	1	1
136	в полной мере	1	1
137	нового времени при	1	1
138	здесь как и	1	1
139	и прежде всего	2	1
140	в конечном счете	1	1
141	идентифицировать себя с	1	1
142	достоевского господин прохарчин	1	1
143	быть сведена к	1	1
144	с другой стороны	1	1
145	и т.п в	1	1
146	мысль о том	1	1
147	мира дающей масштабы	1	1
148	в рамках которого	1	1
149	и того же	2	1
150	но тут же	1	1
151	по сути дела	1	1
152	дело не с	1	1
153	по крайней мере	1	1
154	смысловой потенциал в	1	1
155	человеческой жизни в	1	1
156	в пределах одного	1	1
157	прежде всего на	1	1
158	не столько в	1	1
159	точке зрения нарратора	1	1
160	к своему герою	1	1
161	к человеку а	1	1
162	по слову бахтина	1	1
163	добра и зла	1	1
164	субъекта объекта и	1	1
