N	3gram	Potebnia_M_2	Problema
1	о том что	1	9
2	в том что	7	8
3	в связи с	1	7
4	тем не менее	5	5
5	с другой стороны	2	5
6	по крайней мере	5	4
7	в этом смысле	2	3
8	обратить внимание на	1	3
9	может быть только	1	3
10	вместе с тем	1	3
11	то время как	3	3
12	с одной стороны	3	3
13	все же не	1	3
14	в то время	4	3
15	после того как	2	3
16	в сравнении с	2	3
17	только тогда когда	2	3
18	дело в том	1	2
19	но и о	1	2
20	но даже и	1	2
21	том что он	1	2
22	до сих пор	4	2
23	в таком случае	2	2
24	бы то ни	1	2
25	и не в	1	2
26	то и другое	4	2
27	не может быть	2	2
28	во всяком случае	7	2
29	но все же	1	2
30	на то что	3	2
31	для того чтобы	2	2
32	никакой возможности но	1	1
33	встречаем и у	1	1
34	то что я	1	1
35	можно заключить что	1	1
36	не только по	2	1
37	не только о	1	1
38	на самом деле	2	1
39	для нас уже	1	1
40	о том как	1	1
41	потому что не	1	1
42	и то и	1	1
43	сам по себе	4	1
44	это для нас	1	1
45	что только в	1	1
46	прежде чем перейти	1	1
47	между тем как	2	1
48	в наше время	1	1
49	но это не	1	1
50	том что его	1	1
51	с этой точки	1	1
52	только потому что	2	1
53	чем перейти к	1	1
54	видит перед собою	1	1
55	он вовсе не	1	1
56	том в чем	1	1
57	не потому что	1	1
58	не сказали бы	1	1
59	то ни было	1	1
60	состоит в том	1	1
61	далеко не сразу	1	1
62	и в этом	1	1
63	друг на друга	1	1
64	это не так	1	1
65	или по крайней	2	1
66	и как бы	1	1
67	что у него	1	1
68	мере в какой	1	1
69	то же время	2	1
70	одного предмета к	1	1
71	но тем не	3	1
72	от того что	4	1
73	том смысле что	1	1
74	так и в	2	1
75	сказали бы что	1	1
76	от одного предмета	1	1
77	мы прежде всего	1	1
78	то есть в	1	1
79	с самого начала	2	1
80	вопрос о том	1	1
81	не менее в	1	1
82	в большинстве случаев	1	1
83	в то же	2	1
84	в том смысле	4	1
85	сама по себе	2	1
86	но не только	1	1
87	и т д	3	1
88	предмета к другому	1	1
89	в том в	1	1
