N	3gram	Vygotskiy__4	VerxiiNi
1	вместе с тем	2	8
2	с одной стороны	3	7
3	с точки зрения	4	6
4	во всяком случае	3	6
5	до сих пор	3	5
6	друг с другом	4	5
7	а с другой	1	5
8	для того чтобы	19	5
9	о том что	10	4
10	и вместе с	1	4
11	к тому же	2	4
12	так или иначе	1	3
13	точно так же	3	3
14	в конце концов	3	3
15	так же как	3	3
16	и таким образом	1	3
17	в том что	12	3
18	с тем и	1	2
19	то же самое	6	2
20	потому что и	1	2
21	с этой точки	1	2
22	то ни было	1	2
23	мы должны признать	1	2
24	то что он	3	2
25	бы то ни	1	2
26	должны признать что	1	2
27	таким образом в	2	2
28	то же время	1	2
29	ничего общего с	1	2
30	этой точки зрения	1	2
31	с самого начала	5	2
32	можно сказать что	1	2
33	на то что	6	2
34	есть как бы	1	2
35	в то же	1	2
36	и в этом	3	2
37	и в сущности	1	1
38	и в общем	1	1
39	что в этом	1	1
40	сказать что в	2	1
41	психологической точки зрения	1	1
42	по отношению к	1	1
43	в которых он	1	1
44	в самом деле	7	1
45	о том как	2	1
46	но далеко не	1	1
47	в таком случае	1	1
48	и в то	1	1
49	к этому что	1	1
50	сами по себе	3	1
51	что все эти	1	1
52	с тем что	1	1
53	все это мы	1	1
54	совершенно ясно что	3	1
55	том или ином	1	1
56	в том или	1	1
57	и своего отца	1	1
58	тот факт что	1	1
59	смысле этого слова	3	1
60	с психологической точки	1	1
61	и в этой	1	1
62	что в таком	1	1
63	мы уже говорили	1	1
64	из них не	1	1
65	друг к другу	1	1
66	том что они	1	1
67	мы знаем о	1	1
68	все это было	2	1
69	с другой стороны	2	1
70	как бы в	1	1
71	речь идет о	2	1
72	только то что	1	1
73	у него в	1	1
74	не может быть	1	1
75	но по существу	1	1
76	что в этой	2	1
77	в то время	2	1
78	и что она	1	1
79	в свою очередь	1	1
80	это и есть	3	1
81	тем и другим	1	1
82	но совершенно ясно	1	1
83	и никогда не	1	1
84	не только не	2	1
85	и заставляет его	1	1
86	что это есть	1	1
87	несмотря на все	1	1
88	и в результате	1	1
89	мы видим что	2	1
90	самом деле если	1	1
91	и что он	2	1
92	тем что в	1	1
93	может быть в	1	1
94	что и в	1	1
95	могло бы быть	1	1
96	что оно является	1	1
