N	3gram	Potebnia_M_3	PoTuStor
1	на самом деле	1	4
2	в чем не	1	3
3	до сих пор	3	3
4	по крайней мере	5	3
5	не может быть	3	3
6	можно сказать что	2	3
7	а потому и	1	2
8	и может быть	2	2
9	нам кажется что	1	2
10	в самом деле	1	2
11	не могут быть	2	2
12	все то что	1	2
13	в сознание и	1	2
14	о том что	1	2
15	даже тогда когда	1	1
16	форма и содержание	1	1
17	то что я	2	1
18	и столь же	1	1
19	следует заметить что	1	1
20	зависит от того	2	1
21	годятся только для	1	1
22	со стороны формы	2	1
23	подобно тому как	2	1
24	во многих случаях	1	1
25	то же самое	1	1
26	сих пор еще	1	1
27	между собою в	1	1
28	и та же	1	1
29	а может быть	1	1
30	в этом отношении	2	1
31	и потому мы	1	1
32	рано или поздно	1	1
33	и говорить о	1	1
34	именно то что	2	1
35	со всех сторон	1	1
36	каждое из этих	1	1
37	может быть только	3	1
38	вместе с тем	4	1
39	еще не знает	1	1
40	же что и	1	1
41	в данном случае	1	1
42	с одной стороны	3	1
43	человека и все	1	1
44	могут быть объяснены	1	1
45	но вместе с	2	1
46	бы оно ни	1	1
47	к тому с	1	1
48	в этой работе	1	1
49	самом деле в	1	1
50	в свое время	1	1
51	в том что	16	1
52	и таким образом	1	1
53	ребенок еще не	1	1
54	увидим что оно	1	1
55	а вместе с	1	1
56	вместе с ним	1	1
57	не существует для	2	1
58	те же что	1	1
59	мы не можем	2	1
60	каждого из этих	1	1
61	так и в	2	1
62	его отношение к	1	1
63	одна и та	1	1
64	есть в сознании	2	1
65	тому как мы	1	1
66	таким образом и	1	1
67	в том смысле	3	1
68	от того насколько	2	1
69	друг с другом	1	1
70	если б не	1	1
71	быть не может	1	1
72	для того чтобы	3	1
73	на первый взгляд	1	1
