N	2gram	Losev_Vlad_1	KFilosof
1	может быть	6	43
2	в его	12	39
3	в нем	4	31
4	не может	6	27
5	и не	17	26
6	по отношению	1	25
7	и в	31	22
8	в себе	4	21
9	в котором	6	21
10	для меня	4	20
11	не есть	1	19
12	и его	7	17
13	а не	1	17
14	только в	9	16
15	точки зрения	2	13
16	в этом	14	13
17	для него	7	12
18	ни в	2	12
19	и это	2	12
20	но не	3	12
21	все эти	3	11
22	к нему	4	11
23	не в	5	11
24	в своей	4	11
25	во всех	1	10
26	это не	1	10
27	в своем	4	10
28	все это	5	10
29	и все	4	9
30	и для	2	9
31	но и	19	9
32	в целом	3	9
33	для нее	2	9
34	в их	1	9
35	и есть	1	9
36	бытия и	1	9
37	жизни и	5	8
38	не было	5	8
39	со стороны	2	8
40	момент его	1	8
41	лишь в	2	8
42	если бы	1	8
43	было бы	2	8
44	вовсе не	5	7
45	и здесь	3	7
46	то что	18	7
47	во всем	4	7
48	что и	5	7
49	себя в	4	7
50	конечно не	2	7
51	ко мне	1	6
52	и действительно	3	6
53	менее всего	1	6
54	и я	2	6
55	отношение к	3	6
56	совершенно не	2	6
57	в том	11	6
58	и только	1	6
59	отнюдь не	3	6
60	этот момент	2	6
61	уже не	3	6
62	он не	10	6
63	я не	4	6
64	но это	3	6
65	все же	3	5
66	жизни в	1	5
67	как и	4	5
68	его как	1	5
69	для себя	2	5
70	хотя бы	2	5
71	с ним	5	5
72	что я	2	5
73	но все	1	5
74	никогда не	9	5
75	в моем	1	5
76	но как	5	5
77	мы имеем	1	5
78	именно в	1	5
79	то же	6	5
80	жизнь как	1	5
81	но в	12	5
82	но эта	1	5
83	не только	24	5
84	от его	1	5
85	ко всему	1	5
86	познания и	1	4
87	место в	2	4
88	при этом	2	4
89	в каком	2	4
90	не по	2	4
91	тем самым	2	4
92	нисколько не	2	4
93	как его	1	4
94	в одном	1	4
95	а в	9	4
96	для нас	4	4
97	что в	14	4
98	здесь мы	3	4
99	в чем	2	4
100	не как	1	4
101	ни было	1	4
102	о нем	7	4
103	во всей	1	4
104	в своих	5	4
105	время и	2	4
106	чем не	2	4
107	том что	14	4
108	с ними	2	4
109	и совершенно	1	3
110	еще не	2	3
111	ясно и	1	3
112	может дать	1	3
113	этом смысле	4	3
114	и ни	2	3
115	и тем	1	3
116	для которого	1	3
117	я имею	1	3
118	здесь не	3	3
119	не менее	2	3
120	из его	4	3
121	где он	2	3
122	в каждом	1	3
123	мы не	1	3
124	всех своих	1	3
125	от него	2	3
126	и пр	1	3
127	меня и	1	3
128	того что	2	3
129	из него	1	3
130	на самом	1	3
131	нет и	2	3
132	и весь	2	3
133	в момент	2	3
134	что этот	3	3
135	что не	1	3
136	в то	8	3
137	только с	1	3
138	для того	2	3
139	а все	1	3
140	ясно что	2	3
141	тем что	2	3
142	целом и	1	3
143	ничего не	3	3
144	по своему	3	3
145	во мне	2	3
146	от того	1	3
147	о том	11	3
148	и на	3	3
149	до конца	1	3
150	когда я	1	3
151	в некотором	1	3
152	а следовательно	1	3
153	самом деле	1	3
154	в ней	1	3
155	котором он	1	3
156	всем его	1	3
157	себе и	1	3
158	в свою	1	3
159	и тот	2	2
160	своей истории	1	2
161	отношении к	1	2
162	и того	1	2
163	же время	4	2
164	его на	2	2
165	вопрос о	1	2
166	бы то	1	2
167	первом плане	1	2
168	прежде всего	1	2
169	не будет	1	2
170	а это	2	2
171	так и	6	2
172	и просто	3	2
173	как предмет	1	2
174	в виде	3	2
175	в жизни	3	2
176	быть не	1	2
177	будет ли	1	2
178	жить и	1	2
179	содержания но	1	2
180	того чтобы	2	2
181	свою жизнь	1	2
182	и мы	2	2
183	на нем	1	2
184	то ни	1	2
185	которой он	5	2
186	автора как	1	2
187	с тем	2	2
188	в это	2	2
189	со всеми	1	2
190	его к	2	2
191	и навсегда	1	2
192	совсем не	4	2
193	сводится к	1	2
194	это уже	1	2
195	потому что	11	2
196	дело с	1	2
197	кажется что	2	2
198	чтобы стать	1	2
199	жизнь и	3	2
200	один и	2	2
201	дело не	2	2
202	как в	3	2
203	но этот	3	2
204	человек и	1	2
205	тот же	3	2
206	а значит	1	2
207	дело в	4	2
208	это и	2	2
209	и потому	6	2
210	вся эта	3	2
211	на первом	2	2
212	к которой	1	2
213	это можно	3	2
214	тем не	2	2
215	едва ли	3	2
216	ему в	2	2
217	если я	1	2
218	есть его	1	2
219	которой все	1	2
220	ни у	1	2
221	этого слова	1	2
222	и других	2	2
223	в этой	4	2
224	тому что	1	2
225	не потому	1	2
226	чего не	1	2
227	место и	1	2
228	всей своей	1	2
229	но я	3	2
230	а по	2	2
