N	2gram	Medvedev_U_1	RusskieA
1	и в	14	29
2	том что	2	22
3	в том	2	22
4	что в	1	22
5	может быть	6	13
6	в этом	7	11
7	как и	3	11
8	в этот	1	10
9	не только	10	10
10	и с	2	10
11	все это	5	10
12	о том	1	9
13	в некоторых	2	9
14	но и	4	8
15	ее в	1	8
16	данном случае	1	7
17	мы имеем	1	6
18	мы не	2	6
19	таким образом	2	6
20	с тем	1	6
21	в данном	1	6
22	этом случае	1	6
23	же в	1	6
24	должна была	2	5
25	но не	2	5
26	но в	3	5
27	это не	3	5
28	не может	7	5
29	для этого	3	5
30	и что	1	5
31	то что	7	5
32	к этому	1	5
33	же как	1	4
34	то же	5	4
35	не все	2	4
36	что по	1	4
37	уже не	1	4
38	их в	1	4
39	далеко не	1	4
40	в которых	1	4
41	не в	2	4
42	тогда когда	1	4
43	у нас	3	4
44	то и	1	4
45	в виде	1	4
46	а не	10	4
47	о чем	2	4
48	по существу	2	4
49	и все	1	4
50	в таком	1	4
51	и через	2	3
52	в этой	4	3
53	что она	2	3
54	на первый	2	3
55	в котором	1	3
56	но он	1	3
57	она не	1	3
58	того что	1	3
59	между тем	2	3
60	в качестве	1	3
61	или даже	1	3
62	тем что	2	3
63	что для	1	3
64	до конца	1	3
65	пишет в	1	3
66	было бы	3	3
67	но если	1	3
68	вряд ли	3	2
69	одним из	2	2
70	и то	3	2
71	с одной	1	2
72	ее к	1	2
73	очевидно что	3	2
74	все же	3	2
75	не было	1	2
76	в которой	1	2
77	связанные с	1	2
78	об этом	1	2
79	должно быть	1	2
80	в своей	3	2
81	в их	4	2
82	не столько	2	2
83	что с	1	2
84	в то	3	2
85	того как	1	2
86	никогда не	1	2
87	что при	1	2
88	в виду	1	2
89	с другой	4	2
90	все в	1	2
91	что и	2	2
92	в г	1	2
93	живого человека	1	2
94	или просто	1	2
95	на эту	2	2
96	одно из	1	2
97	сюда же	1	2
98	прежде всего	8	2
99	одной стороны	1	2
100	из которых	1	2
101	в течение	1	2
102	могут быть	2	2
103	и для	2	2
104	только как	1	2
105	это в	1	2
106	а между	2	1
107	человека и	1	1
108	относятся к	1	1
109	из самых	1	1
110	объясняется и	1	1
111	она в	1	1
112	один пример	1	1
113	мы и	2	1
114	в ней	1	1
115	в различных	1	1
116	не входит	1	1
117	нет и	1	1
118	к сожалению	3	1
119	относится к	1	1
120	отнюдь не	1	1
121	первый взгляд	1	1
122	независимо от	1	1
123	в своем	1	1
124	в противном	2	1
125	более или	1	1
126	есть ли	1	1
127	в самом	2	1
128	он в	1	1
129	ее как	1	1
130	на то	1	1
131	не следует	3	1
132	в нем	1	1
133	образом на	1	1
134	всех этих	2	1
135	в первую	1	1
136	применение в	1	1
137	только в	2	1
138	по его	1	1
139	что все	2	1
140	связанных с	1	1
141	а как	2	1
142	входит в	1	1
143	еще одно	1	1
144	из первых	1	1
145	как живой	1	1
146	о которой	1	1
147	остается в	1	1
148	или менее	1	1
149	или точнее	3	1
150	только для	1	1
151	что этот	1	1
152	по теории	1	1
153	подходят к	1	1
154	ничего не	2	1
155	состоять в	1	1
156	буквальном смысле	1	1
157	этом отношении	2	1
158	он называет	1	1
159	и это	1	1
160	в пределах	1	1
161	приводит к	1	1
162	это для	1	1
163	так и	1	1
164	оно все	1	1
165	что никакого	1	1
166	он был	1	1
167	если бы	2	1
168	сводится к	2	1
169	можно сказать	1	1
170	нас в	2	1
171	с момента	1	1
172	в его	2	1
173	полагая что	1	1
174	которой и	1	1
175	тот же	1	1
176	что он	2	1
177	и является	2	1
178	и действительно	1	1
179	и так	1	1
180	верно и	1	1
181	вопроса о	2	1
182	а это	1	1
183	области в	1	1
184	для него	3	1
185	в конце	2	1
186	как раз	2	1
187	и даже	1	1
188	даже не	1	1
189	вообще мы	1	1
190	и др	1	1
191	превращается в	2	1
192	и возвращается	1	1
193	него не	1	1
194	в исторической	1	1
195	природе и	1	1
196	и потому	1	1
197	или по	1	1
198	смысле этого	2	1
199	он может	1	1
200	быть не	1	1
201	и не	8	1
202	при более	1	1
203	но это	2	1
204	первую очередь	1	1
205	тем более	1	1
206	этой же	1	1
207	в период	1	1
208	месте в	1	1
209	сказать что	1	1
210	другой стороны	3	1
211	религии и	1	1
212	время не	1	1
213	и эта	1	1
214	как на	1	1
215	все что	1	1
