N	3gram	Vinokur_St_2	Russkaja
1	то же время	1	10
2	в то же	1	10
3	с точки зрения	2	9
4	в том что	16	7
5	на самом деле	1	6
6	во всяком случае	3	6
7	для того чтобы	5	6
8	а между тем	1	5
9	до сих пор	5	5
10	более или менее	2	4
11	на то что	2	4
12	бы то ни	2	4
13	при таких условиях	1	3
14	в этом случае	1	3
15	вместе с тем	5	3
16	в данном случае	1	3
17	в конце концов	1	3
18	самого себя и	1	3
19	точно так же	1	2
20	в настоящее время	1	2
21	что он не	4	2
22	тот факт что	4	2
23	не только к	1	2
24	и в том	1	2
25	и вместе с	1	2
26	о том что	11	2
27	к тому что	5	2
28	и в другом	1	2
29	в другом месте	2	1
30	к участию в	1	1
31	отказаться от своего	1	1
32	дело в том	4	1
33	в свою очередь	1	1
34	между прочим и	1	1
35	по отношению к	1	1
36	в самом деле	2	1
37	в том числе	1	1
38	важно отметить что	1	1
39	в том же	2	1
40	с тем в	1	1
41	он не может	1	1
42	именно вследствие этого	1	1
43	в этом отношении	9	1
44	ни у кого	1	1
45	за то что	2	1
46	свидетельствуют о том	2	1
47	на этот вопрос	1	1
48	для борьбы с	1	1
49	речь идет не	1	1
50	в значительной степени	2	1
51	никогда не был	1	1
52	в том чтобы	1	1
53	то ни было	2	1
54	и в этом	2	1
55	всяком случае не	2	1
56	к одному из	1	1
57	те или другие	1	1
58	таким образом при	1	1
59	с нею и	1	1
60	в связи с	1	1
61	друг к другу	1	1
62	так же как	3	1
63	потому что они	1	1
64	в один общий	1	1
65	между тем у	2	1
66	относится не только	1	1
67	что на этой	1	1
68	и тот факт	1	1
69	заключается в том	1	1
70	на ряду с	1	1
71	с самого начала	3	1
72	как бы ни	1	1
73	вопрос о том	3	1
74	в этом вопросе	1	1
75	речь идет о	3	1
76	но все же	2	1
77	в силе и	1	1
78	быть особенно осторожным	1	1
79	тем не менее	2	1
80	к тому же	2	1
