N	3gram	Bakhtin_Fr_1	PoTuStor
1	с точки зрения	3	6
2	по ту сторону	1	4
3	на самом деле	2	4
4	до сих пор	4	3
5	во всяком случае	1	3
6	не может быть	1	3
7	и пр и	1	3
8	и его ученики	1	3
9	можно сказать что	1	3
10	в большинстве случаев	2	3
11	и может быть	1	2
12	в нем нет	1	2
13	в самом деле	1	2
14	но в общем	1	2
15	не могут быть	1	2
16	в его целом	1	2
17	все то что	1	2
18	можно определить как	1	2
19	на ранних ступенях	1	2
20	пр и пр	1	2
21	во всех его	2	2
22	этап в развитии	1	1
23	несколько слов о	1	1
24	и связанные с	1	1
25	его жизни в	1	1
26	прежде всего на	2	1
27	дело в том	2	1
28	мы имеем в	1	1
29	во всех областях	1	1
30	имеем в виду	1	1
31	на них мы	1	1
32	и др но	2	1
33	первый план выдвигается	1	1
34	сих пор еще	3	1
35	на первый план	1	1
36	в этой борьбе	1	1
37	связанная с этим	1	1
38	и др и	1	1
39	в этом отношении	3	1
40	но несмотря на	1	1
41	т.п наконец в	1	1
42	остановимся на некоторых	1	1
43	несмотря на это	1	1
44	это приводит к	1	1
45	конечно с точки	1	1
46	остановимся прежде всего	1	1
47	может быть только	1	1
48	нужно отметить что	2	1
49	так как он	1	1
50	не чем иным	1	1
51	ранних ступенях развития	1	1
52	с одной стороны	2	1
53	и в чем	1	1
54	в связи с	1	1
55	в себя и	1	1
56	в применении к	3	1
57	так и с	1	1
58	связанных как с	1	1
59	и т.п наконец	1	1
60	всяком случае не	1	1
61	при всей их	2	1
62	смысле они не	1	1
63	во всей их	1	1
64	в свое время	2	1
65	в том что	6	1
66	все это приводит	1	1
67	чем иным как	1	1
68	и пр в	1	1
69	в свой круг	1	1
70	так и в	2	1
71	во внешнем мире	1	1
72	и в эпоху	2	1
73	жизни в этом	1	1
74	и прежде всего	3	1
75	и в известной	1	1
76	друг с другом	1	1
77	для того чтобы	1	1
78	в общем можно	1	1
79	той или иной	5	1
