N	2gram	Voloshinov_1	Problema
1	и не	16	28
2	то есть	1	27
3	не только	5	24
4	только в	6	23
5	вовсе не	2	21
6	и в	15	20
7	в том	4	20
8	ни в	6	17
9	все эти	9	16
10	смысле слова	2	15
11	то что	10	15
12	потому что	4	15
13	точки зрения	13	14
14	у нас	3	14
15	было бы	6	14
16	но и	4	14
17	также и	1	13
18	перед нами	1	13
19	не в	4	13
20	или иной	1	13
21	в нашем	3	12
22	в себе	4	12
23	том что	5	12
24	с точки	10	11
25	по себе	2	11
26	прежде всего	11	11
27	как будто	1	11
28	отнюдь не	2	10
29	тем не	2	10
30	и его	15	10
31	не менее	3	10
32	так и	10	10
33	в качестве	2	10
34	при помощи	1	10
35	не является	3	10
36	в этом	13	9
37	может быть	13	9
38	и даже	2	9
39	все это	5	9
40	но в	9	8
41	таким образом	21	8
42	если бы	3	8
43	что он	8	8
44	и все	4	8
45	во всяком	4	8
46	то же	7	7
47	мы не	4	7
48	в ней	5	7
49	еще не	7	7
50	и с	7	7
51	ясно что	1	7
52	это не	2	7
53	хотя бы	7	7
54	и тем	1	7
55	с другой	1	7
56	именно в	3	7
57	сказать что	6	7
58	а не	2	7
59	и потому	8	7
60	сам по	2	6
61	мы имеем	1	6
62	а только	1	6
63	при этом	7	6
64	всех этих	5	6
65	об этом	4	6
66	художественный образ	2	6
67	как и	6	6
68	в данном	3	6
69	но если	2	6
70	и без	1	6
71	по крайней	1	6
72	в каком	3	6
73	в виду	1	6
74	и вообще	1	6
75	а также	1	6
76	крайней мере	1	6
77	по своему	1	6
78	но это	2	6
79	и от	1	6
80	в таком	3	6
81	на самом	2	5
82	но не	5	5
83	как в	3	5
84	хотя и	1	5
85	в нем	4	5
86	в этих	2	5
87	и очень	2	5
88	когда мы	1	5
89	и о	3	5
90	в ее	4	5
91	данном случае	3	5
92	о том	1	5
93	можно сказать	4	5
94	жизни и	5	5
95	уже не	5	5
96	если мы	5	5
97	так как	9	5
98	здесь в	1	5
99	то и	1	5
100	не может	13	5
101	вместе с	4	5
102	так же	1	5
103	в смысле	1	5
104	не существует	3	5
105	или в	1	5
106	и ни	1	5
107	ничего общего	2	5
108	и т	1	4
109	это и	1	4
110	что его	1	4
111	без всякого	1	4
112	и есть	2	4
113	и наконец	10	4
114	уже в	1	4
115	в этой	5	4
116	что она	2	4
117	в своей	9	4
118	всяком случае	3	4
119	в одном	3	4
120	в отношении	2	4
121	только не	1	4
122	в разных	1	4
123	это символ	1	4
124	с ним	12	4
125	и во	1	4
126	во всех	8	4
127	и только	4	4
128	тем более	1	4
129	одной из	1	4
130	и ее	3	4
131	с этим	6	4
132	как бы	11	4
133	однако не	1	4
134	как раз	2	4
135	и для	2	4
136	а в	6	4
137	в то	6	4
138	в какой	1	4
139	самом деле	7	3
140	в зависимости	2	3
141	и этот	1	3
142	каком случае	1	3
143	то это	1	3
144	в каждой	1	3
145	и на	3	3
146	он был	3	3
147	но как	1	3
148	заметим что	1	3
149	явлений и	2	3
150	мы сейчас	1	3
151	чем же	5	3
152	в истории	3	3
153	в своем	2	3
154	и к	7	3
155	бы и	2	3
156	сказать о	1	3
157	учение о	2	3
158	вообще не	1	3
159	т д	1	3
160	но все	2	3
161	человека в	3	3
162	художественным образом	1	3
163	в другом	1	3
164	с другими	5	3
165	из них	1	3
166	в жизни	5	3
167	и мышления	1	3
168	как это	1	3
169	связи с	1	3
170	нет никакого	2	3
171	правда в	2	3
172	на себе	1	3
173	мы все	1	3
174	можно ли	1	3
175	и является	1	3
176	уже и	1	3
177	в области	3	3
178	зависимости от	2	3
179	к тому	4	3
180	в самых	2	3
181	образы и	2	3
182	как мы	10	3
183	другими словами	3	3
184	с собой	1	3
185	все в	1	3
186	к нему	7	3
187	в его	9	3
188	что и	2	3
189	даже если	1	3
190	для всех	2	3
191	конечно не	3	3
192	в начале	1	3
193	в сознании	3	3
194	здесь мы	1	3
195	не так	1	3
196	для него	5	3
197	себе и	1	3
198	мы можем	12	3
199	тем что	1	3
200	для того	1	3
201	не было	4	3
202	которые как	1	3
203	нет ничего	1	3
204	о себе	2	3
205	ни на	2	3
206	к его	1	3
207	независимо от	1	3
208	для искусства	1	3
209	это есть	1	3
210	является для	1	3
211	что мы	2	3
212	в условиях	3	3
213	это уже	1	3
214	сознания и	5	3
215	и как	1	3
216	мы должны	7	3
217	все они	2	3
218	не говоря	1	3
219	совершенно не	2	3
220	из этого	2	3
221	что в	6	3
222	чтобы не	2	2
223	и то	2	2
224	или к	1	2
225	бы для	1	2
226	сразу и	1	2
227	нам кажется	1	2
228	за собой	1	2
229	и больше	1	2
230	уже более	1	2
231	в которой	1	2
232	они могут	1	2
233	время как	1	2
234	ему в	1	2
235	человеческого организма	3	2
236	разобраться в	3	2
237	между собой	4	2
238	в чем	4	2
239	то мы	1	2
240	не то	1	2
241	совершенно ясно	1	2
242	нет и	1	2
243	за пределы	2	2
244	что они	1	2
245	относится к	1	2
246	всю эту	1	2
247	является только	1	2
248	так называемая	1	2
249	все же	5	2
250	то в	1	2
251	что это	3	2
252	если он	5	2
253	он не	4	2
254	с основной	1	2
255	мифологических образов	1	2
256	не к	1	2
257	в корне	1	2
258	с ее	3	2
259	не теряет	1	2
260	как они	1	2
261	и может	4	2
262	а его	1	2
263	на все	2	2
264	на этой	2	2
265	его в	8	2
266	чтобы все	1	2
267	но именно	1	2
268	кажется что	1	2
269	не чем	1	2
270	этом мы	3	2
271	для них	3	2
272	далеко не	4	2
273	этого не	2	2
274	между собою	1	2
275	и тоже	1	2
276	и тогда	1	2
277	в котором	1	2
278	мы находим	1	2
279	но эта	1	2
280	не будем	2	2
281	иным как	1	2
282	есть именно	1	2
283	однако в	1	2
284	того же	1	2
285	дело в	2	2
286	того чтобы	2	2
287	на путях	1	2
288	и по	5	2
