N	3gram	Kanaev_Sov_1	Literetu
1	в то же	1	9
2	то же время	1	9
3	не может быть	4	7
4	с одной стороны	1	6
5	в том что	1	5
6	в конечном счете	1	5
7	по отношению к	1	3
8	в данном случае	1	3
9	с точки зрения	5	3
10	в этом случае	1	2
11	по крайней мере	1	2
12	в свое время	1	2
13	тем не менее	2	2
14	мы не можем	6	1
15	и не было	1	1
16	бы то ни	1	1
17	и в то	1	1
18	что в ней	1	1
19	то ни было	1	1
20	и прежде всего	1	1
21	а в конце	1	1
22	то же самое	2	1
23	и не может	1	1
24	вместе с ним	1	1
25	как одной из	1	1
26	можно было бы	1	1
27	на самом деле	1	1
28	в свою очередь	2	1
29	в отличие от	2	1
30	той или иной	1	1
31	одной стороны и	1	1
32	не могут быть	1	1
33	в такой же	1	1
34	такой же мере	1	1
35	не в том	1	1
