N	2gram	Vinokur_Ku_3	Morfolog
1	может быть	14	52
2	и т	54	49
3	т д	8	47
4	и пр	3	40
5	таким образом	9	20
6	не может	6	17
7	в этих	2	16
8	т е	32	16
9	могут быть	6	15
10	с этим	1	14
11	и в	23	13
12	в этом	16	13
13	так как	9	12
14	и др	1	12
15	перед нами	1	11
16	связи с	6	11
17	чаще всего	1	11
18	мы видим	1	11
19	заметить что	1	10
20	то же	6	9
21	мы имеем	2	9
22	так и	6	9
23	этом случае	4	9
24	не всегда	1	9
25	прежде всего	9	9
26	а не	11	9
27	в связи	5	9
28	и не	10	9
29	при помощи	1	8
30	что и	6	8
31	с другой	7	8
32	по существу	3	8
33	в результате	3	8
34	вопрос о	11	7
35	имеем в	1	7
36	в качестве	2	7
37	представляет собою	1	7
38	в тех	2	7
39	все же	5	7
40	но если	3	7
41	но не	3	6
42	может считаться	1	6
43	это не	3	6
44	во время	1	6
45	не могут	5	6
46	и здесь	2	6
47	а также	4	6
48	в том	22	6
49	а в	5	6
50	мы не	3	5
51	не все	2	5
52	тому как	2	5
53	то что	4	5
54	здесь можно	5	5
55	далеко не	5	5
56	не менее	12	5
57	потому что	12	5
58	вслед за	1	5
59	один из	4	5
60	мы увидим	1	5
61	если мы	7	5
62	сюда же	1	5
63	наряду с	1	5
64	как бы	5	5
65	это явление	1	5
66	и другие	1	5
67	также и	5	4
68	увидим ниже	1	4
69	задачи в	1	4
70	тех же	4	4
71	эта функция	1	4
72	то это	3	4
73	то мы	3	4
74	как в	4	4
75	хотя и	5	4
76	и как	2	4
77	не только	17	4
78	на этом	2	4
79	его в	2	4
80	было бы	16	4
81	вовсе не	5	4
82	как и	5	4
83	несмотря на	1	4
84	точки зрения	23	4
85	с точки	16	4
86	тем не	9	4
87	ничего не	6	4
88	тем что	5	4
89	как мы	5	4
90	д но	1	4
91	раньше чем	1	4
92	по отношению	3	4
93	в некоторых	2	4
94	другой стороны	3	4
95	там где	3	4
96	так же	2	4
97	в иных	1	4
98	а если	1	4
99	отношению к	2	4
100	что в	13	4
101	связана с	1	3
102	самом деле	14	3
103	на самом	3	3
104	в первом	5	3
105	и для	1	3
106	между собой	1	3
107	из приведенных	1	3
108	независимо от	5	3
109	предметы и	1	3
110	целый ряд	4	3
111	но в	2	3
112	в целом	4	3
113	в нашем	7	3
114	в пределах	2	3
115	но все	2	3
116	а по	1	3
117	входит в	1	3
118	ни в	3	3
119	том что	11	3
120	этой формы	1	3
121	в то	3	3
122	в сущности	4	3
123	на него	3	3
124	того чтобы	11	3
125	здесь же	1	3
126	от того	5	3
127	такие случаи	1	3
128	большей частью	1	3
129	то здесь	2	3
130	если бы	8	3
131	с того	1	3
132	но и	3	3
133	он не	3	3
134	во втором	1	3
135	к нему	1	3
136	в какой	3	3
137	и ее	1	3
138	в начале	1	3
139	их по	1	3
140	а то	2	3
141	что они	2	3
142	пр и	1	3
143	для этой	1	3
144	из которых	1	3
145	форма в	1	3
146	но это	5	3
147	кроме того	2	3
148	это уже	3	3
149	и вызывает	1	3
150	мы должны	3	3
151	только что	2	3
152	же в	1	3
153	в последнем	1	3
154	первом случае	2	3
155	если же	2	3
