N	3gram	Tiupa_Hudo_1	Otkroven
1	в преступлении и	1	3
2	преступлении и наказании	1	3
3	для того чтобы	2	3
4	в этом мире	2	2
5	это было бы	1	2
6	не может быть	3	2
7	не могут быть	1	2
8	и не быть	1	1
9	добро и зло	1	1
10	а в его	1	1
11	в виду не	3	1
12	так и против	1	1
13	прежде всего в	1	1
14	ни к каким	1	1
15	как бы в	1	1
16	и в том	1	1
17	он не только	1	1
18	так и не	4	1
19	и состоит чтобы	1	1
20	не было и	1	1
21	к нему как	1	1
22	может быть назван	1	1
23	том случае если	1	1
24	в иных случаях	1	1
25	отношение человека к	1	1
26	о том что	1	1
27	и в самом	1	1
28	жизни а не	1	1
29	заключает в себе	1	1
30	ивана карамазова в	1	1
31	он еще не	1	1
32	и прежде всего	1	1
33	в том что	7	1
34	он ни был	1	1
35	в том случае	1	1
36	в самом начале	1	1
37	как и в	1	1
