N	2gram	Bakhtin_KF_1	Mirosoze
1	и в	24	46
2	в нем	28	22
3	может быть	45	21
4	в этом	14	20
5	и не	26	18
6	для него	8	18
7	не только	5	18
8	никогда не	5	18
9	есть лишь	5	17
10	не может	27	15
11	но и	9	15
12	как и	5	13
13	а не	17	13
14	не есть	20	13
15	друг друга	1	12
16	прежде всего	2	12
17	потому что	2	12
18	к человеку	1	12
19	но он	1	11
20	не было	8	11
21	и он	1	11
22	в ней	3	11
23	в себе	21	10
24	та же	2	10
25	он не	6	10
26	но в	5	10
27	не знает	5	9
28	не в	12	9
29	отношение к	5	8
30	она не	1	8
31	в своем	16	8
32	и есть	9	8
33	так как	1	8
34	как бы	9	8
35	но это	6	8
36	хотя бы	4	7
37	в нашем	1	7
38	как в	2	7
39	человек не	2	7
40	любви к	1	7
41	и потому	2	7
42	в этой	2	7
43	и для	9	7
44	в мире	6	7
45	и к	1	7
46	что он	2	7
47	и здесь	7	6
48	вопрос о	2	6
49	жизни и	8	6
50	что это	3	6
51	жизнь в	1	6
52	во власти	1	6
53	того что	3	6
54	не могу	3	6
55	в духе	1	5
56	и все	7	5
57	в своей	10	5
58	бы и	3	5
59	совсем не	2	5
60	к тому	1	5
61	это не	10	5
62	что она	1	5
63	то же	5	5
64	то что	7	5
65	в его	40	5
66	и его	17	5
67	в отношении	1	5
68	во всем	7	5
69	для того	3	5
70	один из	2	5
71	что все	1	5
72	в самом	1	5
73	него нет	1	5
74	я не	6	5
75	и это	12	5
76	самого себя	1	4
77	его на	2	4
78	должны быть	1	4
79	они не	1	4
80	нет в	4	4
81	так и	2	4
82	думать что	2	4
83	в жизни	2	4
84	жизни это	1	4
85	в свою	3	4
86	что в	4	4
87	к чему	3	4
88	жизнь и	2	4
89	того чтобы	2	4
90	уже не	7	4
91	для этого	2	4
92	тому что	2	4
93	что и	7	4
94	до конца	3	4
95	также и	1	4
96	с его	1	4
97	должен быть	7	4
98	не имеет	5	4
99	себя в	8	4
100	все что	1	4
101	том что	4	4
102	по своей	1	3
103	момент в	7	3
104	отношении к	2	3
105	ни в	12	3
106	всю жизнь	1	3
107	людей и	2	3
108	не будет	2	3
109	лишь как	2	3
110	с ним	5	3
111	и во	1	3
112	и с	1	3
113	менее всего	6	3
114	его в	5	3
115	не мог	1	3
116	в чем	4	3
117	и на	3	3
118	в трагедии	1	3
119	в том	6	3
120	его он	1	3
121	и можно	1	3
122	это и	2	3
123	с которым	1	3
124	на почве	1	3
125	не стоит	1	3
126	себя и	2	3
127	смысле слова	1	3
128	только с	3	3
129	и от	1	3
130	можно ли	1	3
131	тем что	3	3
132	любви и	1	3
133	в каждом	3	3
134	если бы	8	3
135	одна и	1	3
136	от того	3	3
137	не существует	1	3
138	чтобы не	2	3
139	не для	1	3
140	на все	1	3
141	и она	2	3
142	нет ничего	1	3
143	той же	1	3
144	и никогда	1	3
145	в своих	3	3
146	к которой	2	3
147	о том	3	3
148	все равно	1	3
149	и должно	1	3
150	он любит	1	3
151	с другим	1	3
152	жизни в	5	3
153	только в	16	3
154	теряет свою	1	3
155	бытия есть	1	2
156	жизни а	1	2
157	но с	1	2
158	на его	1	2
159	это лишь	1	2
160	в которой	1	2
161	место в	5	2
162	мир и	1	2
163	от этого	2	2
164	его с	2	2
165	для нашей	1	2
166	отношению к	22	2
167	не к	1	2
168	и тот	1	2
169	смысл мира	1	2
170	точки зрения	12	2
171	него и	1	2
172	человеческой жизни	1	2
173	к нему	12	2
174	я и	2	2
175	только это	2	2
176	сознания и	3	2
177	бы не	3	2
178	науки и	1	2
179	во всех	11	2
180	по себе	2	2
181	и своего	1	2
182	если он	1	2
183	а в	4	2
184	этот процесс	1	2
185	были бы	2	2
186	чем я	1	2
187	оно не	2	2
188	свою правду	1	2
189	это есть	2	2
190	человек и	1	2
191	в последней	1	2
192	вместе с	1	2
193	превращается в	1	2
194	а для	2	2
195	а лишь	3	2
196	отношения к	1	2
197	землю и	1	2
198	не был	1	2
199	не имеют	1	2
200	к ней	1	2
201	более чем	1	2
202	еще более	2	2
203	лишь момент	5	2
204	хотя и	1	2
205	в этих	1	2
206	и мир	2	2
207	по отношению	26	2
208	что есть	2	2
209	жизни не	1	2
210	ответственности и	2	2
211	другим и	1	2
212	но этот	1	2
213	выйти из	1	2
214	ее в	1	2
215	тогда когда	3	2
216	между тем	4	2
217	что не	3	2
218	момент его	8	2
219	а за	1	2
220	лишь в	8	2
221	тот же	1	2
222	есть момент	3	2
223	должно быть	6	2
224	ничего не	3	2
225	же и	1	2
226	в единую	1	2
227	и за	2	2
228	то все	1	2
229	себе и	3	2
230	в основе	5	2
231	если я	2	2
232	и принять	1	2
233	и других	2	2
234	и та	2	2
235	не от	1	2
236	и этим	3	2
237	есть еще	1	2
238	мы видим	1	2
239	в человеке	1	2
240	как к	2	2
241	что за	2	2
242	друг для	1	2
243	ее и	6	2
244	на этом	1	2
245	с собой	1	2
246	в действительности	1	2
247	бы его	1	2
248	быть и	3	2
249	в небытие	1	2
250	от своей	5	2
251	знает границ	1	2
252	потому только	1	2
253	и землю	1	2
254	его не	1	2
255	чем в	1	2
256	человека его	1	2
257	этом пути	1	2
258	для друга	1	2
259	чем не	4	2
260	не о	2	2
261	но эта	5	2
262	к себе	2	2
263	или иной	2	2
264	начинает разлагаться	1	2
265	от его	5	2
266	но для	2	2
267	любит и	1	2
268	и эта	2	2
269	мысль о	1	2
270	себе в	1	2
271	эта мысль	1	2
272	поэтому он	1	2
273	все эти	10	1
274	за его	1	1
275	да это	1	1
276	могли быть	1	1
