N	3gram	Savitsky_E_1	formyVre
1	с точки зрения	16	8
2	в связи с	1	7
3	для того чтобы	5	7
4	в этом мире	1	6
5	не только в	4	5
6	в том же	1	4
7	то же время	14	4
8	в то же	15	4
9	друг с другом	3	4
10	в том числе	1	3
11	и в то	8	3
12	но и в	1	3
13	и в этом	4	3
14	во всех этих	1	3
15	и прежде всего	3	3
16	в большинстве случаев	2	3
17	в том что	6	3
18	и т д	1	3
19	что в этом	1	2
20	прежде всего в	2	2
21	и та же	1	2
22	том числе и	1	2
23	может быть и	1	2
24	одна и та	1	2
25	в этом отношении	3	2
26	связи с этим	1	2
27	это значит что	1	2
28	друг от друга	2	2
29	и того же	1	1
30	к участию в	1	1
31	не может не	1	1
32	в той или	3	1
33	другой стороны в	1	1
34	оно не может	1	1
35	мы видели в	1	1
36	и не только	1	1
37	только в том	2	1
38	в отличие от	1	1
39	то что в	2	1
40	рано или поздно	2	1
41	в этом процессе	1	1
42	с этой точки	5	1
43	от плоти и	1	1
44	то время как	1	1
45	и во все	1	1
46	в данном случае	2	1
47	дело идет о	2	1
48	ибо то что	1	1
49	о которых мы	1	1
50	с одной стороны	8	1
51	в значительной мере	1	1
52	а также и	1	1
53	по сравнению с	2	1
54	когда дело идет	1	1
55	чем если бы	1	1
56	лишь в случаях	1	1
57	с другой стороны	2	1
58	вместо того чтобы	1	1
59	не может быть	2	1
60	прежде всего к	2	1
61	но в смысле	1	1
62	но в то	2	1
63	этой точки зрения	5	1
64	только в пределах	1	1
65	в частности в	2	1
66	то есть в	1	1
67	и затем в	1	1
68	в то время	1	1
69	в свою очередь	2	1
70	в одном из	2	1
71	с тем что	1	1
72	как бы ни	3	1
73	далее в этом	1	1
74	выходит за пределы	1	1
75	можно сказать что	3	1
76	но в отношении	1	1
77	также и в	1	1
78	плоть от плоти	1	1
79	одного и того	1	1
80	к тому что	1	1
81	во всех случаях	3	1
82	или вовсе не	1	1
83	в себе в	1	1
84	всех этих случаях	1	1
85	как мы видели	2	1
86	той или иной	4	1
