N	3gram	Tiupa_Lite_3	Russkaja
1	то же время	7	10
2	в то же	7	10
3	с точки зрения	3	9
4	в том что	4	7
5	на самом деле	1	6
6	для того чтобы	1	6
7	более или менее	1	4
8	на то что	2	4
9	бы то ни	2	4
10	не может быть	3	4
11	вместе с тем	1	3
12	и то что	1	3
13	в данном случае	4	3
14	той или иной	2	3
15	самого себя и	1	3
16	в зависимость от	1	2
17	только в том	1	2
18	в себе и	1	2
19	и в том	1	2
20	и вместе с	2	2
21	к единой цели	1	2
22	о том что	4	2
23	и тем самым	2	2
24	друг от друга	1	2
25	к тому что	1	2
26	сама по себе	1	2
27	в другом месте	1	1
28	к богу не	1	1
29	состоит в том	2	1
30	в свою очередь	1	1
31	как бы не	1	1
32	по отношению к	4	1
33	в самом деле	2	1
34	в том числе	3	1
35	то же самое	2	1
36	оставаться самим собой	1	1
37	каждый данный момент	1	1
38	и не только	1	1
39	и вот в	1	1
40	лишь тогда когда	1	1
41	в этом отношении	5	1
42	том числе и	2	1
43	в мире есть	1	1
44	самим собой не	1	1
45	и в частности	2	1
46	в значительной степени	1	1
47	же время в	1	1
48	жизни в котором	1	1
49	в том чтобы	2	1
50	как и следовало	1	1
51	тем что он	2	1
52	то ни было	2	1
53	но при этом	1	1
54	не только для	1	1
55	в связи с	1	1
56	без того чтобы	1	1
57	то что для	1	1
58	это и есть	1	1
59	содержат в себе	1	1
60	в каждый данный	1	1
61	но и для	1	1
62	вопрос о том	1	1
63	и только но	1	1
64	альфой и омегой	1	1
65	которой она и	2	1
66	тем не менее	1	1
67	быть не может	1	1
68	на первый взгляд	1	1
69	к тому же	5	1
70	и только в	1	1
71	и следовало ожидать	1	1
