N	2gram	Nazirov_Tr_1	Myslijsy
1	потому что	2	49
2	для нас	1	31
3	то есть	3	30
4	и в	18	24
5	в душе	2	23
6	может быть	7	23
7	то что	4	20
8	и не	7	19
9	в том	2	18
10	а не	1	18
11	что в	4	16
12	не только	8	15
13	по себе	1	15
14	при этом	3	13
15	не в	2	13
16	то же	5	12
17	но не	1	12
18	не может	5	12
19	таким образом	1	11
20	вместе с	1	11
21	что и	2	11
22	только в	1	11
23	тогда как	1	10
24	как в	3	10
25	в себе	4	10
26	для него	3	10
27	так что	2	10
28	в нем	4	9
29	то и	2	9
30	но и	4	9
31	как бы	7	9
32	точно так	2	9
33	и на	7	8
34	в этом	9	8
35	том что	4	8
36	могут быть	1	8
37	под влиянием	2	8
38	в чем	1	7
39	во всех	1	7
40	мысль о	1	7
41	как и	5	7
42	всяком случае	1	7
43	того как	1	7
44	не могут	2	7
45	быть может	1	7
46	прежде всего	4	7
47	тем что	2	7
48	того что	1	7
49	во всяком	1	7
50	и т	1	6
51	и как	3	6
52	тем не	1	6
53	в то	5	6
54	не имеет	2	6
55	связи с	1	6
56	между тем	1	6
57	в одном	2	6
58	не было	1	6
59	этого слова	1	6
60	не есть	1	6
61	по поводу	2	6
62	если б	2	5
63	столь же	2	5
64	все же	5	5
65	уже в	3	5
66	бы не	1	5
67	не менее	1	5
68	с ним	3	5
69	вместе и	1	5
70	судя по	1	5
71	так и	5	5
72	о том	2	5
73	слова в	1	5
74	в них	1	5
75	что не	1	5
76	и их	1	5
77	в которой	1	5
78	а между	1	4
79	сам по	1	4
80	в самом	2	4
81	еще не	4	4
82	но в	6	4
83	уже не	2	4
84	только один	1	4
85	как он	1	4
86	так сказать	1	4
87	и если	1	4
88	с тем	2	4
89	в котором	1	4
90	стало быть	1	4
91	одном из	2	4
92	тем самым	3	4
93	одна из	2	4
94	никогда не	2	4
95	и что	4	4
96	для самого	1	4
97	что он	6	4
98	с одной	1	4
99	и вместе	1	4
100	в ребенке	1	4
101	в человеке	1	4
102	что оно	1	4
103	от него	1	4
104	в таком	2	4
105	вряд ли	2	3
106	например в	1	3
107	человека и	1	3
108	и то	2	3
109	на деле	1	3
110	той же	1	3
111	что это	5	3
112	в целом	4	3
113	имеет для	1	3
114	их отношения	1	3
115	что без	1	3
116	что она	2	3
117	не как	1	3
118	на все	1	3
119	его в	2	3
120	это не	5	3
121	рядом с	1	3
122	и при	1	3
123	на мысль	1	3
124	быть не	1	3
125	того кто	1	3
126	в ней	1	3
127	и притом	1	3
128	мог бы	3	3
129	на вопрос	1	3
130	но мы	1	3
131	одно из	1	3
132	не так	2	3
133	т п	1	3
134	входят в	1	3
135	что на	1	3
136	только по	1	3
137	в самой	1	3
138	смысле этого	1	3
139	но это	4	3
140	и от	1	3
141	и все	4	3
142	только что	1	3
143	с ними	1	3
144	ли мы	1	2
145	также что	1	2
146	самом деле	1	2
147	и есть	1	2
148	на две	1	2
149	вопрос о	2	2
150	без которой	1	2
151	с его	2	2
152	что за	3	2
153	значение и	1	2
154	в общем	1	2
155	за пределы	1	2
156	все эти	3	2
157	перестает быть	1	2
158	и по	1	2
159	на этом	1	2
160	но все	2	2
161	факт что	1	2
162	в другом	1	2
163	вместе со	2	2
164	этого не	1	2
165	должно быть	3	2
166	не столько	1	2
167	но он	1	2
168	тому что	1	2
169	перед собою	1	2
170	боли и	2	2
171	и его	6	2
172	что с	3	2
173	самого начала	1	2
174	что ему	1	2
175	например что	1	2
176	но только	1	2
177	того чтобы	1	2
178	же время	6	2
179	к ней	1	2
180	во всем	1	2
181	мы бы	1	2
182	его с	1	2
183	указывает на	1	2
184	и это	2	2
185	того самого	1	2
186	что все	2	2
187	и образ	1	2
188	на другой	1	2
189	с каким	1	2
190	с самого	1	2
191	было в	2	2
192	после того	1	2
193	стремление к	1	2
194	и здесь	2	2
195	или от	1	2
196	это было	1	2
197	связь между	1	2
198	теперь уже	1	2
199	боль и	1	2
200	одному человеку	1	2
201	один из	3	2
202	мы видим	1	2
203	в обществе	1	2
204	есть в	1	2
205	а это	1	2
206	друг друга	2	2
207	у него	6	2
208	ничем не	2	2
209	это самое	1	2
210	в связи	1	2
211	с первого	2	2
212	так же	4	2
213	ко всем	1	2
214	и потому	1	2
215	как это	3	2
216	на сравнении	1	2
217	в разговоре	1	2
218	несколько раз	1	2
219	все это	4	2
220	из себя	1	2
221	в его	3	2
222	а к	1	2
223	бы в	1	2
224	хотя бы	1	2
225	над собою	1	2
226	но если	1	2
227	я и	1	1
228	в характеристику	1	1
229	скажет что	1	1
230	ту же	1	1
231	одним из	1	1
232	отношение к	2	1
233	чтобы не	1	1
234	что наконец	1	1
235	и до	2	1
236	должна быть	1	1
237	и за	2	1
238	и могут	1	1
239	в самое	1	1
240	смотреть на	1	1
241	связаны между	1	1
242	которую я	1	1
243	почему бы	1	1
244	из своих	2	1
245	а теперь	1	1
246	две неравные	1	1
247	в отличие	2	1
248	быть в	1	1
249	которые так	1	1
250	но этого	2	1
251	если так	1	1
252	мысль что	1	1
253	в ее	2	1
254	могло быть	1	1
255	но как	1	1
256	и чужой	1	1
257	должны были	1	1
258	отличие от	2	1
259	отвечает ему	2	1
260	в истории	1	1
261	что именно	1	1
262	она как	2	1
263	перед нами	2	1
264	применении к	1	1
265	и наконец	1	1
266	характер ее	1	1
267	имеет в	2	1
268	то в	1	1
269	сливается с	1	1
270	своего слова	1	1
271	бы и	2	1
272	он в	1	1
273	так можно	1	1
274	за этим	1	1
275	только на	1	1
276	этого образа	1	1
277	человек не	1	1
278	роли в	1	1
279	по-видимому не	1	1
280	он не	2	1
281	чем для	1	1
282	к одному	1	1
283	не к	1	1
284	страдания и	1	1
285	не встречает	1	1
286	для ребенка	1	1
287	на земле	1	1
288	никому не	1	1
289	последнее слово	1	1
290	повторяет в	1	1
291	же не	1	1
292	не скажет	1	1
293	им как	1	1
294	об этом	4	1
295	и с	7	1
296	лишь в	1	1
297	он есть	1	1
298	известно что	1	1
299	в переводе	1	1
300	приходит в	1	1
301	ни в	2	1
302	для чего	1	1
303	в развитии	1	1
304	и прямо	1	1
305	пусть мы	2	1
306	есть такая	1	1
307	или вообще	1	1
308	в ходе	2	1
309	а как	2	1
310	в такой	1	1
311	можно выразиться	1	1
312	от силы	1	1
313	время с	1	1
314	человеком и	1	1
315	что нужно	1	1
316	что уже	1	1
317	что я	4	1
318	значение для	1	1
319	не понимает	1	1
320	начнем с	1	1
321	страха и	1	1
322	такое решение	1	1
323	раз и	2	1
324	солнце а	1	1
325	это чувство	1	1
326	на источник	1	1
327	на котором	1	1
328	не вызывает	1	1
329	что вы	3	1
330	общее выражение	1	1
331	только не	1	1
332	и всегда	1	1
333	на меня	2	1
334	ничего не	2	1
335	или как	1	1
336	по своей	1	1
