N	2gram	Vinokur_St_3	Marksizm
1	может быть	19	28
2	и пр	13	25
3	и в	25	19
4	как бы	6	19
5	и не	10	19
6	не может	7	18
7	точки зрения	7	17
8	то же	5	16
9	и его	3	16
10	как мы	2	15
11	в этом	24	15
12	в сущности	2	14
13	так сказать	2	14
14	таким образом	10	14
15	лишь в	4	14
16	не только	12	13
17	с точки	4	13
18	связи с	3	13
19	речи и	1	13
20	в нем	1	11
21	если бы	4	11
22	вовсе не	2	11
23	не в	6	10
24	так и	5	10
25	но и	9	10
26	в пределах	1	10
27	том что	15	10
28	самом деле	2	9
29	как и	4	9
30	для него	3	9
31	а не	5	9
32	на почве	5	9
33	с его	3	8
34	в то	7	8
35	же время	3	8
36	только в	6	8
37	слова в	1	8
38	не является	3	8
39	на самом	1	7
40	его в	1	7
41	и более	3	7
42	одна из	2	7
43	никогда не	2	7
44	в том	20	7
45	в языке	8	7
46	прежде всего	10	7
47	в связи	3	7
48	и для	4	7
49	но в	5	7
50	во всех	2	6
51	и как	1	6
52	в самом	2	6
53	ни в	5	6
54	в смысле	4	6
55	того чтобы	1	6
56	к тому	2	6
57	для того	2	6
58	же самое	1	6
59	и значением	1	6
60	между тем	6	6
61	с помощью	1	6
62	и все	1	6
63	хотя бы	1	6
64	в свою	2	6
65	смысле слова	1	5
66	того же	2	5
67	и на	6	5
68	все же	4	5
69	является не	1	5
70	на этой	1	5
71	в данном	1	5
72	в их	3	5
73	самого начала	2	5
74	свою очередь	1	5
75	с самого	2	5
76	и здесь	3	5
77	к нему	4	5
78	в его	12	5
79	в форме	2	5
80	этой почве	1	5
81	отношении к	1	5
82	или иной	2	5
83	в той	1	5
84	этого слова	2	5
85	в контексте	1	5
86	и того	1	5
87	тем более	3	5
88	как слово	1	5
89	к этому	3	5
90	так же	1	5
91	тем же	1	4
92	должна быть	1	4
93	а как	4	4
94	и ее	2	4
95	вполне понятно	1	4
96	конечно не	1	4
97	на то	5	4
98	в данной	1	4
99	это не	7	4
100	было бы	7	4
101	и тем	4	4
102	мы видели	1	4
103	тому что	3	4
104	в отношении	2	4
105	ничего не	4	4
106	и т.д	1	4
107	той или	1	4
108	для себя	1	4
109	выражения и	1	4
110	из одного	1	4
111	по мере	1	4
112	в русском	2	4
113	того что	5	4
114	в формах	1	4
115	что он	19	4
116	и их	1	4
117	как раз	3	4
118	влияние на	1	4
119	связь с	4	4
120	смысле этого	1	4
121	бы в	1	4
122	то что	12	4
123	сказать что	4	4
124	и то	1	3
125	в котором	5	3
126	и до	1	3
127	на материале	1	3
128	в ней	4	3
129	еще не	2	3
130	в ее	1	3
131	иногда и	1	3
132	за пределы	1	3
133	относится к	4	3
134	чем же	1	3
135	в истории	1	3
136	с этим	7	3
137	является выражением	1	3
138	все эти	3	3
139	в этой	14	3
140	слово в	2	3
141	он не	5	3
142	не к	1	3
143	не как	2	3
144	какой бы	1	3
145	в другом	3	3
146	конечно в	1	3
147	той же	2	3
148	по себе	1	3
149	в этих	11	3
150	в своей	4	3
151	в устах	4	3
152	формы как	1	3
153	а иногда	1	3
154	не имеет	2	3
155	каждый раз	2	3
156	в каком	4	3
157	у нас	4	3
158	могут быть	2	3
159	бы он	1	3
160	для его	2	3
161	и это	5	3
162	на основе	2	3
163	о том	8	3
164	это вполне	1	3
165	что и	1	3
166	в двух	1	3
167	одной из	2	3
168	в какой	3	3
169	с одной	2	3
170	в качестве	4	3
171	так как	3	3
172	до сих	2	3
173	с другой	5	3
174	речи а	1	3
175	к которым	1	3
176	в живом	1	3
177	связано с	5	3
178	не было	4	3
179	одной стороны	3	3
180	она является	1	3
181	языка не	1	3
182	подхода к	1	3
183	должно быть	1	3
184	сих пор	2	3
185	только что	2	3
186	а в	6	3
187	во всяком	4	3
188	отношения к	1	2
189	одним из	1	2
190	связана с	4	2
191	выражения как	2	2
192	собственном смысле	1	2
193	принадлежит только	1	2
194	вопрос о	1	2
195	мы здесь	1	2
196	и он	1	2
197	он был	3	2
198	то мы	1	2
199	но как	2	2
200	ответ на	5	2
201	что они	2	2
202	в собственном	1	2
203	в одной	2	2
204	независимо от	5	2
205	опирается на	1	2
206	в своем	1	2
207	более и	2	2
208	вступает в	1	2
209	его к	2	2
210	более или	1	2
211	от этого	1	2
212	тем для	1	2
213	что это	16	2
214	бы не	1	2
215	речи на	1	2
216	подход к	1	2
217	и с	4	2
218	то есть	2	2
219	этих форм	1	2
220	это было	8	2
221	на протяжении	4	2
222	делает его	1	2
223	в жизни	4	2
224	рядом с	1	2
225	отражается в	1	2
226	он и	2	2
227	мы не	2	2
228	и тогда	2	2
229	или менее	1	2
230	нас не	2	2
231	место в	6	2
232	они уже	1	2
233	является в	1	2
234	точку зрения	2	2
235	по крайней	4	2
236	но они	2	2
237	значения с	1	2
238	на языке	1	2
239	как о	2	2
240	этот тип	2	2
241	слова как	2	2
242	или как	1	2
243	находит себе	1	2
244	тесной связи	1	2
245	и именно	1	2
246	темы и	2	2
