N	2gram	Savitsky_P_1	Komedia
1	и в	14	22
2	т е	3	13
3	том что	4	12
4	в г	1	11
5	но и	6	11
6	в том	9	11
7	не только	17	10
8	в то	7	10
9	из них	2	10
10	и т	3	9
11	как и	1	9
12	может быть	5	9
13	и не	12	8
14	в этой	1	7
15	и других	2	7
16	то же	9	6
17	и по	1	6
18	не в	5	6
19	в отношении	10	6
20	в годы	1	6
21	а в	4	6
22	в которой	1	6
23	что в	4	6
24	в истории	1	5
25	потому что	3	5
26	еще в	1	5
27	между тем	3	5
28	уже в	1	5
29	в его	2	5
30	прежде всего	3	5
31	с другой	5	5
32	все это	2	5
33	другой стороны	1	5
34	но в	9	4
35	в нем	3	4
36	т д	1	4
37	и вот	2	4
38	точки зрения	3	4
39	в котором	4	4
40	можно судить	1	4
41	же время	7	4
42	ли не	1	4
43	ясно что	1	4
44	а также	4	4
45	что и	1	4
46	в качестве	9	4
47	мы можем	1	4
48	именно в	2	4
49	и особенно	1	4
50	в результате	1	4
51	же в	4	4
52	же как	1	3
53	мы не	3	3
54	и о	5	3
55	и на	1	3
56	с одной	3	3
57	в этом	10	3
58	все же	1	3
59	хотя и	3	3
60	и как	3	3
61	и и	2	3
62	на то	1	3
63	главным образом	2	3
64	да и	2	3
65	и еще	1	3
66	и с	2	3
67	его в	1	3
68	в них	2	3
69	на основании	1	3
70	и ее	1	3
71	место в	1	3
72	вопрос о	1	3
73	не менее	2	3
74	из числа	1	3
75	казалось бы	1	3
76	могут быть	3	3
77	вероятно что	1	3
78	судить по	1	3
79	в частности	2	3
80	тот же	3	3
81	только в	7	3
82	в виде	2	3
83	в начале	2	3
84	каждый из	1	3
85	как раз	2	3
86	так же	1	3
87	одной стороны	3	3
88	г и	2	3
89	как известно	1	2
90	на две	1	2
91	из всех	1	2
92	в и	1	2
93	на себя	1	2
94	слова о	1	2
95	он был	1	2
96	столь же	3	2
97	отличие от	1	2
98	к сожалению	1	2
99	наряду с	3	2
100	в рамках	1	2
101	что по	1	2
102	в самом	1	2
103	в известном	1	2
104	в себе	3	2
105	только один	1	2
106	не к	2	2
107	в силу	2	2
108	связанные с	1	2
109	в число	1	2
110	было бы	6	2
111	и тем	2	2
112	для них	2	2
113	были в	1	2
114	или менее	1	2
115	и без	3	2
116	всяком случае	1	2
117	в древней	1	2
118	одна из	2	2
119	и теперь	1	2
120	в области	11	2
121	с ее	1	2
122	как по	1	2
123	первой половине	1	2
124	в себя	1	2
125	для этого	1	2
126	находится в	1	2
127	именно потому	1	2
128	и здесь	1	2
129	также в	1	2
130	и мир	1	2
131	еще не	1	2
132	именно на	1	2
133	в эти	1	2
134	мы знаем	1	2
135	в других	1	2
136	со стороны	2	2
137	точек зрения	2	2
138	вслед за	3	2
139	и притом	1	2
140	в действии	1	2
141	должна была	1	2
142	не может	4	2
143	вместе с	1	2
144	за тем	1	2
145	но не	3	2
146	между прочим	2	2
147	об отношении	1	2
148	и право	2	2
149	только что	1	2
150	то что	4	2
151	по одному	1	2
152	где он	1	2
153	во всяком	1	2
154	которых не	1	1
155	можно говорить	1	1
156	в применении	1	1
157	также и	1	1
158	тем же	1	1
159	духовной и	1	1
160	сам как	1	1
161	к началу	2	1
162	в мире	2	1
163	в судьбах	6	1
164	в ней	6	1
165	работы в	1	1
166	ответа на	1	1
167	во всех	2	1
168	два основных	1	1
169	не все	1	1
170	отнюдь не	2	1
171	что во	1	1
172	государства и	1	1
173	под его	1	1
174	с этим	2	1
175	с собой	1	1
176	в своем	4	1
177	власть и	1	1
178	современности в	1	1
179	и к	4	1
180	над собой	1	1
181	более или	1	1
182	вв но	1	1
183	и этим	1	1
184	культуры и	1	1
185	что это	1	1
186	представляет собой	1	1
187	чуть ли	1	1
188	из этих	1	1
189	только на	1	1
190	о возникновении	1	1
191	не могла	1	1
192	к миру	1	1
193	европейской культуры	4	1
194	чтобы в	1	1
195	и укрепить	2	1
196	что все	1	1
197	на этой	1	1
198	г ее	1	1
199	начала и	2	1
200	в жизни	2	1
201	прибегают к	1	1
202	за последние	1	1
203	а с	1	1
204	и связывается	1	1
205	с тем	3	1
206	и уже	1	1
207	явления которые	1	1
208	умещается в	1	1
209	являются наиболее	1	1
210	в эту	2	1
211	в этих	1	1
212	отрыве от	1	1
213	в ходе	1	1
214	уже несколько	1	1
215	во времена	1	1
216	в отличие	1	1
217	в которых	5	1
218	что уже	1	1
219	друг другу	2	1
220	теми же	1	1
221	и вождь	1	1
222	и эти	1	1
223	и более	1	1
224	по себе	4	1
225	и очень	1	1
226	этой области	1	1
227	в идеологическом	1	1
228	для каждого	1	1
229	в русской	4	1
230	если в	2	1
231	из мира	1	1
232	с и	1	1
233	также что	1	1
234	того чтобы	1	1
235	л и	4	1
236	они являются	1	1
237	можно рассматривать	1	1
238	мы и	1	1
239	особый и	2	1
240	к сфере	1	1
241	к характеру	1	1
242	и другим	1	1
243	в каждом	1	1
244	и это	2	1
245	света в	2	1
246	особенно в	1	1
247	говорить о	2	1
248	идет речь	1	1
249	iii в	2	1
250	пример такого	1	1
251	те же	1	1
252	в борьбе	1	1
253	когда в	1	1
254	к первому	1	1
255	и политики	1	1
256	мира а	1	1
257	в порядке	3	1
258	не означает	1	1
259	и что	1	1
260	в значительной	2	1
261	стихии как	1	1
262	в отрыве	1	1
263	может и	2	1
264	борьбе с	1	1
265	в разложении	1	1
266	и только	1	1
267	е а	1	1
268	различия между	1	1
269	того что	2	1
270	насколько можно	1	1
271	тех пор	1	1
272	действие в	1	1
273	хотя бы	8	1
274	во времени	1	1
275	бы ни	2	1
276	вопрос об	1	1
277	себя в	1	1
278	оказывается в	1	1
279	в большинстве	1	1
280	с трудом	1	1
281	получили в	1	1
282	в душе	1	1
283	связывается с	1	1
284	где бы	2	1
285	мир в	1	1
