N	3gram	Propp_Morf_1	Otkroven
1	для того чтобы	2	3
2	это было бы	1	2
3	не может быть	9	2
4	не могут быть	2	2
5	хотя и не	1	1
6	потому что в	1	1
7	а вовсе не	1	1
8	друг к другу	2	1
9	о том как	1	1
10	бросается в глаза	1	1
11	во всяком случае	2	1
12	и действительно в	1	1
13	дается в форме	1	1
14	том случае если	1	1
15	и сразу же	1	1
16	действующих лиц в	2	1
17	в иных случаях	2	1
18	после того как	1	1
19	о том что	1	1
20	в этом отношении	1	1
21	то что в	2	1
22	в том что	3	1
23	на то что	2	1
24	в том случае	1	1
25	может быть сопоставлен	1	1
26	друг с другом	1	1
27	вместо того чтобы	1	1
28	как и в	2	1
29	прежде всего и	1	1
