N	3gram	Bakhtin_KF_1	Analitik
1	не может быть	11	16
2	в том что	2	9
3	в то же	2	8
4	то же время	2	6
5	той или иной	2	6
6	по отношению к	22	5
7	с точки зрения	9	4
8	и не в	1	4
9	в конечном счете	1	4
10	себя в другом	1	3
11	а не в	2	3
12	того или иного	3	3
13	бы то ни	2	3
14	для того чтобы	1	3
15	то ни было	2	3
16	не в том	1	3
17	быть не может	1	3
18	и того же	1	2
19	нет и не	1	2
20	от себя и	1	2
21	того что в	1	2
22	то же самое	1	2
23	в основе своей	1	2
24	в первом случае	1	2
25	но в то	1	2
26	найти себя в	1	2
27	и все же	1	2
28	одного и того	1	2
29	не о том	1	2
30	но прежде всего	1	1
31	отношение к предмету	1	1
32	в мире все	1	1
33	к смыслу и	1	1
34	равно как и	1	1
35	имеем в виду	2	1
36	он может быть	2	1
37	один и тот	1	1
38	в соответствии с	2	1
39	оно ни было	1	1
40	а не к	1	1
41	не было и	1	1
42	только в том	1	1
43	смысла в их	1	1
44	думать что это	1	1
45	в зависимости от	1	1
46	себя в своих	1	1
47	в которой я	1	1
48	в том случае	1	1
49	и та же	1	1
50	случае мы имеем	1	1
51	с ним в	1	1
52	между тем как	3	1
53	о нем но	1	1
54	не может претендовать	1	1
55	в противном случае	1	1
56	как если бы	1	1
57	то или иное	2	1
58	и просто с	1	1
59	вместе с тем	1	1
60	из себя в	2	1
61	здесь мы имеем	2	1
62	в данный момент	3	1
63	в себе в	1	1
64	смысле этого слова	1	1
65	противном случае мы	1	1
66	в свою очередь	1	1
67	в известном смысле	1	1
68	по отношению ко	4	1
69	в его целостности	2	1
70	и как бы	1	1
71	как и на	1	1
72	с ним и	1	1
73	бы оно ни	1	1
74	она может быть	1	1
75	во всяком случае	1	1
76	одна и та	1	1
77	могла бы быть	3	1
78	я не могу	1	1
79	включает в себя	2	1
80	или иной культурной	1	1
81	во всех своих	3	1
82	я в мире	1	1
83	принципиально не может	1	1
84	из единого и	1	1
85	но никто не	1	1
86	в этом последнем	1	1
87	сознания как и	1	1
88	и тем самым	1	1
89	это отнюдь не	1	1
90	в котором протекает	1	1
91	еще не решает	1	1
92	только тогда когда	1	1
93	и вследствие этого	1	1
94	тогда когда оно	1	1
95	ведь один и	1	1
96	в этом смысле	3	1
97	но отнюдь не	1	1
98	к тому что	1	1
99	дело не в	1	1
100	в том же	1	1
101	и тот же	1	1
