N	2gram	Medvedev_U_1	Vladivir
1	и в	14	40
2	то что	7	28
3	и не	8	25
4	не только	10	25
5	у него	1	24
6	то есть	1	24
7	в том	2	18
8	но и	4	18
9	том что	2	18
10	что в	1	17
11	в этом	7	16
12	не может	7	14
13	в его	2	14
14	в виде	1	13
15	только в	2	13
16	в конце	2	12
17	даже и	2	12
18	сказать что	1	12
19	таким образом	2	11
20	никогда не	1	11
21	о том	1	11
22	как раз	2	10
23	и потому	1	10
24	прежде всего	8	10
25	не есть	2	10
26	в себе	2	9
27	и с	2	9
28	в своей	3	9
29	что же	1	9
30	уже не	1	9
31	и то	3	9
32	для него	3	8
33	может быть	6	8
34	в этой	4	8
35	и что	1	8
36	он не	1	8
37	а не	10	8
38	в своем	1	8
39	как и	3	7
40	с тем	1	7
41	в то	3	7
42	того что	1	7
43	что и	2	7
44	что все	2	7
45	это значит	1	6
46	так и	1	6
47	по себе	2	6
48	об этом	1	6
49	если не	2	6
50	и даже	1	6
51	хотя бы	5	6
52	и это	1	6
53	но это	2	6
54	конце концов	2	5
55	для себя	1	5
56	отнюдь не	1	5
57	у нас	3	5
58	но если	1	5
59	должно быть	1	5
60	ничего не	2	5
61	тем что	2	5
62	или менее	1	5
63	более или	1	5
64	с другой	4	5
65	в ней	1	5
66	что он	2	5
67	в данном	1	5
68	не было	1	5
69	только при	1	4
70	и все	1	4
71	на то	1	4
72	поскольку он	1	4
73	все же	3	4
74	бы и	2	4
75	но не	2	4
76	в течение	1	4
77	то же	5	4
78	по мнению	1	4
79	в котором	1	4
80	но даже	2	4
81	до конца	1	4
82	но в	3	4
83	по существу	2	4
84	было бы	3	4
85	в самом	2	4
86	в качестве	1	3
87	бы то	3	3
88	ее в	1	3
89	тех кто	1	3
90	и для	2	3
91	как на	1	3
92	в нем	1	3
93	не в	2	3
94	его теоретической	1	3
95	само по	1	3
96	же в	1	3
97	независимо от	1	3
98	в виду	1	3
99	сводится к	2	3
100	и только	5	3
101	но для	1	3
102	этого не	1	3
103	этом смысле	2	3
104	то ни	3	3
105	в таком	1	3
106	за пределы	1	3
107	что этот	1	3
108	человека и	1	3
109	это не	3	3
110	не все	2	3
111	о необходимости	1	3
112	не столько	2	3
113	это было	2	3
114	мы имеем	1	3
115	если бы	2	3
116	если нет	1	3
117	даже не	1	3
118	одной стороны	1	3
119	же как	1	3
120	с одной	1	3
121	в россии	4	3
122	далеко не	1	3
123	и у	2	3
124	и эта	1	3
125	же самое	2	3
126	его работы	1	3
127	в которой	1	2
128	и всякого	1	2
129	бы в	1	2
130	вся система	1	2
131	очень легко	1	2
132	же время	3	2
133	данном случае	1	2
134	мы и	2	2
135	сам по	1	2
136	больше чем	1	2
137	в этот	1	2
138	философии это	1	2
139	для тех	1	2
140	должна быть	2	2
141	и так	1	2
142	мы не	2	2
143	имеет свою	1	2
144	то и	1	2
145	содержания и	1	2
146	по его	1	2
147	эта работа	1	2
148	же не	2	2
149	сколько угодно	2	2
150	нам представляется	2	2
151	бы это	1	2
152	он называет	1	2
153	но тут	1	2
154	он был	1	2
155	это же	1	2
156	в их	4	2
157	а о	2	2
158	или иначе	1	2
159	на первый	2	2
160	другой стороны	3	2
161	не вполне	1	2
162	не существует	1	2
163	в сторону	2	2
164	этом отношении	2	2
165	только к	3	2
166	не могут	2	2
167	она не	1	2
168	еще раз	1	2
169	не как	3	2
170	с его	2	2
171	все и	1	2
172	как автора	1	2
173	все они	2	2
174	но что	1	2
175	и вся	1	2
176	она должна	1	2
177	не о	3	2
178	к этому	1	2
179	что она	2	2
180	так или	1	2
181	быть в	1	2
182	никогда и	1	2
183	что мы	2	2
184	является в	2	2
185	он уже	1	2
186	первый план	1	2
187	что по	1	1
188	в первую	1	1
189	тех и	1	1
190	почему и	1	1
191	и возвращается	1	1
192	а где	1	1
193	вне его	1	1
194	его на	1	1
195	не впадая	1	1
196	тут мы	1	1
197	можно сказать	1	1
198	но он	1	1
199	это то	1	1
200	философское мышление	1	1
201	было у	1	1
202	а это	1	1
203	оно является	1	1
204	как таковое	1	1
205	взятого в	1	1
206	и является	2	1
207	общего и	1	1
208	осталось бы	1	1
209	конечно это	1	1
210	друг другу	1	1
211	исходить из	1	1
212	на эту	2	1
213	он знает	1	1
214	как таковая	1	1
215	с самим	1	1
216	сих пор	2	1
217	строго говоря	1	1
218	только как	1	1
219	приходится признать	2	1
220	до сих	2	1
221	в некоторых	2	1
222	является с	1	1
223	первую очередь	1	1
224	объекта и	1	1
225	а между	2	1
226	впадая в	1	1
227	не обладает	1	1
228	что только	1	1
229	из первых	1	1
230	литературы в	1	1
231	произведение как	1	1
232	на одно	1	1
233	о которой	1	1
234	состоит из	1	1
235	существу то	1	1
236	нет и	1	1
237	что для	1	1
238	и необходимо	1	1
239	в последние	1	1
240	очень часто	1	1
241	из которых	1	1
242	этом случае	1	1
243	произведения как	1	1
244	смысле и	1	1
245	высокую оценку	1	1
246	для изучения	1	1
247	в системе	2	1
248	что при	1	1
249	в сфере	1	1
250	она все	1	1
251	пишет в	1	1
252	него не	1	1
253	что никакого	1	1
254	представляется что	1	1
255	не то	1	1
256	в противном	2	1
257	к сожалению	3	1
258	очевидно не	2	1
259	он успел	1	1
260	относится к	1	1
261	свое первоначальное	1	1
262	определяется не	1	1
263	анализ его	1	1
264	очевидно что	3	1
265	перестает быть	5	1
266	к которой	1	1
267	о чем	2	1
268	что такой	1	1
269	вопроса о	2	1
270	этот путь	1	1
271	этой области	3	1
272	к проблеме	1	1
273	из самых	1	1
274	что еще	1	1
275	и др	1	1
276	буквальном смысле	1	1
277	невозможна без	1	1
278	ни было	3	1
279	не делает	1	1
280	он в	1	1
281	и необходимым	1	1
282	всего только	1	1
283	существование в	1	1
284	того как	1	1
285	о сущности	1	1
286	не для	1	1
287	ли является	1	1
288	в процессе	1	1
289	возражать против	1	1
290	важным и	1	1
291	их в	1	1
292	все это	5	1
293	в известном	1	1
294	является только	1	1
295	и прежде	1	1
296	в словесном	1	1
297	в понятии	1	1
298	слова а	1	1
299	признать что	1	1
300	отсутствует хотя	1	1
301	в частности	3	1
302	не столь	1	1
303	только для	1	1
304	самом деле	2	1
305	большую значимость	1	1
306	речи в	1	1
307	если у	1	1
308	не ставит	1	1
309	слова у	1	1
310	в которых	1	1
311	говорить не	1	1
312	последние годы	1	1
313	она в	1	1
314	только более	1	1
315	противном случае	2	1
316	слишком часто	1	1
317	что с	1	1
318	теории и	1	1
319	и свое	1	1
320	конечно не	4	1
321	думается что	2	1
322	в буквальном	2	1
323	природе и	1	1
324	все в	1	1
325	все что	1	1
326	но также	1	1
