N	3gram	Vygotskiy__3	VelikijI
1	за то что	1	3
2	то что мы	2	3
3	к тому что	1	3
4	в том что	17	2
5	и во всяком	2	1
6	хотя бы и	1	1
7	бы то ни	1	1
8	то и другое	4	1
9	вместе с тем	10	1
10	не могли бы	2	1
11	что он так	1	1
12	так как она	2	1
13	в конце концов	1	1
14	потому что оно	2	1
15	в известном смысле	2	1
16	и в этом	2	1
17	и не случайно	1	1
18	не могут быть	1	1
19	и менее всего	1	1
20	тем что они	2	1
21	с другой стороны	3	1
22	по сравнению с	3	1
23	раз и навсегда	1	1
24	так и в	2	1
25	и вместе с	2	1
26	и что в	1	1
27	как и в	2	1
