N	2gram	Tiupa_Vved_1	formyVre
1	и в	13	50
2	то есть	8	33
3	в романе	6	32
4	в этом	21	25
5	в нем	5	24
6	человека в	1	17
7	и его	5	16
8	в литературе	2	16
9	прежде всего	7	15
10	как мы	3	14
11	и не	12	14
12	в его	4	13
13	вовсе не	1	13
14	как раз	2	13
15	так и	8	12
16	то же	5	11
17	таким образом	4	11
18	может быть	18	11
19	но в	6	10
20	времени и	7	10
21	все эти	1	9
22	роль в	1	9
23	не только	20	9
24	в то	4	9
25	же время	3	9
26	в том	10	9
27	в конце	1	9
28	в особенности	1	9
29	и др	1	9
30	того же	1	8
31	и на	3	8
32	в самом	2	8
33	жизни в	4	8
34	его жизни	1	8
35	но и	19	8
36	и их	1	8
37	как и	11	8
38	жизни и	7	8
39	это время	2	7
40	так сказать	2	7
41	характер и	1	7
42	для себя	1	7
43	времени в	3	7
44	не было	2	7
45	героя и	3	7
46	например в	2	6
47	между двумя	3	6
48	во всех	2	6
49	как в	4	6
50	все же	6	6
51	лишь в	2	6
52	это не	6	6
53	и того	2	6
54	в их	1	6
55	с ее	1	6
56	в ее	1	6
57	связи с	1	6
58	в жизни	4	6
59	у него	1	6
60	то что	6	6
61	человеческой жизни	3	6
62	в частности	13	6
63	не может	7	6
64	так же	1	6
65	в результате	3	6
66	и все	4	6
67	отношению к	7	5
68	и до	1	5
69	еще не	7	5
70	но не	5	5
71	отнюдь не	7	5
72	и у	1	5
73	не в	6	5
74	он не	3	5
75	всех этих	1	5
76	значение в	1	5
77	жизни но	1	5
78	хронотопа в	2	5
79	одного и	1	5
80	в основе	3	5
81	того чтобы	1	5
82	точки зрения	1	5
83	не могло	2	5
84	в разных	1	5
85	могут быть	4	5
86	в пределах	2	5
87	если бы	7	5
88	в пространстве	1	5
89	в связи	1	5
90	наряду с	2	5
91	и героини	1	5
92	что в	3	5
93	мы и	2	4
94	в ней	4	4
95	в своем	5	4
96	и пространства	1	4
97	но на	2	4
98	чтобы они	1	4
99	и с	2	4
100	в них	2	4
101	том что	7	4
102	в котором	8	4
103	первая встреча	1	4
104	в процессе	1	4
105	не имеет	2	4
106	потому что	5	4
107	чужой мир	1	4
108	к себе	1	4
109	здесь не	2	4
110	было и	1	4
111	могло быть	1	4
112	только в	6	4
113	между этими	1	4
114	в роман	1	4
115	и т.п	9	4
116	до конца	3	4
117	нет ничего	1	4
118	в той	4	4
119	все это	1	4
120	между собой	2	4
121	и для	3	4
122	себе самому	1	4
123	том числе	1	4
124	в движение	1	3
125	а как	1	3
126	мы не	4	3
127	время здесь	1	3
128	в сущности	1	3
129	событий и	1	3
130	в виду	1	3
131	по отношению	7	3
132	хотя и	7	3
133	со своей	1	3
134	в себе	5	3
135	вследствие этого	3	3
136	в классическом	1	3
137	при этом	26	3
138	вообще не	1	3
139	входит в	1	3
140	с другими	1	3
141	эти моменты	1	3
142	для них	3	3
143	между ними	1	3
144	в этих	3	3
145	в отношении	1	3
146	их в	2	3
147	но они	2	3
148	жизни не	1	3
149	этом отношении	4	3
150	к тому	6	3
151	нем не	1	3
152	что и	2	3
153	во всей	1	3
154	в форме	1	3
155	один из	3	3
156	мы видим	1	3
157	поэтому и	1	3
158	во времени	2	3
159	и ее	1	3
160	с одной	5	3
161	в качестве	8	3
162	только на	1	3
163	же в	1	3
164	в начале	3	3
165	в одном	1	3
166	что не	1	3
167	только к	1	3
168	с тем	1	3
169	быть только	2	3
170	а не	15	3
171	человек в	1	3
172	мира в	8	3
173	на фоне	2	3
174	вместе с	1	3
175	и потому	1	3
176	да и	1	3
177	и времени	2	3
178	или в	1	3
179	еще более	1	3
180	а в	6	3
181	не знает	1	3
182	сказать что	1	3
183	имеет место	4	3
184	они не	1	3
185	пространства в	1	3
186	к этому	2	3
187	в таком	1	3
188	во всяком	1	3
189	также и	4	2
190	тех же	1	2
191	к своей	1	2
192	в строгом	1	2
193	той же	1	2
194	но она	1	2
195	принадлежит к	3	2
196	на себя	1	2
197	природы и	1	2
198	как если	1	2
199	а только	1	2
200	друг на	1	2
201	не входит	1	2
202	происходит в	1	2
203	определяется не	1	2
204	в истории	1	2
205	в центре	2	2
206	не входят	1	2
207	стороны и	1	2
208	встречи с	1	2
209	с их	1	2
210	и нет	1	2
211	и к	2	2
212	мир и	1	2
213	имеет в	1	2
214	в этот	2	2
215	в целом	3	2
216	тому же	4	2
217	в нашем	6	2
218	как бы	4	2
219	как он	2	2
220	всей его	2	2
221	как оно	2	2
222	и еще	1	2
223	не как	2	2
224	новое и	1	2
225	уже не	5	2
226	этом мире	1	2
227	и по	3	2
228	ее по	1	2
229	что все	1	2
230	об этом	4	2
231	было бы	4	2
232	с большей	1	2
233	жизни то	2	2
234	на друга	1	2
235	мир в	1	2
236	автора и	1	2
237	для него	3	2
238	в своей	5	2
239	место в	2	2
240	не к	4	2
241	в отличие	2	2
242	в которых	1	2
243	но он	1	2
244	том же	1	2
245	по себе	2	2
246	и время	1	2
247	никогда не	4	2
248	это то	1	2
249	идиллический хронотоп	1	2
250	во всем	1	2
251	мире и	1	2
252	так называемый	1	2
253	не столь	1	2
254	случая и	1	2
255	а мы	1	2
256	все то	1	2
257	есть только	1	2
258	числе и	1	2
259	той или	3	2
260	для восприятия	1	2
261	оно не	1	2
262	как по	2	2
263	романе в	1	2
264	и иные	1	2
265	природе своей	1	2
266	те же	2	2
267	здесь как	1	2
268	по природе	1	2
269	с ним	3	2
270	или иной	3	2
271	а также	8	2
272	в значительной	1	2
273	на основе	1	2
274	во втором	2	2
275	полноту и	2	2
276	того что	6	2
277	быть и	2	2
278	есть в	2	2
279	уже в	1	2
280	если мы	1	2
281	в данной	2	2
282	его и	1	2
283	его мире	1	2
284	отношение к	2	2
285	к ним	2	2
286	не о	2	2
287	отличие от	2	2
288	тем что	2	2
289	существенную роль	1	2
290	лишь один	1	2
291	подходом к	1	2
292	и даже	1	2
293	с другой	5	2
294	не обязательно	1	2
295	далеко не	4	2
296	и прежде	1	2
297	еще и	1	2
298	соответствии с	6	2
299	в соответствии	6	2
300	одной стороны	5	2
301	принадлежит не	1	2
302	жизнь в	1	2
303	пространственных и	1	2
304	время оно	1	2
305	что мы	2	2
306	с помощью	1	2
307	но оно	1	2
308	его на	1	2
309	и временных	1	2
310	к своему	1	2
311	в данном	13	2
312	в течение	1	2
313	времени с	1	2
314	слова и	1	2
315	не является	3	2
316	одна из	4	2
317	в мировой	1	2
318	началом и	2	2
319	сохраняется и	2	2
320	как она	1	2
321	человек и	1	2
322	в исторический	1	2
323	для нас	2	2
324	у них	1	2
325	мы должны	1	2
326	хотя бы	1	2
327	становления в	1	2
328	или не	2	2
329	в свою	4	2
330	время не	1	2
331	можно назвать	1	2
332	одним из	5	1
333	начинается с	1	1
334	и через	1	1
335	он может	1	1
336	сгущается уплотняется	1	1
337	идет о	1	1
338	временных примет	1	1
339	которое мы	1	1
340	тем же	1	1
341	сохраняется но	1	1
